:,CSVFormatTest::testDelimiterSameAsCommentStartThrowsException,CSVFormatTest::testDelimiterSameAsEscapeThrowsException,CSVFormatTest::testDuplicateHeaderElements,CSVFormatTest::testEquals,CSVFormatTest::testEqualsCommentStart,CSVFormatTest::testEqualsDelimiter,CSVFormatTest::testEqualsEscape,CSVFormatTest::testEqualsHeader,CSVFormatTest::testEqualsIgnoreEmptyLines,CSVFormatTest::testEqualsIgnoreSurroundingSpaces,CSVFormatTest::testEqualsNullString,CSVFormatTest::testEqualsQuoteChar,CSVFormatTest::testEqualsQuotePolicy,CSVFormatTest::testEqualsRecordSeparator,CSVFormatTest::testEqualsSkipHeaderRecord,CSVFormatTest::testEscapeSameAsCommentStartThrowsException,CSVFormatTest::testEscapeSameAsCommentStartThrowsExceptionForWrapperType,CSVFormatTest::testFormat,CSVFormatTest::testGetHeader,CSVFormatTest::testNullRecordSeparatorCsv106,CSVFormatTest::testQuoteCharSameAsCommentStartThrowsException,CSVFormatTest::testQuoteCharSameAsCommentStartThrowsExceptionForWrapperType,CSVFormatTest::testQuoteCharSameAsDelimiterThrowsException,CSVFormatTest::testQuotePolicyNoneWithoutEscapeThrowsException,CSVFormatTest::testRFC4180,CSVFormatTest::testWithCommentStart,CSVFormatTest::testWithCommentStartCRThrowsException,CSVFormatTest::testWithDelimiter,CSVFormatTest::testWithDelimiterLFThrowsException,CSVFormatTest::testWithEscape,CSVFormatTest::testWithEscapeCRThrowsExceptions,CSVFormatTest::testWithHeader,CSVFormatTest::testWithIgnoreEmptyLines,CSVFormatTest::testWithIgnoreSurround,CSVFormatTest::testWithNullString,CSVFormatTest::testWithQuoteChar,CSVFormatTest::testWithQuoteLFThrowsException,CSVFormatTest::testWithQuotePolicy,CSVFormatTest::testWithRecordSeparatorCR,CSVFormatTest::testWithRecordSeparatorCRLF,CSVFormatTest::testWithRecordSeparatorLF,CSVParserTest::testBOM,CSVParserTest::testBOMInputStream,CSVParserTest::testBackslashEscaping,CSVParserTest::testBackslashEscaping2,CSVParserTest::testBackslashEscapingOld,CSVParserTest::testCSV57,CSVParserTest::testCarriageReturnEndings,CSVParserTest::testCarriageReturnLineFeedEndings,CSVParserTest::testClose,CSVParserTest::testDefaultFormat,CSVParserTest::testDuplicateHeaders,CSVParserTest::testEmptyFile,CSVParserTest::testEmptyLineBehaviourCSV,CSVParserTest::testEmptyLineBehaviourExcel,CSVParserTest::testEndOfFileBehaviorCSV,CSVParserTest::testEndOfFileBehaviourExcel,CSVParserTest::testExcelFormat1,CSVParserTest::testExcelFormat2,CSVParserTest::testExcelHeaderCountLessThanData,CSVParserTest::testForEach,CSVParserTest::testGetHeaderMap,CSVParserTest::testGetLine,CSVParserTest::testGetLineNumberWithCR,CSVParserTest::testGetLineNumberWithCRLF,CSVParserTest::testGetLineNumberWithLF,CSVParserTest::testGetOneLine,CSVParserTest::testGetOneLineOneParser,CSVParserTest::testGetRecordNumberWithCR,CSVParserTest::testGetRecordNumberWithCRLF,CSVParserTest::testGetRecordNumberWithLF,CSVParserTest::testGetRecordWithMultiLineValues,CSVParserTest::testGetRecords,CSVParserTest::testHeader,CSVParserTest::testHeaderComment,CSVParserTest::testHeaderMissing,CSVParserTest::testHeaderMissingWithNull,CSVParserTest::testHeadersMissing,CSVParserTest::testHeadersMissingException,CSVParserTest::testIgnoreEmptyLines,CSVParserTest::testInvalidFormat,CSVParserTest::testIterator,CSVParserTest::testLineFeedEndings,CSVParserTest::testMappedButNotSetAsOutlook2007ContactExport,CSVParserTest::testMultipleIterators,CSVParserTest::testNewCSVParserNullReaderFormat,CSVParserTest::testNewCSVParserReaderNullFormat,CSVParserTest::testNoHeaderMap,CSVParserTest::testParseFileNullFormat,CSVParserTest::testParseNullFileFormat,CSVParserTest::testParseNullStringFormat,CSVParserTest::testParseNullUrlCharsetFormat,CSVParserTest::testParseStringNullFormat,CSVParserTest::testParseUrlCharsetNullFormat,CSVParserTest::testParserUrlNullCharsetFormat,CSVParserTest::testProvidedHeader,CSVParserTest::testProvidedHeaderAuto,CSVParserTest::testRoundtrip,CSVParserTest::testSkipAutoHeader,CSVParserTest::testSkipSetHeader,
CSVFormatTest::testEqualsNullString ,10,10,11,12,6,10,4,20,3,4,0,8,8,2,2,10,10,18,15,15,10,10,10,11,11,9,10,11,11,10,10,15,11,11,12,9,11,12,9,12,10,12,12,111,44,97,12,12,12,10,66,12,12,33,47,55,62,78,51,12,35,15,11,10,12,11,12,11,10,12,11,12,12,11,10,12,11,11,12,12,10,30,12,12,11,12,12,12,12,12,12,12,12,12,12,16,11,12,12,12,
CSVFormatTest::testEqualsQuoteChar ,4,4,8,6,2,4,4,28,7,6,8,0,2,9,10,4,5,18,16,16,4,4,4,5,5,4,5,5,5,4,5,16,6,6,6,3,5,6,4,6,4,6,6,115,45,100,6,6,6,5,68,6,6,35,49,57,64,80,53,6,37,15,6,5,6,5,6,12,5,6,5,8,9,7,8,6,6,6,6,6,5,32,6,12,6,6,6,6,6,6,6,6,6,6,6,16,7,6,6,12,
CSVFormatTest::testEqualsQuotePolicy ,3,3,8,5,4,2,6,28,7,6,8,2,0,10,10,3,5,18,16,16,3,4,3,3,4,2,3,3,3,2,3,16,4,4,4,1,3,4,2,4,2,4,4,115,45,101,4,4,4,4,68,4,4,35,49,58,65,80,53,4,37,15,4,3,4,3,4,12,3,4,3,8,9,7,8,6,4,4,4,4,3,32,4,12,6,4,4,4,4,4,4,4,4,4,4,16,7,4,4,12,
CSVFormatTest::testEqualsRecordSeparator ,12,12,13,14,8,12,6,20,4,5,2,9,10,0,2,12,12,18,16,15,12,12,12,13,12,11,12,13,13,12,12,16,13,13,14,11,13,14,11,14,11,14,14,110,43,97,14,14,14,12,66,14,14,33,47,55,62,78,51,14,35,15,13,12,14,12,14,13,12,14,12,14,13,13,12,14,13,13,14,14,12,30,14,13,13,14,14,14,14,14,14,14,14,14,14,16,13,14,14,13,
CSVFormatTest::testEqualsSkipHeaderRecord ,12,12,13,14,8,12,6,19,3,4,2,10,10,2,0,12,12,17,15,14,12,12,12,13,12,11,12,13,13,12,12,15,13,13,14,11,13,14,11,14,12,14,14,109,42,96,14,14,14,12,65,14,14,31,45,53,60,76,49,14,33,14,13,12,14,13,14,13,12,14,13,14,13,13,11,14,13,13,14,14,12,30,14,13,12,14,14,14,14,14,14,14,14,14,14,15,13,14,13,13,
CSVFormatTest::testEscapeSameAsCommentStartThrowsException ,0,0,7,5,6,2,8,30,9,8,10,4,3,12,12,0,2,18,16,16,0,1,0,2,5,3,3,3,3,3,3,16,5,5,5,3,3,5,3,5,3,5,5,116,45,101,5,5,5,4,69,4,5,35,49,58,65,80,53,5,37,15,5,4,5,4,5,11,4,5,4,8,9,7,8,6,4,4,4,5,4,31,5,12,6,5,5,5,4,4,4,4,4,5,5,16,7,5,5,12,
CSVFormatTest::testEscapeSameAsCommentStartThrowsExceptionForWrapperType ,2,2,5,7,6,4,8,29,9,8,10,5,5,12,12,2,0,16,14,15,2,1,2,4,6,5,5,5,5,5,5,14,7,7,7,5,5,7,5,7,5,7,7,114,44,99,7,7,7,4,67,6,7,33,47,56,63,78,51,7,35,13,7,6,7,6,7,10,6,7,6,7,9,6,7,6,5,5,5,7,5,29,7,10,7,6,5,7,5,6,6,6,6,6,6,14,6,5,6,10,
CSVFormatTest::testFormat ,18,18,12,18,18,18,18,16,16,16,18,18,18,18,17,18,16,0,6,7,18,17,18,18,18,18,18,18,18,18,18,6,16,16,18,18,18,18,18,18,18,17,18,100,29,85,18,18,18,16,51,17,18,20,34,44,50,62,36,17,20,6,16,18,18,18,16,15,18,18,18,14,16,13,14,14,15,15,16,18,17,15,18,7,13,17,16,18,17,18,18,18,18,17,17,6,13,16,16,7,
CSVFormatTest::testGetHeader ,16,16,10,16,16,16,16,16,15,15,15,16,16,16,15,16,14,6,0,9,16,15,16,16,16,16,16,16,16,16,16,0,14,14,16,16,16,16,16,16,16,15,16,102,31,87,16,16,16,14,53,15,16,22,34,45,52,64,39,15,21,4,14,16,16,16,14,13,16,16,16,14,14,10,11,11,13,13,14,16,15,16,16,6,10,15,14,16,15,16,16,16,16,15,15,5,10,14,14,6,
CSVFormatTest::testNullRecordSeparatorCsv106 ,16,16,10,17,16,16,16,18,14,14,15,16,16,15,14,16,15,7,9,0,16,16,16,16,17,16,16,16,16,16,16,9,15,15,17,16,16,17,16,17,16,16,17,102,32,87,17,17,17,15,54,16,17,23,35,44,51,65,38,16,22,9,15,16,17,16,15,15,16,17,16,13,14,12,13,13,14,14,15,17,15,17,17,8,12,16,15,17,16,17,17,17,17,16,16,9,12,15,15,8,
CSVFormatTest::testQuoteCharSameAsCommentStartThrowsException ,0,0,7,5,6,2,8,30,9,8,10,4,3,12,12,0,2,18,16,16,0,1,0,2,5,3,3,3,3,3,3,16,5,5,5,3,3,5,3,5,3,5,5,116,45,101,5,5,5,4,69,4,5,35,49,58,65,80,53,5,37,15,5,4,5,4,5,11,4,5,4,8,9,7,8,6,4,4,4,5,4,31,5,12,6,5,5,5,4,4,4,4,4,5,5,16,7,5,5,12,
CSVFormatTest::testQuoteCharSameAsCommentStartThrowsExceptionForWrapperType ,1,1,6,6,6,3,8,30,9,8,10,4,4,12,12,1,1,17,15,16,1,0,1,3,5,4,4,4,4,4,4,15,6,6,6,4,4,6,4,6,4,6,6,115,44,100,6,6,6,3,68,5,6,34,48,57,64,79,52,6,36,14,6,5,6,5,6,10,5,6,5,7,9,6,7,5,4,4,4,6,5,30,6,11,6,5,5,6,4,5,5,5,5,5,5,15,6,5,5,11,
CSVFormatTest::testQuoteCharSameAsDelimiterThrowsException ,0,0,7,5,6,2,8,30,9,8,10,4,3,12,12,0,2,18,16,16,0,1,0,2,5,3,3,3,3,3,3,16,5,5,5,3,3,5,3,5,3,5,5,116,45,101,5,5,5,4,69,4,5,35,49,58,65,80,53,5,37,15,5,4,5,4,5,11,4,5,4,8,9,7,8,6,4,4,4,5,4,31,5,12,6,5,5,5,4,4,4,4,4,5,5,16,7,5,5,12,
CSVFormatTest::testQuotePolicyNoneWithoutEscapeThrowsException ,2,2,7,5,7,2,9,31,10,9,11,5,3,13,13,2,4,18,16,16,2,3,2,0,5,3,1,1,1,3,1,16,3,3,3,3,1,3,3,3,3,3,3,117,46,102,3,3,3,3,69,2,3,35,49,59,66,80,53,3,36,15,4,2,3,2,3,11,2,3,2,8,9,7,8,6,3,3,2,3,3,31,3,12,6,3,3,3,2,2,2,2,2,3,3,16,7,3,3,12,
CSVFormatTest::testRFC4180 ,5,5,8,4,7,5,9,30,9,8,11,5,4,12,12,5,6,18,16,17,5,5,5,5,0,5,5,5,5,5,5,16,6,6,6,4,5,6,5,6,5,6,6,117,46,102,5,5,5,6,69,6,6,34,48,59,66,79,52,6,36,15,6,5,6,5,6,12,5,6,5,8,8,7,9,6,6,6,6,5,5,32,5,12,6,5,5,6,5,5,5,5,5,5,5,16,7,6,6,12,
CSVFormatTest::testWithCommentStart ,3,3,8,5,5,2,7,29,8,7,9,4,2,11,11,3,5,18,16,16,3,4,3,3,5,0,3,3,3,2,3,16,4,4,4,2,3,4,2,4,2,4,4,116,45,101,4,4,4,3,67,4,4,35,49,58,65,80,53,4,37,15,4,3,4,3,4,12,3,4,3,8,9,7,7,6,4,4,4,4,3,32,4,12,6,4,4,4,4,4,4,4,4,4,4,16,7,4,4,12,
CSVFormatTest::testWithCommentStartCRThrowsException ,3,3,7,5,7,3,9,30,10,9,10,5,3,12,12,3,5,18,16,16,3,4,3,1,5,3,0,2,1,3,0,16,3,3,3,3,1,3,2,3,3,3,3,117,46,102,3,3,3,3,69,2,3,35,49,59,66,80,53,3,36,15,4,1,3,2,3,11,1,3,2,8,9,7,8,6,3,3,2,3,2,31,3,12,6,3,3,3,2,2,2,2,2,3,3,16,7,3,3,12,
CSVFormatTest::testWithDelimiter ,3,3,8,4,7,2,9,31,10,9,11,5,3,13,13,3,5,18,16,16,3,4,3,1,5,3,2,0,2,3,2,16,3,3,3,3,2,3,3,3,3,3,3,117,46,101,2,2,2,4,69,3,3,34,48,58,65,79,52,3,36,15,4,2,3,2,3,12,2,3,2,8,8,7,8,6,4,4,3,2,3,32,2,12,6,3,3,3,3,3,3,3,3,3,3,16,7,3,3,12,
CSVFormatTest::testWithDelimiterLFThrowsException ,3,3,7,5,7,3,9,31,10,9,11,5,3,13,13,3,5,18,16,16,3,4,3,1,5,3,1,2,0,3,1,16,3,3,3,3,0,3,3,3,2,3,3,116,46,102,3,3,3,3,69,2,3,35,49,59,66,80,53,3,36,15,4,2,3,1,3,11,2,3,1,7,9,7,8,6,3,3,2,3,3,31,3,12,6,3,3,3,2,2,2,2,2,3,3,16,7,3,3,12,
CSVFormatTest::testWithEscape ,3,3,8,5,6,2,8,30,9,8,10,4,2,12,12,3,5,18,16,16,3,4,3,3,5,2,3,3,3,0,3,16,4,4,4,2,3,4,2,4,2,4,4,116,45,101,4,4,4,4,68,4,4,35,49,58,65,80,53,4,37,15,4,3,4,3,4,12,3,4,3,8,9,7,8,6,4,4,4,4,3,32,4,12,6,4,4,4,4,4,4,4,4,4,4,16,7,4,4,12,
CSVFormatTest::testWithEscapeCRThrowsExceptions ,3,3,7,5,7,3,9,30,10,9,10,5,3,12,12,3,5,18,16,16,3,4,3,1,5,3,0,2,1,3,0,16,3,3,3,3,1,3,2,3,3,3,3,117,46,102,3,3,3,3,69,2,3,35,49,59,66,80,53,3,36,15,4,1,3,2,3,11,1,3,2,8,9,7,8,6,3,3,2,3,2,31,3,12,6,3,3,3,2,2,2,2,2,3,3,16,7,3,3,12,
CSVFormatTest::testWithHeader ,16,16,10,16,16,16,16,16,15,15,15,16,16,16,15,16,14,6,0,9,16,15,16,16,16,16,16,16,16,16,16,0,14,14,16,16,16,16,16,16,16,15,16,102,31,87,16,16,16,14,53,15,16,22,34,45,52,64,39,15,21,4,14,16,16,16,14,13,16,16,16,14,14,10,11,11,13,13,14,16,15,16,16,6,10,15,14,16,15,16,16,16,16,15,15,5,10,14,14,6,
CSVFormatTest::testWithIgnoreEmptyLines ,5,5,6,5,8,4,10,30,10,9,11,6,4,13,13,5,7,16,14,15,5,6,5,3,6,4,3,3,3,4,3,14,0,0,2,4,3,2,4,2,4,1,2,116,45,101,2,2,2,4,67,1,2,33,47,58,65,78,51,1,35,13,3,2,2,2,2,10,2,2,2,8,8,5,7,5,2,2,2,2,4,30,2,10,4,2,3,2,3,2,2,2,2,2,2,14,5,2,2,10,
CSVFormatTest::testWithIgnoreSurround ,5,5,6,5,8,4,10,30,10,9,11,6,4,13,13,5,7,16,14,15,5,6,5,3,6,4,3,3,3,4,3,14,0,0,2,4,3,2,4,2,4,1,2,116,45,101,2,2,2,4,67,1,2,33,47,58,65,78,51,1,35,13,3,2,2,2,2,10,2,2,2,8,8,5,7,5,2,2,2,2,4,30,2,10,4,2,3,2,3,2,2,2,2,2,2,14,5,2,2,10,
CSVFormatTest::testWithNullString ,5,5,8,5,8,4,10,32,11,10,12,6,4,14,14,5,7,18,16,17,5,6,5,3,6,4,3,3,3,4,3,16,2,2,0,4,3,0,4,0,4,2,0,118,47,103,2,1,1,5,69,2,0,35,49,60,67,80,53,2,37,15,4,2,0,2,3,12,2,0,2,8,9,7,9,6,4,4,3,1,4,32,1,12,6,2,3,0,3,2,2,2,2,2,2,16,7,2,2,12,
CSVFormatTest::testWithQuoteChar ,3,3,8,5,5,2,7,29,8,7,9,3,1,11,11,3,5,18,16,16,3,4,3,3,4,2,3,3,3,2,3,16,4,4,4,0,3,4,2,4,2,4,4,116,45,101,4,4,4,4,68,4,4,35,49,58,65,80,53,4,37,15,4,3,4,3,4,12,3,4,3,8,9,7,8,6,4,4,4,4,3,32,4,12,6,4,4,4,4,4,4,4,4,4,4,16,7,4,4,12,
CSVFormatTest::testWithQuoteLFThrowsException ,3,3,7,5,7,3,9,31,10,9,11,5,3,13,13,3,5,18,16,16,3,4,3,1,5,3,1,2,0,3,1,16,3,3,3,3,0,3,3,3,2,3,3,116,46,102,3,3,3,3,69,2,3,35,49,59,66,80,53,3,36,15,4,2,3,1,3,11,2,3,1,7,9,7,8,6,3,3,2,3,3,31,3,12,6,3,3,3,2,2,2,2,2,3,3,16,7,3,3,12,
CSVFormatTest::testWithQuotePolicy ,5,5,8,5,8,4,10,32,11,10,12,6,4,14,14,5,7,18,16,17,5,6,5,3,6,4,3,3,3,4,3,16,2,2,0,4,3,0,4,0,4,2,0,118,47,103,2,1,1,5,69,2,0,35,49,60,67,80,53,2,37,15,4,2,0,2,3,12,2,0,2,8,9,7,9,6,4,4,3,1,4,32,1,12,6,2,3,0,3,2,2,2,2,2,2,16,7,2,2,12,
CSVFormatTest::testWithRecordSeparatorCR ,3,3,8,5,6,2,8,29,9,8,9,4,2,11,11,3,5,18,16,16,3,4,3,3,5,2,2,3,3,2,2,16,4,4,4,2,3,4,0,4,2,4,4,116,45,101,4,4,4,4,68,4,4,35,49,58,65,80,53,4,37,15,4,2,4,3,4,12,2,4,3,8,9,7,8,6,4,4,4,4,2,32,4,12,6,4,4,4,4,4,4,4,4,4,4,16,7,4,4,12,
CSVFormatTest::testWithRecordSeparatorCRLF ,5,5,8,5,8,4,10,32,11,10,12,6,4,14,14,5,7,18,16,17,5,6,5,3,6,4,3,3,3,4,3,16,2,2,0,4,3,0,4,0,4,2,0,118,47,103,2,1,1,5,69,2,0,35,49,60,67,80,53,2,37,15,4,2,0,2,3,12,2,0,2,8,9,7,9,6,4,4,3,1,4,32,1,12,6,2,3,0,3,2,2,2,2,2,2,16,7,2,2,12,
CSVFormatTest::testWithRecordSeparatorLF ,3,3,8,5,6,2,8,30,9,8,10,4,2,11,12,3,5,18,16,16,3,4,3,3,5,2,3,3,2,2,3,16,4,4,4,2,2,4,2,4,0,4,4,115,45,101,4,4,4,4,68,4,4,35,49,58,65,80,53,4,37,15,4,3,4,2,4,12,3,4,2,7,9,7,8,6,4,4,4,4,3,32,4,12,6,4,4,4,4,4,4,4,4,4,4,16,7,4,4,12,
CSVParserTest::testBOM ,5,5,7,5,8,4,10,31,11,10,12,6,4,14,14,5,7,17,15,16,5,6,5,3,6,4,3,3,3,4,3,15,1,1,2,4,3,2,4,2,4,0,2,117,46,102,2,2,2,4,68,1,2,34,48,59,66,79,52,0,36,14,3,2,2,2,2,10,2,2,2,8,8,6,8,5,3,3,2,2,4,31,2,11,5,2,3,2,3,2,2,2,2,2,2,15,6,2,2,11,
CSVParserTest::testBOMInputStream ,5,5,8,5,8,4,10,32,11,10,12,6,4,14,14,5,7,18,16,17,5,6,5,3,6,4,3,3,3,4,3,16,2,2,0,4,3,0,4,0,4,2,0,118,47,103,2,1,1,5,69,2,0,35,49,60,67,80,53,2,37,15,4,2,0,2,3,12,2,0,2,8,9,7,9,6,4,4,3,1,4,32,1,12,6,2,3,0,3,2,2,2,2,2,2,16,7,2,2,12,
