:,CSVFormatTest::testDelimiterSameAsCommentStartThrowsException,CSVFormatTest::testDelimiterSameAsEscapeThrowsException,CSVFormatTest::testDuplicateHeaderElements,CSVFormatTest::testEquals,CSVFormatTest::testEqualsCommentStart,CSVFormatTest::testEqualsDelimiter,CSVFormatTest::testEqualsEscape,CSVFormatTest::testEqualsHeader,CSVFormatTest::testEqualsIgnoreEmptyLines,CSVFormatTest::testEqualsIgnoreSurroundingSpaces,CSVFormatTest::testEqualsNullString,CSVFormatTest::testEqualsQuoteChar,CSVFormatTest::testEqualsQuotePolicy,CSVFormatTest::testEqualsRecordSeparator,CSVFormatTest::testEqualsSkipHeaderRecord,CSVFormatTest::testEscapeSameAsCommentStartThrowsException,CSVFormatTest::testEscapeSameAsCommentStartThrowsExceptionForWrapperType,CSVFormatTest::testFormat,CSVFormatTest::testGetHeader,CSVFormatTest::testNullRecordSeparatorCsv106,CSVFormatTest::testQuoteCharSameAsCommentStartThrowsException,CSVFormatTest::testQuoteCharSameAsCommentStartThrowsExceptionForWrapperType,CSVFormatTest::testQuoteCharSameAsDelimiterThrowsException,CSVFormatTest::testQuotePolicyNoneWithoutEscapeThrowsException,CSVFormatTest::testRFC4180,CSVFormatTest::testWithCommentStart,CSVFormatTest::testWithCommentStartCRThrowsException,CSVFormatTest::testWithDelimiter,CSVFormatTest::testWithDelimiterLFThrowsException,CSVFormatTest::testWithEscape,CSVFormatTest::testWithEscapeCRThrowsExceptions,CSVFormatTest::testWithHeader,CSVFormatTest::testWithIgnoreEmptyLines,CSVFormatTest::testWithIgnoreSurround,CSVFormatTest::testWithNullString,CSVFormatTest::testWithQuoteChar,CSVFormatTest::testWithQuoteLFThrowsException,CSVFormatTest::testWithQuotePolicy,CSVFormatTest::testWithRecordSeparator,
CSVFormatTest::testEqualsNullString ,10,10,11,12,6,10,4,20,3,4,0,8,8,2,2,10,10,18,15,15,10,10,10,11,11,9,11,11,11,10,11,15,11,11,12,9,11,12,11,
CSVFormatTest::testEqualsQuoteChar ,3,3,7,6,2,4,4,28,7,6,8,0,2,8,10,3,4,18,16,16,3,3,3,4,5,4,5,5,5,4,5,16,6,6,6,3,5,6,4,
CSVFormatTest::testEqualsQuotePolicy ,2,2,7,5,4,2,6,28,7,6,8,2,0,10,10,2,4,18,16,16,2,3,2,3,4,2,3,3,3,2,3,16,4,4,4,1,3,4,3,
CSVFormatTest::testEqualsRecordSeparator ,11,11,13,14,7,12,5,20,4,5,2,8,10,0,2,11,11,18,16,15,11,11,11,12,12,11,13,13,13,12,13,16,13,13,14,11,13,14,12,
CSVFormatTest::testEqualsSkipHeaderRecord ,12,12,13,14,8,12,6,19,3,4,2,10,10,2,0,12,12,17,15,14,12,12,12,13,12,11,13,13,13,12,13,15,13,13,14,11,13,14,13,
CSVFormatTest::testEscapeSameAsCommentStartThrowsException ,0,0,7,5,5,1,7,30,9,8,10,3,2,11,12,0,2,18,16,16,0,1,0,2,5,2,3,2,3,2,3,16,4,4,4,2,3,4,2,
CSVFormatTest::testEscapeSameAsCommentStartThrowsExceptionForWrapperType ,2,2,5,6,5,3,7,29,9,8,10,4,4,11,12,2,0,16,14,15,2,1,2,4,6,4,5,4,5,4,5,14,6,6,6,4,5,6,4,
CSVFormatTest::testFormat ,18,18,11,18,18,18,18,16,16,16,18,18,18,18,17,18,16,0,6,7,18,17,18,18,18,18,18,18,18,18,18,6,16,16,18,18,18,18,18,
CSVFormatTest::testGetHeader ,16,16,10,16,16,16,16,16,15,15,15,16,16,16,15,16,14,6,0,9,16,15,16,16,16,16,16,16,16,16,16,0,14,14,16,16,16,16,16,
CSVFormatTest::testNullRecordSeparatorCsv106 ,16,16,10,17,16,16,16,18,14,14,15,16,16,15,14,16,15,7,9,0,16,16,16,16,17,16,16,16,16,16,16,9,15,15,17,16,16,17,16,
CSVFormatTest::testQuoteCharSameAsCommentStartThrowsException ,0,0,7,5,5,1,7,30,9,8,10,3,2,11,12,0,2,18,16,16,0,1,0,2,5,2,3,2,3,2,3,16,4,4,4,2,3,4,2,
CSVFormatTest::testQuoteCharSameAsCommentStartThrowsExceptionForWrapperType ,1,1,6,5,5,2,7,30,9,8,10,3,3,11,12,1,1,17,15,16,1,0,1,3,5,3,4,3,4,3,4,15,5,5,5,3,4,5,3,
CSVFormatTest::testQuoteCharSameAsDelimiterThrowsException ,0,0,7,5,5,1,7,30,9,8,10,3,2,11,12,0,2,18,16,16,0,1,0,2,5,2,3,2,3,2,3,16,4,4,4,2,3,4,2,
CSVFormatTest::testQuotePolicyNoneWithoutEscapeThrowsException ,2,2,7,5,6,2,8,31,10,9,11,4,3,12,13,2,4,18,16,16,2,3,2,0,5,3,1,1,1,3,1,16,2,2,2,3,1,2,0,
CSVFormatTest::testRFC4180 ,5,5,7,4,7,5,9,30,9,8,11,5,4,12,12,5,6,18,16,17,5,5,5,5,0,5,5,5,5,5,5,16,6,6,6,4,5,6,5,
CSVFormatTest::testWithCommentStart ,2,2,7,5,5,2,7,29,8,7,9,4,2,11,11,2,4,18,16,16,2,3,2,3,5,0,3,3,3,2,3,16,4,4,4,2,3,4,3,
CSVFormatTest::testWithCommentStartCRThrowsException ,3,3,7,5,7,3,9,31,10,9,11,5,3,13,13,3,5,18,16,16,3,4,3,1,5,3,0,2,1,3,0,16,2,2,2,3,1,2,1,
CSVFormatTest::testWithDelimiter ,2,2,7,4,7,2,9,31,10,9,11,5,3,13,13,2,4,18,16,16,2,3,2,1,5,3,2,0,2,3,2,16,3,3,3,3,2,3,1,
CSVFormatTest::testWithDelimiterLFThrowsException ,3,3,7,5,7,3,9,31,10,9,11,5,3,13,13,3,5,18,16,16,3,4,3,1,5,3,1,2,0,3,1,16,2,2,2,3,0,2,1,
CSVFormatTest::testWithEscape ,2,2,7,5,6,2,8,30,9,8,10,4,2,12,12,2,4,18,16,16,2,3,2,3,5,2,3,3,3,0,3,16,4,4,4,2,3,4,3,
CSVFormatTest::testWithEscapeCRThrowsExceptions ,3,3,7,5,7,3,9,31,10,9,11,5,3,13,13,3,5,18,16,16,3,4,3,1,5,3,0,2,1,3,0,16,2,2,2,3,1,2,1,
CSVFormatTest::testWithHeader ,16,16,10,16,16,16,16,16,15,15,15,16,16,16,15,16,14,6,0,9,16,15,16,16,16,16,16,16,16,16,16,0,14,14,16,16,16,16,16,
CSVFormatTest::testWithIgnoreEmptyLines ,4,4,5,5,8,4,10,30,10,9,11,6,4,13,13,4,6,16,14,15,4,5,4,2,6,4,2,3,2,4,2,14,0,0,2,4,2,2,2,
CSVFormatTest::testWithIgnoreSurround ,4,4,5,5,8,4,10,30,10,9,11,6,4,13,13,4,6,16,14,15,4,5,4,2,6,4,2,3,2,4,2,14,0,0,2,4,2,2,2,
CSVFormatTest::testWithNullString ,4,4,7,5,8,4,10,32,11,10,12,6,4,14,14,4,6,18,16,17,4,5,4,2,6,4,2,3,2,4,2,16,2,2,0,4,2,0,2,
CSVFormatTest::testWithQuoteChar ,2,2,7,5,5,2,7,29,8,7,9,3,1,11,11,2,4,18,16,16,2,3,2,3,4,2,3,3,3,2,3,16,4,4,4,0,3,4,3,
CSVFormatTest::testWithQuoteLFThrowsException ,3,3,7,5,7,3,9,31,10,9,11,5,3,13,13,3,5,18,16,16,3,4,3,1,5,3,1,2,0,3,1,16,2,2,2,3,0,2,1,
CSVFormatTest::testWithQuotePolicy ,4,4,7,5,8,4,10,32,11,10,12,6,4,14,14,4,6,18,16,17,4,5,4,2,6,4,2,3,2,4,2,16,2,2,0,4,2,0,2,
CSVFormatTest::testWithRecordSeparator ,2,2,7,5,6,2,8,31,10,9,11,4,3,12,13,2,4,18,16,16,2,3,2,0,5,3,1,1,1,3,1,16,2,2,2,3,1,2,0,
