:,CSVFormat_ESTest::test00,CSVFormat_ESTest::test01,CSVFormat_ESTest::test02,CSVFormat_ESTest::test03,CSVFormat_ESTest::test04,CSVFormat_ESTest::test05,CSVFormat_ESTest::test06,CSVFormat_ESTest::test07,CSVFormat_ESTest::test08,CSVFormat_ESTest::test09,CSVFormat_ESTest::test10,CSVFormat_ESTest::test11,CSVFormat_ESTest::test12,CSVFormat_ESTest::test13,CSVFormat_ESTest::test14,CSVFormat_ESTest::test15,CSVFormat_ESTest::test16,CSVFormat_ESTest::test17,CSVFormat_ESTest::test18,CSVFormat_ESTest::test19,CSVFormat_ESTest::test20,CSVFormat_ESTest::test21,CSVFormat_ESTest::test22,CSVFormat_ESTest::test23,CSVFormat_ESTest::test24,CSVFormat_ESTest::test25,CSVFormat_ESTest::test26,CSVFormat_ESTest::test27,CSVFormat_ESTest::test28,CSVFormat_ESTest::test29,CSVFormat_ESTest::test30,CSVFormat_ESTest::test31,CSVFormat_ESTest::test32,CSVFormat_ESTest::test33,CSVFormat_ESTest::test34,CSVFormat_ESTest::test35,CSVFormat_ESTest::test36,CSVFormat_ESTest::test37,CSVFormat_ESTest::test38,CSVFormat_ESTest::test39,CSVFormat_ESTest::test40,CSVFormat_ESTest::test41,CSVFormat_ESTest::test42,CSVFormat_ESTest::test43,CSVFormat_ESTest::test44,CSVFormat_ESTest::test45,CSVFormat_ESTest::test46,CSVFormat_ESTest::test47,CSVFormat_ESTest::test48,CSVFormat_ESTest::test49,CSVFormat_ESTest::test50,
CSVFormat_ESTest::test10 ,3,4,2,3,1,4,3,4,2,4,0,4,2,3,4,4,3,4,4,4,4,4,3,5,4,4,3,4,4,4,4,4,4,3,4,3,4,3,3,4,3,4,16,3,3,3,2,2,0,3,1,
CSVFormat_ESTest::test11 ,2,2,2,2,3,1,3,2,3,1,4,0,3,2,2,2,2,1,3,2,2,3,4,4,1,1,2,0,2,1,4,3,4,2,4,2,2,3,2,2,2,2,16,5,5,5,3,3,4,2,4,
CSVFormat_ESTest::test12 ,2,3,2,2,1,3,3,3,1,3,2,3,0,2,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,4,3,4,2,3,2,3,2,2,3,2,3,15,3,3,3,1,1,2,2,2,
CSVFormat_ESTest::test13 ,3,3,3,3,2,3,3,3,2,2,3,2,2,0,3,3,3,2,2,3,3,2,3,3,2,2,1,2,3,2,2,2,4,3,3,3,2,2,2,3,2,3,16,4,4,4,2,2,3,1,3,
CSVFormat_ESTest::test14 ,2,0,2,1,3,1,3,0,3,2,4,2,3,3,0,1,1,1,4,0,0,4,5,5,1,2,3,2,0,2,5,4,5,1,5,1,3,4,2,0,2,0,17,5,5,5,3,3,4,3,4,
CSVFormat_ESTest::test15 ,2,1,2,1,3,1,3,1,3,1,4,2,3,3,1,0,1,1,4,1,1,4,5,5,1,2,3,2,1,2,5,4,5,1,5,1,3,4,2,1,2,1,17,5,5,5,3,3,4,3,4,
CSVFormat_ESTest::test16 ,2,1,1,1,3,1,2,1,3,2,3,2,3,3,1,1,0,1,4,1,1,4,4,5,1,2,3,2,1,2,5,4,5,1,5,1,3,4,2,1,2,1,17,5,5,5,3,3,3,3,3,
CSVFormat_ESTest::test17 ,2,1,2,1,3,1,3,1,3,1,4,1,3,2,1,1,1,0,3,1,1,3,4,4,0,1,2,1,1,1,4,3,4,1,4,1,2,3,2,1,2,1,17,5,5,5,3,3,4,2,4,
CSVFormat_ESTest::test18 ,4,4,4,4,3,4,4,4,3,3,4,3,3,2,4,4,4,3,0,4,4,1,3,2,3,3,2,3,4,3,3,2,4,4,2,4,3,2,3,4,3,4,16,4,4,4,3,3,4,2,4,
CSVFormat_ESTest::test19 ,2,0,2,1,3,1,3,0,3,2,4,2,3,3,0,1,1,1,4,0,0,4,5,5,1,2,3,2,0,2,5,4,5,1,5,1,3,4,2,0,2,0,17,5,5,5,3,3,4,3,4,
CSVFormat_ESTest::test20 ,2,0,2,1,3,1,3,0,3,2,4,2,3,3,0,1,1,1,4,0,0,4,5,5,1,2,3,2,0,2,5,4,5,1,5,1,3,4,2,0,2,0,17,5,5,5,3,3,4,3,4,
CSVFormat_ESTest::test21 ,4,4,4,4,3,4,4,4,3,3,4,3,3,2,4,4,4,3,1,4,4,0,3,2,3,3,2,3,4,3,3,2,4,4,2,4,3,2,3,4,3,4,16,4,4,4,3,3,4,2,4,
CSVFormat_ESTest::test22 ,4,5,4,5,4,5,4,5,4,4,3,4,4,3,5,5,4,4,3,5,5,3,0,4,4,4,3,4,5,3,4,2,4,5,4,5,4,3,4,5,4,5,16,5,5,5,4,4,3,3,3,
CSVFormat_ESTest::test23 ,5,5,5,5,4,5,5,5,4,4,5,4,4,3,5,5,5,4,2,5,5,2,4,0,4,4,3,4,5,4,3,3,4,5,2,5,4,3,4,5,4,5,16,4,4,4,4,4,5,3,5,
CSVFormat_ESTest::test24 ,2,1,2,1,3,1,3,1,3,1,4,1,3,2,1,1,1,0,3,1,1,3,4,4,0,1,2,1,1,1,4,3,4,1,4,1,2,3,2,1,2,1,17,5,5,5,3,3,4,2,4,
CSVFormat_ESTest::test25 ,2,2,2,1,3,2,2,2,3,1,4,1,3,2,2,2,2,1,3,2,2,3,4,4,1,0,2,1,2,1,4,3,3,1,3,1,1,2,2,2,2,2,17,5,5,5,3,3,4,2,4,
CSVFormat_ESTest::test26 ,3,3,3,3,2,3,3,3,2,2,3,2,2,1,3,3,3,2,2,3,3,2,3,3,2,2,0,2,3,2,3,2,4,3,3,3,2,2,2,3,2,3,16,4,4,4,2,2,3,1,3,
CSVFormat_ESTest::test27 ,2,2,2,2,3,1,3,2,3,1,4,0,3,2,2,2,2,1,3,2,2,3,4,4,1,1,2,0,2,1,4,3,4,2,4,2,2,3,2,2,2,2,16,5,5,5,3,3,4,2,4,
CSVFormat_ESTest::test28 ,2,0,2,1,3,1,3,0,3,2,4,2,3,3,0,1,1,1,4,0,0,4,5,5,1,2,3,2,0,2,5,4,5,1,5,1,3,4,2,0,2,0,17,5,5,5,3,3,4,3,4,
CSVFormat_ESTest::test29 ,1,2,2,2,3,2,3,2,3,1,4,1,3,2,2,2,2,1,3,2,2,3,3,4,1,1,2,1,2,0,4,2,3,2,4,2,1,3,2,2,2,2,16,5,5,5,3,3,4,2,4,
CSVFormat_ESTest::test30 ,5,5,5,5,4,5,5,5,4,4,4,4,4,2,5,5,5,4,3,5,5,3,4,3,4,4,3,4,5,4,0,3,4,5,3,5,4,3,4,5,4,5,15,3,3,3,4,4,4,3,4,
CSVFormat_ESTest::test31 ,3,4,4,4,3,4,4,4,3,3,4,3,3,2,4,4,4,3,2,4,4,2,2,3,3,3,2,3,4,2,3,0,4,4,3,4,3,2,3,4,3,4,15,3,3,3,3,3,4,2,4,
CSVFormat_ESTest::test32 ,3,5,4,4,4,5,4,5,4,4,4,4,4,4,5,5,5,4,4,5,5,4,4,4,4,3,4,4,5,3,4,4,0,4,4,4,2,3,5,5,5,5,15,5,5,5,4,4,4,4,4,
CSVFormat_ESTest::test33 ,1,1,1,0,2,1,2,1,2,2,3,2,2,3,1,1,1,1,4,1,1,4,5,5,1,1,3,2,1,2,5,4,4,0,4,0,2,3,2,1,2,1,17,4,4,4,2,2,3,3,3,
CSVFormat_ESTest::test34 ,4,5,4,4,3,5,4,5,3,4,4,4,3,3,5,5,5,4,2,5,5,2,4,2,4,3,3,4,5,4,3,3,4,4,0,4,3,2,4,5,4,5,16,4,4,4,3,3,4,3,4,
CSVFormat_ESTest::test35 ,1,1,1,0,2,1,2,1,2,2,3,2,2,3,1,1,1,1,4,1,1,4,5,5,1,1,3,2,1,2,5,4,4,0,4,0,2,3,2,1,2,1,17,4,4,4,2,2,3,3,3,
CSVFormat_ESTest::test36 ,1,3,2,2,3,3,2,3,3,2,4,2,3,2,3,3,3,2,3,3,3,3,4,4,2,1,2,2,3,1,4,3,2,2,3,2,0,2,3,3,3,3,16,5,5,5,3,3,4,2,4,
CSVFormat_ESTest::test37 ,3,4,3,3,2,4,3,4,2,3,3,3,2,2,4,4,4,3,2,4,4,2,3,3,3,2,2,3,4,3,3,2,3,3,2,3,2,0,3,4,3,4,16,4,4,4,2,2,3,2,3,
CSVFormat_ESTest::test38 ,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,3,2,2,3,4,4,2,2,2,2,2,2,4,3,5,2,4,2,3,3,0,2,1,2,16,4,4,4,2,2,3,2,3,
CSVFormat_ESTest::test39 ,2,0,2,1,3,1,3,0,3,2,4,2,3,3,0,1,1,1,4,0,0,4,5,5,1,2,3,2,0,2,5,4,5,1,5,1,3,4,2,0,2,0,17,5,5,5,3,3,4,3,4,
CSVFormat_ESTest::test40 ,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,3,2,2,3,4,4,2,2,2,2,2,2,4,3,5,2,4,2,3,3,1,2,0,2,16,4,4,4,2,2,3,2,3,
CSVFormat_ESTest::test41 ,2,0,2,1,3,1,3,0,3,2,4,2,3,3,0,1,1,1,4,0,0,4,5,5,1,2,3,2,0,2,5,4,5,1,5,1,3,4,2,0,2,0,17,5,5,5,3,3,4,3,4,
CSVFormat_ESTest::test42 ,16,17,17,17,16,16,17,17,16,17,16,16,15,16,17,17,17,17,16,17,17,16,16,16,17,17,16,16,17,16,15,15,15,17,16,17,16,16,16,17,16,17,0,15,15,15,16,16,16,16,16,
CSVFormat_ESTest::test43 ,4,5,4,4,3,5,5,5,3,5,3,5,3,4,5,5,5,5,4,5,5,4,5,4,5,5,4,5,5,5,3,3,5,4,4,4,5,4,4,5,4,5,15,0,0,0,3,3,3,4,3,
CSVFormat_ESTest::test44 ,4,5,4,4,3,5,5,5,3,5,3,5,3,4,5,5,5,5,4,5,5,4,5,4,5,5,4,5,5,5,3,3,5,4,4,4,5,4,4,5,4,5,15,0,0,0,3,3,3,4,3,
CSVFormat_ESTest::test45 ,4,5,4,4,3,5,5,5,3,5,3,5,3,4,5,5,5,5,4,5,5,4,5,4,5,5,4,5,5,5,3,3,5,4,4,4,5,4,4,5,4,5,15,0,0,0,3,3,3,4,3,
CSVFormat_ESTest::test46 ,2,3,2,2,1,3,3,3,1,3,2,3,1,2,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,4,3,4,2,3,2,3,2,2,3,2,3,16,3,3,3,0,1,2,2,2,
CSVFormat_ESTest::test47 ,2,3,2,2,1,3,3,3,1,3,2,3,1,2,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,4,3,4,2,3,2,3,2,2,3,2,3,16,3,3,3,1,0,2,2,2,
CSVFormat_ESTest::test48 ,3,4,2,3,1,4,3,4,2,4,0,4,2,3,4,4,3,4,4,4,4,4,3,5,4,4,3,4,4,4,4,4,4,3,4,3,4,3,3,4,3,4,16,3,3,3,2,2,0,3,1,
CSVFormat_ESTest::test49 ,3,3,3,3,2,3,3,3,2,2,3,2,2,1,3,3,3,2,2,3,3,2,3,3,2,2,1,2,3,2,3,2,4,3,3,3,2,2,2,3,2,3,16,4,4,4,2,2,3,0,3,
CSVFormat_ESTest::test50 ,3,4,2,3,2,4,3,4,1,4,1,4,2,3,4,4,3,4,4,4,4,4,3,5,4,4,3,4,4,4,4,4,4,3,4,3,4,3,3,4,3,4,16,3,3,3,2,2,1,3,0,
