:,CSVParserTest::testBOM,CSVParserTest::testBOMInputStream_ParserWithInputStream,CSVParserTest::testBOMInputStream_ParserWithReader,CSVParserTest::testBOMInputStream_parseWithReader,CSVParserTest::testBackslashEscaping,CSVParserTest::testBackslashEscaping2,CSVParserTest::testBackslashEscapingOld,CSVParserTest::testCSV57,CSVParserTest::testCarriageReturnEndings,CSVParserTest::testCarriageReturnLineFeedEndings,CSVParserTest::testClose,CSVParserTest::testDefaultFormat,CSVParserTest::testDuplicateHeaders,CSVParserTest::testEmptyFile,CSVParserTest::testEmptyLineBehaviourCSV,CSVParserTest::testEmptyLineBehaviourExcel,CSVParserTest::testEndOfFileBehaviorCSV,CSVParserTest::testEndOfFileBehaviourExcel,CSVParserTest::testExcelFormat1,CSVParserTest::testExcelFormat2,CSVParserTest::testExcelHeaderCountLessThanData,CSVParserTest::testFirstEndOfLineCr,CSVParserTest::testFirstEndOfLineCrLf,CSVParserTest::testFirstEndOfLineLf,CSVParserTest::testForEach,CSVParserTest::testGetHeaderMap,CSVParserTest::testGetLine,CSVParserTest::testGetLineNumberWithCR,CSVParserTest::testGetLineNumberWithCRLF,CSVParserTest::testGetLineNumberWithLF,CSVParserTest::testGetOneLine,CSVParserTest::testGetOneLineOneParser,CSVParserTest::testGetRecordNumberWithCR,CSVParserTest::testGetRecordNumberWithCRLF,CSVParserTest::testGetRecordNumberWithLF,CSVParserTest::testGetRecordPositionWithCRLF,CSVParserTest::testGetRecordPositionWithLF,CSVParserTest::testGetRecordWithMultiLineValues,CSVParserTest::testGetRecords,CSVParserTest::testHeader,CSVParserTest::testHeaderComment,CSVParserTest::testHeaderMissing,CSVParserTest::testHeaderMissingWithNull,CSVParserTest::testHeadersMissing,CSVParserTest::testHeadersMissingException,CSVParserTest::testIgnoreCaseHeaderMapping,CSVParserTest::testIgnoreEmptyLines,CSVParserTest::testInvalidFormat,CSVParserTest::testIterator,CSVParserTest::testIteratorSequenceBreaking,CSVParserTest::testLineFeedEndings,CSVParserTest::testMappedButNotSetAsOutlook2007ContactExport,CSVParserTest::testMultipleIterators,CSVParserTest::testNewCSVParserNullReaderFormat,CSVParserTest::testNewCSVParserReaderNullFormat,CSVParserTest::testNoHeaderMap,CSVParserTest::testParseFileNullFormat,CSVParserTest::testParseNullFileFormat,CSVParserTest::testParseNullStringFormat,CSVParserTest::testParseNullUrlCharsetFormat,CSVParserTest::testParseStringNullFormat,CSVParserTest::testParseUrlCharsetNullFormat,CSVParserTest::testParserUrlNullCharsetFormat,CSVParserTest::testProvidedHeader,CSVParserTest::testProvidedHeaderAuto,CSVParserTest::testRoundtrip,CSVParserTest::testSkipAutoHeader,CSVParserTest::testSkipHeaderOverrideDuplicateHeaders,CSVParserTest::testSkipSetAltHeaders,CSVParserTest::testSkipSetHeader,CSVParserTest::testStartWithEmptyLinesThenHeaders,CSVParserTest::testTrailingDelimiter,CSVParserTest::testTrim,
CSVParserTest::testClose ,4,8,8,8,115,45,101,6,6,6,0,70,6,5,34,48,58,65,79,52,4,6,6,6,37,15,5,7,8,7,5,13,7,8,7,8,7,9,9,6,5,6,5,5,5,9,6,5,29,15,6,9,7,4,4,5,5,6,6,6,6,4,4,14,6,4,6,9,9,9,48,10,10,
CSVParserTest::testDefaultFormat ,71,75,75,75,58,36,48,72,72,72,70,0,74,72,47,39,36,37,36,29,71,72,72,72,41,58,71,74,75,74,71,66,74,75,74,75,74,69,70,68,68,69,73,73,73,64,72,70,45,60,72,64,67,70,69,72,73,74,74,74,74,70,70,59,68,70,73,64,64,64,39,64,64,
CSVParserTest::testDuplicateHeaders ,3,2,2,2,119,48,105,5,4,4,6,74,0,3,37,51,62,69,82,55,3,4,4,4,39,17,5,2,2,2,5,15,2,2,2,2,2,11,10,6,8,5,1,1,1,10,4,7,30,16,4,10,8,5,6,3,2,1,1,1,1,5,5,15,6,5,2,10,10,10,51,11,11,
CSVParserTest::testEmptyFile ,1,3,3,3,117,46,103,2,1,1,5,72,3,0,35,49,60,67,80,53,1,1,1,1,37,15,3,3,3,3,3,14,3,3,3,3,3,8,8,7,9,6,3,3,3,11,1,4,32,18,1,11,6,2,3,0,3,2,2,2,2,2,2,16,7,2,3,11,11,11,49,12,12,
CSVParserTest::testEmptyLineBehaviourCSV ,34,38,38,38,91,27,71,34,34,34,34,47,37,35,0,15,27,33,47,26,34,34,34,34,25,24,32,38,38,38,32,30,38,38,38,38,38,32,27,32,33,33,36,36,36,30,34,34,21,29,34,30,31,34,33,35,36,37,37,37,37,34,34,27,32,33,36,30,30,30,15,29,29,
CSVParserTest::testEmptyLineBehaviourExcel ,48,52,52,52,82,26,60,48,48,48,48,39,51,49,15,0,21,20,38,17,48,48,48,48,32,37,46,52,52,52,46,44,52,52,52,52,52,46,41,45,46,46,50,50,50,41,48,48,31,40,48,41,44,48,47,49,50,51,51,51,51,48,48,39,45,47,50,41,41,41,0,40,40,
CSVParserTest::testEndOfFileBehaviorCSV ,59,63,63,63,74,32,53,59,59,59,58,36,62,60,27,21,0,8,34,25,59,59,59,59,39,48,57,62,63,62,57,55,62,63,62,63,62,57,52,56,56,57,61,61,61,52,59,58,38,52,59,52,55,59,58,60,61,62,62,62,62,59,59,50,56,58,61,52,52,52,21,51,51,
CSVParserTest::testEndOfFileBehaviourExcel ,66,70,70,70,71,39,48,66,66,66,65,37,69,67,33,20,8,0,30,23,66,66,66,66,44,55,64,69,70,69,64,62,69,70,69,70,69,64,59,63,63,64,68,68,68,59,66,65,44,58,66,59,62,66,65,67,68,69,69,69,69,66,66,57,63,65,68,59,59,59,20,58,58,
CSVParserTest::testExcelFormat1 ,79,83,83,83,57,42,37,79,79,79,79,36,82,80,47,38,34,30,0,30,79,79,79,79,49,66,77,83,83,83,77,76,83,83,83,83,83,77,72,76,76,77,81,81,81,72,79,79,52,70,79,72,75,79,78,80,81,82,82,82,82,79,79,67,76,78,81,72,72,72,38,71,71,
CSVParserTest::testExcelFormat2 ,52,56,56,56,74,27,52,52,52,52,52,29,55,53,26,17,25,23,30,0,52,52,52,52,33,42,50,56,56,56,50,49,56,56,56,56,56,50,45,49,49,50,54,54,54,46,52,52,33,43,52,46,48,52,51,53,54,55,55,55,55,52,52,43,49,51,54,46,46,46,17,45,45,
CSVParserTest::testExcelHeaderCountLessThanData ,0,4,4,4,116,45,102,3,2,2,4,71,3,1,34,48,59,66,79,52,0,2,2,2,37,14,3,4,4,4,3,14,4,4,4,4,4,9,8,6,8,5,4,4,4,10,2,4,31,17,2,10,6,2,3,1,3,3,3,3,3,2,2,15,6,2,4,10,10,10,48,11,11,
CSVParserTest::testFirstEndOfLineCr ,2,4,4,4,117,46,102,1,0,0,6,72,4,1,34,48,59,66,79,52,2,0,0,0,36,15,3,4,4,4,3,14,4,4,4,4,4,8,7,7,9,6,4,4,4,11,0,4,32,18,0,11,6,2,3,1,4,3,3,3,3,2,2,16,7,3,4,11,11,11,48,12,12,
CSVParserTest::testFirstEndOfLineCrLf ,2,4,4,4,117,46,102,1,0,0,6,72,4,1,34,48,59,66,79,52,2,0,0,0,36,15,3,4,4,4,3,14,4,4,4,4,4,8,7,7,9,6,4,4,4,11,0,4,32,18,0,11,6,2,3,1,4,3,3,3,3,2,2,16,7,3,4,11,11,11,48,12,12,
CSVParserTest::testFirstEndOfLineLf ,2,4,4,4,117,46,102,1,0,0,6,72,4,1,34,48,59,66,79,52,2,0,0,0,36,15,3,4,4,4,3,14,4,4,4,4,4,8,7,7,9,6,4,4,4,11,0,4,32,18,0,11,6,2,3,1,4,3,3,3,3,2,2,16,7,3,4,11,11,11,48,12,12,
CSVParserTest::testForEach ,37,40,40,40,85,18,71,36,36,36,37,41,39,37,25,32,39,44,49,33,37,36,36,36,0,23,36,40,40,40,35,32,40,40,40,40,40,33,33,33,33,34,38,38,38,29,36,37,9,30,36,29,31,36,35,37,37,38,38,38,38,36,36,24,33,35,38,29,29,29,32,29,29,
CSVParserTest::testGetHeaderMap ,14,18,18,18,103,32,89,15,15,15,15,58,17,15,24,37,48,55,66,42,14,15,15,15,23,0,14,18,18,18,13,14,18,18,18,18,18,14,13,12,13,13,16,16,16,9,15,14,17,13,15,9,10,14,13,15,16,17,17,17,17,14,14,4,12,13,16,9,9,9,37,9,9,
CSVParserTest::testGetLine ,3,6,6,6,117,46,100,3,3,3,5,71,5,3,32,46,57,64,77,50,3,3,3,3,36,14,0,6,6,6,1,12,6,6,6,6,6,8,5,6,8,5,5,5,5,10,3,5,31,17,3,10,5,4,4,3,6,5,5,5,5,4,4,15,6,4,5,10,10,10,46,11,11,
CSVParserTest::testGetLineNumberWithCR ,4,2,2,2,119,48,105,5,4,4,7,74,2,3,38,52,62,69,83,56,4,4,4,4,40,18,6,0,2,1,6,17,0,2,1,2,1,11,11,7,8,6,3,3,3,11,4,5,32,18,4,11,9,5,6,3,3,2,2,2,2,5,5,16,7,5,2,11,11,11,52,12,12,
CSVParserTest::testGetLineNumberWithCRLF ,4,0,0,0,120,49,106,5,4,4,8,75,2,3,38,52,63,70,83,56,4,4,4,4,40,18,6,2,0,2,6,17,2,0,2,0,2,11,11,7,9,6,3,3,3,11,4,7,32,18,4,11,9,5,6,3,3,2,2,2,2,5,5,16,7,5,2,11,11,11,52,12,12,
CSVParserTest::testGetLineNumberWithLF ,4,2,2,2,118,48,105,5,4,4,7,74,2,3,38,52,62,69,83,56,4,4,4,4,40,18,6,1,2,0,6,17,1,2,0,2,0,10,11,7,8,6,3,3,3,11,4,6,32,18,4,11,9,5,6,3,3,2,2,2,2,5,5,16,7,5,2,11,11,11,52,12,12,
CSVParserTest::testGetOneLine ,3,6,6,6,116,45,100,3,3,3,5,71,5,3,32,46,57,64,77,50,3,3,3,3,35,13,1,6,6,6,0,12,6,6,6,6,6,8,5,5,7,4,5,5,5,10,3,5,30,16,3,10,4,4,4,3,6,5,5,5,5,4,4,14,5,4,5,10,10,10,46,11,11,
CSVParserTest::testGetOneLineOneParser ,14,17,17,17,113,42,99,14,14,14,13,66,15,14,30,44,55,62,76,49,14,14,14,14,32,14,12,17,17,17,12,0,17,17,17,17,17,14,12,14,14,15,14,14,14,13,14,13,27,15,14,13,12,12,12,14,14,15,15,15,15,12,12,15,14,12,15,13,13,13,44,13,13,
CSVParserTest::testGetRecordNumberWithCR ,4,2,2,2,119,48,105,5,4,4,7,74,2,3,38,52,62,69,83,56,4,4,4,4,40,18,6,0,2,1,6,17,0,2,1,2,1,11,11,7,8,6,3,3,3,11,4,5,32,18,4,11,9,5,6,3,3,2,2,2,2,5,5,16,7,5,2,11,11,11,52,12,12,
CSVParserTest::testGetRecordNumberWithCRLF ,4,0,0,0,120,49,106,5,4,4,8,75,2,3,38,52,63,70,83,56,4,4,4,4,40,18,6,2,0,2,6,17,2,0,2,0,2,11,11,7,9,6,3,3,3,11,4,7,32,18,4,11,9,5,6,3,3,2,2,2,2,5,5,16,7,5,2,11,11,11,52,12,12,
CSVParserTest::testGetRecordNumberWithLF ,4,2,2,2,118,48,105,5,4,4,7,74,2,3,38,52,62,69,83,56,4,4,4,4,40,18,6,1,2,0,6,17,1,2,0,2,0,10,11,7,8,6,3,3,3,11,4,6,32,18,4,11,9,5,6,3,3,2,2,2,2,5,5,16,7,5,2,11,11,11,52,12,12,
CSVParserTest::testGetRecordPositionWithCRLF ,4,0,0,0,120,49,106,5,4,4,8,75,2,3,38,52,63,70,83,56,4,4,4,4,40,18,6,2,0,2,6,17,2,0,2,0,2,11,11,7,9,6,3,3,3,11,4,7,32,18,4,11,9,5,6,3,3,2,2,2,2,5,5,16,7,5,2,11,11,11,52,12,12,
CSVParserTest::testGetRecordPositionWithLF ,4,2,2,2,118,48,105,5,4,4,7,74,2,3,38,52,62,69,83,56,4,4,4,4,40,18,6,1,2,0,6,17,1,2,0,2,0,10,11,7,8,6,3,3,3,11,4,6,32,18,4,11,9,5,6,3,3,2,2,2,2,5,5,16,7,5,2,11,11,11,52,12,12,
CSVParserTest::testGetRecordWithMultiLineValues ,9,11,11,11,114,43,99,7,8,8,9,69,11,8,32,46,57,64,77,50,9,8,8,8,33,14,8,11,11,10,8,14,11,11,10,11,10,0,8,10,11,10,10,10,10,9,8,8,28,16,8,9,8,8,7,8,10,10,10,10,10,8,8,14,10,7,10,9,9,9,46,10,10,
CSVParserTest::testGetRecords ,8,11,11,11,115,44,95,7,7,7,9,70,10,8,27,41,52,59,72,45,8,7,7,7,33,13,5,11,11,11,5,12,11,11,11,11,11,8,0,9,9,9,10,10,10,11,7,9,29,16,7,11,6,9,9,8,11,10,10,10,10,9,9,14,9,9,10,11,11,11,41,12,12,
CSVParserTest::testHeader ,6,7,7,7,113,42,99,7,7,7,6,68,6,7,32,45,56,63,76,49,6,7,7,7,33,12,6,7,7,7,5,14,7,7,7,7,7,10,9,0,2,1,5,5,5,7,7,7,25,12,7,7,4,6,6,7,6,7,7,7,7,6,6,10,0,6,5,7,7,7,45,8,8,
CSVParserTest::testHeaderComment ,8,9,9,9,112,42,99,9,9,9,5,68,8,9,33,46,56,63,76,49,8,9,9,9,33,13,8,8,9,8,7,14,8,9,8,9,8,11,9,2,0,3,7,7,7,8,9,8,25,12,9,8,6,8,8,9,8,9,9,9,9,8,8,10,2,8,7,8,8,8,46,9,9,
CSVParserTest::testHeaderMissing ,5,6,6,6,114,43,100,6,6,6,6,69,5,6,33,46,57,64,77,50,5,6,6,6,34,13,5,6,6,6,4,15,6,6,6,6,6,10,9,1,3,0,4,4,4,8,6,7,26,12,6,8,5,5,5,6,5,6,6,6,6,5,5,11,1,5,4,8,8,8,46,9,9,
CSVParserTest::testHeaderMissingWithNull ,4,3,3,3,118,47,104,5,4,4,5,73,1,3,36,50,61,68,81,54,4,4,4,4,38,16,5,3,3,3,5,14,3,3,3,3,3,10,10,5,7,4,0,0,0,9,4,6,29,15,4,9,8,4,5,3,1,2,2,2,2,4,4,14,5,4,1,9,9,9,50,10,10,
CSVParserTest::testHeadersMissing ,4,3,3,3,118,47,104,5,4,4,5,73,1,3,36,50,61,68,81,54,4,4,4,4,38,16,5,3,3,3,5,14,3,3,3,3,3,10,10,5,7,4,0,0,0,9,4,6,29,15,4,9,8,4,5,3,1,2,2,2,2,4,4,14,5,4,1,9,9,9,50,10,10,
CSVParserTest::testHeadersMissingException ,4,3,3,3,118,47,104,5,4,4,5,73,1,3,36,50,61,68,81,54,4,4,4,4,38,16,5,3,3,3,5,14,3,3,3,3,3,10,10,5,7,4,0,0,0,9,4,6,29,15,4,9,8,4,5,3,1,2,2,2,2,4,4,14,5,4,1,9,9,9,50,10,10,
CSVParserTest::testIgnoreCaseHeaderMapping ,10,11,11,11,109,38,95,11,11,11,9,64,10,11,30,41,52,59,72,46,10,11,11,11,29,9,10,11,11,11,10,13,11,11,11,11,11,9,11,7,8,8,9,9,9,0,11,10,21,13,11,0,10,10,9,11,10,11,11,11,11,10,10,5,7,9,9,0,0,0,41,1,1,
CSVParserTest::testIgnoreEmptyLines ,2,4,4,4,117,46,102,1,0,0,6,72,4,1,34,48,59,66,79,52,2,0,0,0,36,15,3,4,4,4,3,14,4,4,4,4,4,8,7,7,9,6,4,4,4,11,0,4,32,18,0,11,6,2,3,1,4,3,3,3,3,2,2,16,7,3,4,11,11,11,48,12,12,
CSVParserTest::testInvalidFormat ,4,7,7,7,115,45,101,5,4,4,5,70,7,4,34,48,58,65,79,52,4,4,4,4,37,14,5,5,7,6,5,13,5,7,6,7,6,8,9,7,8,7,6,6,6,10,4,0,31,17,4,10,7,2,2,4,5,6,6,6,6,2,2,15,7,3,6,10,10,10,48,11,11,
CSVParserTest::testIterator ,31,32,32,32,89,18,75,32,32,32,29,45,30,32,21,31,38,44,52,33,31,32,32,32,9,17,31,32,32,32,30,27,32,32,32,32,32,28,29,25,25,26,29,29,29,21,32,31,0,23,32,21,26,31,30,32,30,31,31,31,31,31,31,16,25,30,30,21,21,21,31,21,21,
CSVParserTest::testIteratorSequenceBreaking ,17,18,18,18,104,38,91,18,18,18,15,60,16,18,29,40,52,58,70,43,17,18,18,18,30,13,17,18,18,18,16,15,18,18,18,18,18,16,16,12,12,12,15,15,15,13,18,17,23,0,18,13,14,17,16,18,16,17,17,17,17,17,17,13,12,16,16,13,13,13,40,13,13,
CSVParserTest::testLineFeedEndings ,2,4,4,4,117,46,102,1,0,0,6,72,4,1,34,48,59,66,79,52,2,0,0,0,36,15,3,4,4,4,3,14,4,4,4,4,4,8,7,7,9,6,4,4,4,11,0,4,32,18,0,11,6,2,3,1,4,3,3,3,3,2,2,16,7,3,4,11,11,11,48,12,12,
CSVParserTest::testMappedButNotSetAsOutlook2007ContactExport ,10,11,11,11,109,38,95,11,11,11,9,64,10,11,30,41,52,59,72,46,10,11,11,11,29,9,10,11,11,11,10,13,11,11,11,11,11,9,11,7,8,8,9,9,9,0,11,10,21,13,11,0,10,10,9,11,10,11,11,11,11,10,10,5,7,9,9,0,0,0,41,1,1,
CSVParserTest::testMultipleIterators ,6,9,9,9,112,41,98,6,6,6,7,67,8,6,31,44,55,62,75,48,6,6,6,6,31,10,5,9,9,9,4,12,9,9,9,9,9,8,6,4,6,5,8,8,8,10,6,7,26,14,6,10,0,7,7,6,9,8,8,8,8,7,7,12,4,7,8,10,10,10,44,10,10,
CSVParserTest::testNewCSVParserNullReaderFormat ,2,5,5,5,116,45,102,3,2,2,4,70,5,2,34,48,59,66,79,52,2,2,2,2,36,14,4,5,5,5,4,12,5,5,5,5,5,8,9,6,8,5,4,4,4,10,2,2,31,17,2,10,7,0,1,2,3,4,4,4,4,0,0,15,6,1,4,10,10,10,48,11,11,
CSVParserTest::testNewCSVParserReaderNullFormat ,3,6,6,6,115,44,101,4,3,3,4,69,6,3,33,47,58,65,78,51,3,3,3,3,35,13,4,6,6,6,4,12,6,6,6,6,6,7,9,6,8,5,5,5,5,9,3,2,30,16,3,9,7,1,0,3,4,5,5,5,5,1,1,14,6,1,5,9,9,9,47,10,10,
CSVParserTest::testNoHeaderMap ,1,3,3,3,117,46,103,2,1,1,5,72,3,0,35,49,60,67,80,53,1,1,1,1,37,15,3,3,3,3,3,14,3,3,3,3,3,8,8,7,9,6,3,3,3,11,1,4,32,18,1,11,6,2,3,0,3,2,2,2,2,2,2,16,7,2,3,11,11,11,49,12,12,
CSVParserTest::testParseFileNullFormat ,3,3,3,3,118,47,104,5,4,4,5,73,2,3,36,50,61,68,81,54,3,4,4,4,37,16,6,3,3,3,6,14,3,3,3,3,3,10,11,6,8,5,1,1,1,10,4,5,30,16,4,10,9,3,4,3,0,1,1,1,1,3,3,15,6,3,2,10,10,10,50,11,11,
CSVParserTest::testParseNullFileFormat ,3,2,2,2,119,48,105,4,3,3,6,74,1,2,37,51,62,69,82,55,3,3,3,3,38,17,5,2,2,2,5,15,2,2,2,2,2,10,10,7,9,6,2,2,2,11,3,6,31,17,3,11,8,4,5,2,1,0,0,0,0,4,4,16,7,4,2,11,11,11,51,12,12,
CSVParserTest::testParseNullStringFormat ,3,2,2,2,119,48,105,4,3,3,6,74,1,2,37,51,62,69,82,55,3,3,3,3,38,17,5,2,2,2,5,15,2,2,2,2,2,10,10,7,9,6,2,2,2,11,3,6,31,17,3,11,8,4,5,2,1,0,0,0,0,4,4,16,7,4,2,11,11,11,51,12,12,
CSVParserTest::testParseNullUrlCharsetFormat ,3,2,2,2,119,48,105,4,3,3,6,74,1,2,37,51,62,69,82,55,3,3,3,3,38,17,5,2,2,2,5,15,2,2,2,2,2,10,10,7,9,6,2,2,2,11,3,6,31,17,3,11,8,4,5,2,1,0,0,0,0,4,4,16,7,4,2,11,11,11,51,12,12,
CSVParserTest::testParseStringNullFormat ,3,2,2,2,119,48,105,4,3,3,6,74,1,2,37,51,62,69,82,55,3,3,3,3,38,17,5,2,2,2,5,15,2,2,2,2,2,10,10,7,9,6,2,2,2,11,3,6,31,17,3,11,8,4,5,2,1,0,0,0,0,4,4,16,7,4,2,11,11,11,51,12,12,
CSVParserTest::testParseUrlCharsetNullFormat ,2,5,5,5,116,45,102,3,2,2,4,70,5,2,34,48,59,66,79,52,2,2,2,2,36,14,4,5,5,5,4,12,5,5,5,5,5,8,9,6,8,5,4,4,4,10,2,2,31,17,2,10,7,0,1,2,3,4,4,4,4,0,0,15,6,1,4,10,10,10,48,11,11,
CSVParserTest::testParserUrlNullCharsetFormat ,2,5,5,5,116,45,102,3,2,2,4,70,5,2,34,48,59,66,79,52,2,2,2,2,36,14,4,5,5,5,4,12,5,5,5,5,5,8,9,6,8,5,4,4,4,10,2,2,31,17,2,10,7,0,1,2,3,4,4,4,4,0,0,15,6,1,4,10,10,10,48,11,11,
CSVParserTest::testProvidedHeader ,15,16,16,16,104,33,90,16,16,16,14,59,15,16,27,39,50,57,67,43,15,16,16,16,24,4,15,16,16,16,14,15,16,16,16,16,16,14,14,10,10,11,14,14,14,5,16,15,16,13,16,5,12,15,14,16,15,16,16,16,16,15,15,0,10,14,14,5,5,5,39,5,5,
CSVParserTest::testProvidedHeaderAuto ,6,7,7,7,113,42,99,7,7,7,6,68,6,7,32,45,56,63,76,49,6,7,7,7,33,12,6,7,7,7,5,14,7,7,7,7,7,10,9,0,2,1,5,5,5,7,7,7,25,12,7,7,4,6,6,7,6,7,7,7,7,6,6,10,0,6,5,7,7,7,45,8,8,
