:,CSVPrinterTest::testDelimeterQuoteNONE,CSVPrinterTest::testDelimeterQuoted,CSVPrinterTest::testDelimiterEscaped,CSVPrinterTest::testDelimiterPlain,CSVPrinterTest::testDisabledComment,CSVPrinterTest::testEOLEscaped,CSVPrinterTest::testEOLPlain,CSVPrinterTest::testEOLQuoted,CSVPrinterTest::testExcelPrintAllArrayOfArrays,CSVPrinterTest::testExcelPrintAllArrayOfLists,CSVPrinterTest::testExcelPrintAllIterableOfArrays,CSVPrinterTest::testExcelPrintAllIterableOfLists,CSVPrinterTest::testExcelPrinter1,CSVPrinterTest::testExcelPrinter2,CSVPrinterTest::testHeader,CSVPrinterTest::testInvalidFormat,CSVPrinterTest::testJdbcPrinter,CSVPrinterTest::testMultiLineComment,CSVPrinterTest::testNewCSVPrinterNullAppendableFormat,CSVPrinterTest::testNewCsvPrinterAppendableNullFormat,CSVPrinterTest::testParseCustomNullValues,CSVPrinterTest::testPlainEscaped,CSVPrinterTest::testPlainPlain,CSVPrinterTest::testPlainQuoted,CSVPrinterTest::testPrint,CSVPrinterTest::testPrintCustomNullValues,CSVPrinterTest::testPrintNullValues,CSVPrinterTest::testPrinter1,CSVPrinterTest::testPrinter2,CSVPrinterTest::testPrinter3,CSVPrinterTest::testPrinter4,CSVPrinterTest::testPrinter5,CSVPrinterTest::testPrinter6,CSVPrinterTest::testPrinter7,CSVPrinterTest::testQuoteAll,CSVPrinterTest::testQuoteNonNumeric,CSVPrinterTest::testRandom,CSVPrinterTest::testSingleLineComment,CSVPrinterTest::testSingleQuoteQuoted,
CSVPrinterTest::testExcelPrintAllIterableOfArrays ,22,22,22,22,22,22,22,22,0,0,0,0,14,14,15,22,21,21,23,22,13,22,22,22,15,12,12,14,14,14,14,14,14,14,12,11,24,21,22,
CSVPrinterTest::testExcelPrintAllIterableOfLists ,22,22,22,22,22,22,22,22,0,0,0,0,14,14,15,22,21,21,23,22,13,22,22,22,15,12,12,14,14,14,14,14,14,14,12,11,24,21,22,
CSVPrinterTest::testExcelPrinter1 ,8,8,8,8,8,8,8,8,14,14,14,14,0,0,23,8,8,7,9,8,10,8,8,8,1,5,5,0,0,0,0,0,0,0,4,5,10,7,8,
CSVPrinterTest::testExcelPrinter2 ,8,8,8,8,8,8,8,8,14,14,14,14,0,0,23,8,8,7,9,8,10,8,8,8,1,5,5,0,0,0,0,0,0,0,4,5,10,7,8,
CSVPrinterTest::testHeader ,31,31,31,30,31,30,30,31,15,15,15,15,23,23,0,31,30,30,31,30,17,30,30,31,24,20,20,23,23,23,23,23,23,23,20,19,33,30,31,
CSVPrinterTest::testInvalidFormat ,3,4,5,3,2,5,3,4,22,22,22,22,8,8,31,0,6,4,3,3,17,5,3,4,7,12,12,8,8,8,8,8,8,8,11,12,7,4,4,
CSVPrinterTest::testJdbcPrinter ,6,6,7,6,6,7,6,6,21,21,21,21,8,8,30,6,0,6,7,6,16,7,6,6,7,11,11,8,8,8,8,8,8,8,10,11,8,6,6,
CSVPrinterTest::testMultiLineComment ,2,2,2,3,3,3,3,2,21,21,21,21,7,7,30,4,6,0,4,3,16,3,3,2,6,11,11,7,7,7,7,7,7,7,10,11,7,0,2,
CSVPrinterTest::testNewCSVPrinterNullAppendableFormat ,3,3,3,1,1,3,1,3,23,23,23,23,9,9,31,3,7,4,0,1,17,3,1,3,8,12,12,9,9,9,9,9,9,9,12,13,8,4,3,
CSVPrinterTest::testNewCsvPrinterAppendableNullFormat ,3,2,2,0,1,2,0,2,22,22,22,22,8,8,30,3,6,3,1,0,16,2,0,2,7,11,11,8,8,8,8,8,8,8,11,12,8,3,2,
CSVPrinterTest::testParseCustomNullValues ,17,17,16,16,17,16,16,17,13,13,13,13,10,10,17,17,16,16,17,16,0,16,16,17,11,5,5,10,10,10,10,10,10,10,6,7,19,16,17,
CSVPrinterTest::testPlainEscaped ,3,2,2,2,3,0,2,2,22,22,22,22,8,8,30,5,7,3,3,2,16,0,2,2,7,11,11,8,8,8,8,8,8,8,11,12,7,3,2,
CSVPrinterTest::testPlainPlain ,3,2,2,0,1,2,0,2,22,22,22,22,8,8,30,3,6,3,1,0,16,2,0,2,7,11,11,8,8,8,8,8,8,8,11,12,8,3,2,
CSVPrinterTest::testPlainQuoted ,3,0,2,2,2,2,2,0,22,22,22,22,8,8,31,4,6,2,3,2,17,2,2,0,7,12,12,8,8,8,8,8,8,8,11,12,7,2,0,
CSVPrinterTest::testPrint ,7,7,7,7,7,7,7,7,15,15,15,15,1,1,24,7,7,6,8,7,11,7,7,7,0,6,6,1,1,1,1,1,1,1,5,6,9,6,7,
CSVPrinterTest::testPrintCustomNullValues ,12,12,11,11,12,11,11,12,12,12,12,12,5,5,20,12,11,11,12,11,5,11,11,12,6,0,0,5,5,5,5,5,5,5,1,2,14,11,12,
CSVPrinterTest::testPrintNullValues ,12,12,11,11,12,11,11,12,12,12,12,12,5,5,20,12,11,11,12,11,5,11,11,12,6,0,0,5,5,5,5,5,5,5,1,2,14,11,12,
CSVPrinterTest::testPrinter1 ,8,8,8,8,8,8,8,8,14,14,14,14,0,0,23,8,8,7,9,8,10,8,8,8,1,5,5,0,0,0,0,0,0,0,4,5,10,7,8,
CSVPrinterTest::testPrinter2 ,8,8,8,8,8,8,8,8,14,14,14,14,0,0,23,8,8,7,9,8,10,8,8,8,1,5,5,0,0,0,0,0,0,0,4,5,10,7,8,
CSVPrinterTest::testPrinter3 ,8,8,8,8,8,8,8,8,14,14,14,14,0,0,23,8,8,7,9,8,10,8,8,8,1,5,5,0,0,0,0,0,0,0,4,5,10,7,8,
CSVPrinterTest::testPrinter4 ,8,8,8,8,8,8,8,8,14,14,14,14,0,0,23,8,8,7,9,8,10,8,8,8,1,5,5,0,0,0,0,0,0,0,4,5,10,7,8,
CSVPrinterTest::testPrinter5 ,8,8,8,8,8,8,8,8,14,14,14,14,0,0,23,8,8,7,9,8,10,8,8,8,1,5,5,0,0,0,0,0,0,0,4,5,10,7,8,
CSVPrinterTest::testPrinter6 ,8,8,8,8,8,8,8,8,14,14,14,14,0,0,23,8,8,7,9,8,10,8,8,8,1,5,5,0,0,0,0,0,0,0,4,5,10,7,8,
CSVPrinterTest::testPrinter7 ,8,8,8,8,8,8,8,8,14,14,14,14,0,0,23,8,8,7,9,8,10,8,8,8,1,5,5,0,0,0,0,0,0,0,4,5,10,7,8,
CSVPrinterTest::testQuoteAll ,11,11,11,11,11,11,11,11,12,12,12,12,4,4,20,11,10,10,12,11,6,11,11,11,5,1,1,4,4,4,4,4,4,4,0,1,13,10,11,
CSVPrinterTest::testQuoteNonNumeric ,12,12,12,12,12,12,12,12,11,11,11,11,5,5,19,12,11,11,13,12,7,12,12,12,6,2,2,5,5,5,5,5,5,5,1,0,14,11,12,
CSVPrinterTest::testRandom ,7,7,7,8,8,7,8,7,24,24,24,24,10,10,33,7,8,7,8,8,19,7,8,7,9,14,14,10,10,10,10,10,10,10,13,14,0,7,7,
CSVPrinterTest::testSingleLineComment ,2,2,2,3,3,3,3,2,21,21,21,21,7,7,30,4,6,0,4,3,16,3,3,2,6,11,11,7,7,7,7,7,7,7,10,11,7,0,2,
CSVPrinterTest::testSingleQuoteQuoted ,3,0,2,2,2,2,2,0,22,22,22,22,8,8,31,4,6,2,3,2,17,2,2,0,7,12,12,8,8,8,8,8,8,8,11,12,7,2,0,
