:,CSVParserTest::testBackslashEscaping,CSVParserTest::testBackslashEscaping2,CSVParserTest::testBackslashEscapingOld,CSVParserTest::testCSV57,CSVParserTest::testCarriageReturnEndings,CSVParserTest::testCarriageReturnLineFeedEndings,CSVParserTest::testClose,CSVParserTest::testDefaultFormat,CSVParserTest::testEmptyFile,CSVParserTest::testEmptyLineBehaviourCSV,CSVParserTest::testEmptyLineBehaviourExcel,CSVParserTest::testEndOfFileBehaviorCSV,CSVParserTest::testEndOfFileBehaviourExcel,CSVParserTest::testExcelFormat1,CSVParserTest::testExcelFormat2,CSVParserTest::testForEach,CSVParserTest::testGetHeaderMap,CSVParserTest::testGetLine,CSVParserTest::testGetLineNumberWithCR,CSVParserTest::testGetLineNumberWithCRLF,CSVParserTest::testGetLineNumberWithLF,CSVParserTest::testGetRecordNumberWithCR,CSVParserTest::testGetRecordNumberWithCRLF,CSVParserTest::testGetRecordNumberWithLF,CSVParserTest::testGetRecordWithMultiLineValues,CSVParserTest::testGetRecords,CSVParserTest::testHeader,CSVParserTest::testHeaderComment,CSVParserTest::testIgnoreEmptyLines,CSVParserTest::testInvalidFormat,CSVParserTest::testIterator,CSVParserTest::testLineFeedEndings,CSVParserTest::testMappedButNotSetAsOutlook2007ContactExport,CSVParserTest::testMultipleIterators,CSVParserTest::testNewCSVParserNullReaderFormat,CSVParserTest::testNewCSVParserReaderNullFormat,CSVParserTest::testNoHeaderMap,CSVParserTest::testParseFileNullFormat,CSVParserTest::testParseNullFileFormat,CSVParserTest::testParseNullStringFormat,CSVParserTest::testParseNullUrlCharsetFormat,CSVParserTest::testParseStringNullFormat,CSVParserTest::testParseUrlCharsetNullFormat,CSVParserTest::testParserUrlNullCharsetFormat,CSVParserTest::testProvidedHeader,CSVParserTest::testProvidedHeaderAuto,CSVParserTest::testRoundtrip,CSVParserTest::testSkipAutoHeader,CSVParserTest::testSkipSetHeader,
CSVParserTest::testGetRecordWithMultiLineValues ,114,43,98,7,8,8,7,65,8,31,45,56,63,76,49,33,13,8,8,8,7,8,8,7,0,9,8,9,8,7,28,8,9,8,7,6,8,7,8,8,8,8,7,7,13,8,6,7,9,
CSVParserTest::testGetRecords ,114,43,94,8,8,8,8,65,9,26,40,51,58,71,44,33,12,5,9,9,9,9,9,9,9,0,8,8,8,9,29,8,11,7,9,9,9,9,9,9,9,9,9,9,13,8,9,8,11,
CSVParserTest::testHeader ,111,40,96,7,7,7,5,62,7,29,42,53,60,73,46,30,9,6,7,7,7,7,7,7,8,8,0,2,7,7,25,7,8,2,6,6,7,6,7,7,7,7,6,6,10,0,6,5,8,
CSVParserTest::testHeaderComment ,110,40,96,9,9,9,5,62,9,30,43,53,60,73,46,30,10,8,8,9,8,8,9,8,9,8,2,0,9,8,25,9,9,4,8,8,9,8,9,9,9,9,8,8,10,2,8,7,9,
CSVParserTest::testIgnoreEmptyLines ,118,47,102,1,0,0,5,69,1,34,48,59,66,79,52,36,15,4,2,1,2,2,1,2,8,8,7,9,0,4,32,0,12,6,3,4,1,3,2,2,2,2,3,3,16,7,2,2,12,
CSVParserTest::testInvalidFormat ,116,46,101,4,4,4,4,68,4,34,48,58,65,79,52,36,14,4,2,4,3,2,4,3,7,9,7,8,4,0,31,4,11,6,3,3,4,3,4,4,4,4,3,3,15,7,3,3,11,
CSVParserTest::testIterator ,87,16,72,32,32,32,29,39,32,19,28,35,41,49,30,6,17,30,32,32,32,32,32,32,28,29,25,25,32,31,0,32,20,26,30,29,32,30,31,31,31,31,30,30,16,25,30,30,20,
CSVParserTest::testLineFeedEndings ,118,47,102,1,0,0,5,69,1,34,48,59,66,79,52,36,15,4,2,1,2,2,1,2,8,8,7,9,0,4,32,0,12,6,3,4,1,3,2,2,2,2,3,3,16,7,2,2,12,
CSVParserTest::testMappedButNotSetAsOutlook2007ContactExport ,106,35,91,12,12,12,10,57,12,26,37,48,55,68,42,25,5,11,12,12,12,12,12,12,9,11,8,9,12,11,20,12,0,9,11,10,12,11,12,12,12,12,11,11,4,8,10,10,0,
CSVParserTest::testMultipleIterators ,112,41,97,6,6,6,5,63,6,30,43,54,61,74,47,31,9,4,6,6,6,6,6,6,8,7,2,4,6,6,26,6,9,0,6,6,6,6,6,6,6,6,6,6,10,2,6,5,9,
CSVParserTest::testNewCSVParserNullReaderFormat ,117,46,102,3,3,3,3,68,3,34,48,59,66,79,52,35,14,4,3,3,3,3,3,3,7,9,6,8,3,3,30,3,11,6,0,1,3,0,1,1,1,1,0,0,15,6,2,2,11,
CSVParserTest::testNewCSVParserReaderNullFormat ,116,45,101,4,4,4,3,67,4,33,47,58,65,78,51,35,13,4,4,4,4,4,4,4,6,9,6,8,4,3,29,4,10,6,1,0,4,1,2,2,2,2,1,1,14,6,2,3,10,
CSVParserTest::testNoHeaderMap ,118,47,103,2,1,1,5,69,0,35,49,60,67,80,53,37,15,4,2,0,2,2,0,2,8,9,7,9,1,4,32,1,12,6,3,4,0,3,2,2,2,2,3,3,16,7,2,2,12,
CSVParserTest::testParseFileNullFormat ,117,46,102,3,3,3,3,68,3,34,48,59,66,79,52,35,14,4,3,3,3,3,3,3,7,9,6,8,3,3,30,3,11,6,0,1,3,0,1,1,1,1,0,0,15,6,2,2,11,
CSVParserTest::testParseNullFileFormat ,118,47,103,2,2,2,4,69,2,35,49,60,67,80,53,36,15,4,2,2,2,2,2,2,8,9,7,9,2,4,31,2,12,6,1,2,2,1,0,0,0,0,1,1,16,7,2,2,12,
CSVParserTest::testParseNullStringFormat ,118,47,103,2,2,2,4,69,2,35,49,60,67,80,53,36,15,4,2,2,2,2,2,2,8,9,7,9,2,4,31,2,12,6,1,2,2,1,0,0,0,0,1,1,16,7,2,2,12,
CSVParserTest::testParseNullUrlCharsetFormat ,118,47,103,2,2,2,4,69,2,35,49,60,67,80,53,36,15,4,2,2,2,2,2,2,8,9,7,9,2,4,31,2,12,6,1,2,2,1,0,0,0,0,1,1,16,7,2,2,12,
CSVParserTest::testParseStringNullFormat ,118,47,103,2,2,2,4,69,2,35,49,60,67,80,53,36,15,4,2,2,2,2,2,2,8,9,7,9,2,4,31,2,12,6,1,2,2,1,0,0,0,0,1,1,16,7,2,2,12,
CSVParserTest::testParseUrlCharsetNullFormat ,117,46,102,3,3,3,3,68,3,34,48,59,66,79,52,35,14,4,3,3,3,3,3,3,7,9,6,8,3,3,30,3,11,6,0,1,3,0,1,1,1,1,0,0,15,6,2,2,11,
CSVParserTest::testParserUrlNullCharsetFormat ,117,46,102,3,3,3,3,68,3,34,48,59,66,79,52,35,14,4,3,3,3,3,3,3,7,9,6,8,3,3,30,3,11,6,0,1,3,0,1,1,1,1,0,0,15,6,2,2,11,
CSVParserTest::testProvidedHeader ,102,31,87,16,16,16,14,53,16,24,36,47,54,64,40,21,1,14,16,16,16,16,16,16,13,13,10,10,16,15,16,16,4,10,15,14,16,15,16,16,16,16,15,15,0,10,14,14,4,
CSVParserTest::testProvidedHeaderAuto ,111,40,96,7,7,7,5,62,7,29,42,53,60,73,46,30,9,6,7,7,7,7,7,7,8,8,0,2,7,7,25,7,8,2,6,6,7,6,7,7,7,7,6,6,10,0,6,5,8,
CSVParserTest::testRoundtrip ,116,45,101,2,2,2,4,67,2,33,47,58,65,78,51,35,13,4,2,2,2,2,2,2,6,9,6,8,2,3,30,2,10,6,2,2,2,2,2,2,2,2,2,2,14,6,0,1,10,
CSVParserTest::testSkipAutoHeader ,116,45,101,2,2,2,3,67,2,33,47,58,65,78,51,35,13,3,2,2,2,2,2,2,7,8,5,7,2,3,30,2,10,5,2,3,2,2,2,2,2,2,2,2,14,5,1,0,10,
CSVParserTest::testSkipSetHeader ,106,35,91,12,12,12,10,57,12,26,37,48,55,68,42,25,5,11,12,12,12,12,12,12,9,11,8,9,12,11,20,12,0,9,11,10,12,11,12,12,12,12,11,11,4,8,10,10,0,
