:,CSVLexerTest::testBackslashWithEscaping,CSVLexerTest::testBackslashWithoutEscaping,CSVLexerTest::testComments,CSVLexerTest::testCommentsAndEmptyLines,CSVLexerTest::testDelimiterIsWhitespace,CSVLexerTest::testEscapeBackspace,CSVLexerTest::testEscapeFF,CSVLexerTest::testEscapedCR,CSVLexerTest::testEscapedCharacter,CSVLexerTest::testEscapedControlCharacter,CSVLexerTest::testEscapedControlCharacter2,CSVLexerTest::testEscapedLF,CSVLexerTest::testEscapedMySqlNullValue,CSVLexerTest::testEscapedTab,CSVLexerTest::testEscapingAtEOF,CSVLexerTest::testIgnoreEmptyLines,CSVLexerTest::testNextToken4,CSVLexerTest::testNextToken5,CSVLexerTest::testNextToken6,CSVLexerTest::testSurroundingSpacesAreDeleted,CSVLexerTest::testSurroundingTabsAreDeleted,CSVParserTest::testBackslashEscaping,CSVParserTest::testBackslashEscaping2,CSVParserTest::testBackslashEscapingOld,CSVParserTest::testCSV57,CSVParserTest::testCarriageReturnEndings,CSVParserTest::testCarriageReturnLineFeedEndings,CSVParserTest::testDefaultFormat,CSVParserTest::testEmptyFile,CSVParserTest::testEmptyLineBehaviourCSV,CSVParserTest::testEmptyLineBehaviourExcel,CSVParserTest::testEndOfFileBehaviorCSV,CSVParserTest::testEndOfFileBehaviourExcel,CSVParserTest::testExcelFormat1,CSVParserTest::testExcelFormat2,CSVParserTest::testForEach,CSVParserTest::testGetHeaderMap,CSVParserTest::testGetLine,CSVParserTest::testGetLineNumberWithCR,CSVParserTest::testGetLineNumberWithCRLF,CSVParserTest::testGetLineNumberWithLF,CSVParserTest::testGetRecordNumberWithCR,CSVParserTest::testGetRecordNumberWithCRLF,CSVParserTest::testGetRecordNumberWithLF,CSVParserTest::testGetRecordWithMultiiLineValues,CSVParserTest::testGetRecords,CSVParserTest::testHeader,CSVParserTest::testHeaderComment,CSVParserTest::testIgnoreEmptyLines,CSVParserTest::testIterator,CSVParserTest::testLineFeedEndings,CSVParserTest::testMappedButNotSetAsOutlook2007ContactExport,CSVParserTest::testProvidedHeader,CSVParserTest::testRoundtrip,
CSVLexerTest::testEscapedControlCharacter2 ,7,6,14,24,5,2,2,2,2,1,0,2,2,2,3,10,12,4,6,7,7,117,46,103,3,3,3,69,2,36,49,60,66,80,53,36,15,6,2,3,2,2,3,2,8,11,7,8,3,31,3,10,15,2,
CSVLexerTest::testEscapedLF ,7,6,15,25,5,0,0,0,0,2,2,0,0,0,1,10,12,4,7,7,7,118,47,104,2,2,2,70,0,36,49,61,67,80,53,36,15,5,2,1,2,2,1,2,8,10,6,8,2,31,2,10,15,2,
CSVLexerTest::testEscapedMySqlNullValue ,7,6,15,25,5,0,0,0,0,2,2,0,0,0,1,10,12,4,7,7,7,118,47,104,2,2,2,70,0,36,49,61,67,80,53,36,15,5,2,1,2,2,1,2,8,10,6,8,2,31,2,10,15,2,
CSVLexerTest::testEscapedTab ,7,6,15,25,5,0,0,0,0,2,2,0,0,0,1,10,12,4,7,7,7,118,47,104,2,2,2,70,0,36,49,61,67,80,53,36,15,5,2,1,2,2,1,2,8,10,6,8,2,31,2,10,15,2,
CSVLexerTest::testEscapingAtEOF ,7,6,15,25,5,1,1,1,1,3,3,1,1,1,0,10,12,4,7,7,7,118,47,104,2,2,2,70,1,36,49,61,67,80,53,35,15,5,2,2,2,2,2,2,8,10,6,8,2,30,2,10,15,2,
CSVLexerTest::testIgnoreEmptyLines ,4,4,6,16,5,10,10,10,10,10,10,10,10,10,10,0,2,6,9,3,3,108,37,94,10,9,9,60,10,28,39,51,57,70,43,27,13,9,11,11,11,11,11,11,6,10,10,10,9,23,9,8,13,8,
CSVLexerTest::testNextToken4 ,6,6,4,14,7,12,12,12,12,12,12,12,12,12,12,2,0,8,11,5,5,106,36,92,12,11,11,58,12,28,38,49,55,68,42,27,13,11,13,13,13,13,13,13,8,11,12,12,11,23,11,9,13,10,
CSVLexerTest::testNextToken5 ,3,2,11,21,1,4,4,4,4,4,4,4,4,4,4,6,8,0,6,3,3,114,43,100,4,3,3,66,4,32,45,57,63,76,49,32,12,4,5,5,5,5,5,5,4,9,6,8,3,27,3,7,12,2,
CSVLexerTest::testNextToken6 ,6,6,13,23,6,7,7,7,7,5,6,7,7,7,7,9,11,6,0,6,6,114,45,100,8,7,7,69,7,35,48,57,63,79,52,35,15,8,7,8,7,7,8,7,7,11,8,8,7,30,7,10,15,6,
CSVLexerTest::testSurroundingSpacesAreDeleted ,1,1,9,19,2,7,7,7,7,7,7,7,7,7,7,3,5,3,6,0,0,111,40,97,7,6,6,63,7,29,42,54,60,73,46,29,13,6,8,8,8,8,8,8,5,10,7,9,6,24,6,8,13,5,
CSVLexerTest::testSurroundingTabsAreDeleted ,1,1,9,19,2,7,7,7,7,7,7,7,7,7,7,3,5,3,6,0,0,111,40,97,7,6,6,63,7,29,42,54,60,73,46,29,13,6,8,8,8,8,8,8,5,10,7,9,6,24,6,8,13,5,
CSVParserTest::testBackslashEscaping ,111,112,104,94,113,118,118,118,118,117,117,118,118,118,118,108,106,114,114,111,111,0,72,31,117,117,117,58,118,90,82,73,71,57,74,86,103,115,118,119,117,118,119,117,114,113,112,111,117,88,117,108,103,116,
CSVParserTest::testBackslashEscaping2 ,40,41,36,35,42,47,47,47,47,46,46,47,47,47,47,37,36,43,45,40,40,72,0,61,47,46,46,37,47,28,26,33,39,41,27,18,32,44,47,48,47,47,48,47,43,42,41,41,46,17,46,37,32,45,
CSVParserTest::testBackslashEscapingOld ,97,98,90,80,99,104,104,104,104,103,103,104,104,104,104,94,92,100,100,97,97,31,61,0,103,102,102,50,104,71,61,53,49,38,53,72,89,99,104,105,104,104,105,104,100,94,98,98,102,74,102,94,89,102,
CSVParserTest::testCSV57 ,7,6,15,25,5,2,2,2,2,3,3,2,2,2,2,10,12,4,8,7,7,117,47,103,0,1,1,70,2,35,48,60,66,79,52,35,15,5,3,3,3,3,3,3,7,9,6,8,1,31,1,10,15,2,
CSVParserTest::testCarriageReturnEndings ,6,5,14,24,4,2,2,2,2,3,3,2,2,2,2,9,11,3,7,6,6,117,46,102,1,0,0,69,2,34,47,59,65,78,51,34,14,4,3,3,3,3,3,3,7,8,6,8,0,30,0,9,14,1,
CSVParserTest::testCarriageReturnLineFeedEndings ,6,5,14,24,4,2,2,2,2,3,3,2,2,2,2,9,11,3,7,6,6,117,46,102,1,0,0,69,2,34,47,59,65,78,51,34,14,4,3,3,3,3,3,3,7,8,6,8,0,30,0,9,14,1,
CSVParserTest::testDefaultFormat ,63,64,57,50,65,70,70,70,70,69,69,70,70,70,70,60,58,66,69,63,63,58,37,50,70,69,69,0,70,45,37,38,35,37,27,38,55,67,70,71,70,70,71,70,66,65,64,64,69,41,69,60,55,68,
CSVParserTest::testEmptyFile ,7,6,15,25,5,0,0,0,0,2,2,0,0,0,1,10,12,4,7,7,7,118,47,104,2,2,2,70,0,36,49,61,67,80,53,36,15,5,2,1,2,2,1,2,8,10,6,8,2,31,2,10,15,2,
CSVParserTest::testEmptyLineBehaviourCSV ,29,30,29,28,31,36,36,36,36,36,36,36,36,36,36,28,28,32,35,29,29,90,28,71,35,34,34,45,36,0,16,27,34,46,25,23,26,31,37,37,37,37,37,37,32,26,31,32,34,20,34,28,26,34,
CSVParserTest::testEmptyLineBehaviourExcel ,42,43,39,38,44,49,49,49,49,49,49,49,49,49,49,39,38,45,48,42,42,82,26,61,48,47,47,37,49,16,0,22,20,38,17,30,37,44,50,50,50,50,50,50,45,39,43,44,47,28,47,39,37,47,
CSVParserTest::testEndOfFileBehaviorCSV ,54,55,47,45,56,61,61,61,61,60,60,61,61,61,61,51,49,57,57,54,54,73,33,53,60,59,59,38,61,27,22,0,9,34,26,39,49,56,61,62,61,61,62,61,57,51,55,55,59,37,59,51,49,59,
CSVParserTest::testEndOfFileBehaviourExcel ,60,61,53,50,62,67,67,67,67,66,66,67,67,67,67,57,55,63,63,60,60,71,39,49,66,65,65,35,67,34,20,9,0,30,23,43,55,62,67,68,67,67,68,67,63,57,61,61,65,42,65,57,55,65,
CSVParserTest::testExcelFormat1 ,73,74,67,58,75,80,80,80,80,80,80,80,80,80,80,70,68,76,79,73,73,57,41,38,79,78,78,37,80,46,38,34,30,0,30,49,65,75,81,81,81,81,81,81,76,70,74,74,78,50,78,70,65,78,
CSVParserTest::testExcelFormat2 ,46,47,41,40,48,53,53,53,53,53,53,53,53,53,53,43,42,49,52,46,46,74,27,53,52,51,51,27,53,25,17,26,23,30,0,31,41,48,54,54,54,54,54,54,49,43,47,47,51,30,51,44,41,51,
CSVParserTest::testForEach ,29,30,28,28,31,36,36,36,36,36,36,36,36,36,35,27,27,32,35,29,29,86,18,72,35,34,34,38,36,23,30,39,43,49,31,0,21,33,37,37,37,37,37,37,32,32,30,30,34,6,34,26,21,34,
CSVParserTest::testGetHeaderMap ,13,12,13,22,12,15,15,15,15,15,15,15,15,15,15,13,13,12,15,13,13,103,32,89,15,14,14,55,15,26,37,49,55,65,41,21,0,12,16,16,16,16,16,16,13,11,10,10,14,16,14,5,0,13,
CSVParserTest::testGetLine ,6,5,14,24,4,5,5,5,5,6,6,5,5,5,5,9,11,4,8,6,6,115,44,99,5,4,4,67,5,31,44,56,62,75,48,33,12,0,6,6,6,6,6,6,7,5,5,7,4,28,4,8,12,4,
CSVParserTest::testGetLineNumberWithCR ,8,7,15,25,6,2,2,2,2,2,2,2,2,2,2,11,13,5,7,8,8,118,47,104,3,3,3,70,2,37,50,61,67,81,54,37,16,6,0,2,1,0,2,1,9,11,7,8,3,32,3,11,16,3,
CSVParserTest::testGetLineNumberWithCRLF ,8,7,16,26,6,1,1,1,1,3,3,1,1,1,2,11,13,5,8,8,8,119,48,105,3,3,3,71,1,37,50,62,68,81,54,37,16,6,2,0,2,2,0,2,9,11,7,9,3,32,3,11,16,3,
CSVParserTest::testGetLineNumberWithLF ,8,7,15,25,6,2,2,2,2,2,2,2,2,2,2,11,13,5,7,8,8,117,47,104,3,3,3,70,2,37,50,61,67,81,54,37,16,6,1,2,0,1,2,0,8,11,7,8,3,32,3,11,16,3,
CSVParserTest::testGetRecordNumberWithCR ,8,7,15,25,6,2,2,2,2,2,2,2,2,2,2,11,13,5,7,8,8,118,47,104,3,3,3,70,2,37,50,61,67,81,54,37,16,6,0,2,1,0,2,1,9,11,7,8,3,32,3,11,16,3,
CSVParserTest::testGetRecordNumberWithCRLF ,8,7,16,26,6,1,1,1,1,3,3,1,1,1,2,11,13,5,8,8,8,119,48,105,3,3,3,71,1,37,50,62,68,81,54,37,16,6,2,0,2,2,0,2,9,11,7,9,3,32,3,11,16,3,
CSVParserTest::testGetRecordNumberWithLF ,8,7,15,25,6,2,2,2,2,2,2,2,2,2,2,11,13,5,7,8,8,117,47,104,3,3,3,70,2,37,50,61,67,81,54,37,16,6,1,2,0,1,2,0,8,11,7,8,3,32,3,11,16,3,
CSVParserTest::testGetRecordWithMultiiLineValues ,5,4,11,21,4,8,8,8,8,8,8,8,8,8,8,6,8,4,7,5,5,114,43,100,7,7,7,66,8,32,45,57,63,76,49,32,13,7,9,9,8,9,9,8,0,10,8,8,7,27,7,8,13,6,
CSVParserTest::testGetRecords ,10,9,14,24,9,10,10,10,10,11,11,10,10,10,10,10,11,9,11,10,10,113,42,94,9,8,8,65,10,26,39,51,57,70,43,32,11,5,11,11,11,11,11,11,10,0,9,9,8,27,8,9,11,9,
CSVParserTest::testHeader ,7,6,15,25,6,6,6,6,6,7,7,6,6,6,6,10,12,6,8,7,7,112,41,98,6,6,6,64,6,31,43,55,61,74,47,30,10,5,7,7,7,7,7,7,8,9,0,2,6,25,6,7,10,6,
CSVParserTest::testHeaderComment ,9,8,15,24,8,8,8,8,8,8,8,8,8,8,8,10,12,8,8,9,9,111,41,98,8,8,8,64,8,32,44,55,61,74,47,30,10,7,8,9,8,8,9,8,8,9,2,0,8,25,8,8,10,8,
CSVParserTest::testIgnoreEmptyLines ,6,5,14,24,4,2,2,2,2,3,3,2,2,2,2,9,11,3,7,6,6,117,46,102,1,0,0,69,2,34,47,59,65,78,51,34,14,4,3,3,3,3,3,3,7,8,6,8,0,30,0,9,14,1,
CSVParserTest::testIterator ,24,25,23,23,26,31,31,31,31,31,31,31,31,31,30,23,23,27,30,24,24,88,17,74,31,30,30,41,31,20,28,37,42,50,30,6,16,28,32,32,32,32,32,32,27,27,25,25,30,0,30,21,16,29,
CSVParserTest::testLineFeedEndings ,6,5,14,24,4,2,2,2,2,3,3,2,2,2,2,9,11,3,7,6,6,117,46,102,1,0,0,69,2,34,47,59,65,78,51,34,14,4,3,3,3,3,3,3,7,8,6,8,0,30,0,9,14,1,
CSVParserTest::testMappedButNotSetAsOutlook2007ContactExport ,8,7,12,22,7,10,10,10,10,10,10,10,10,10,10,8,9,7,10,8,8,108,37,94,10,9,9,60,10,28,39,51,57,70,44,26,5,8,11,11,11,11,11,11,8,9,7,8,9,21,9,0,5,8,
CSVParserTest::testProvidedHeader ,13,12,13,22,12,15,15,15,15,15,15,15,15,15,15,13,13,12,15,13,13,103,32,89,15,14,14,55,15,26,37,49,55,65,41,21,0,12,16,16,16,16,16,16,13,11,10,10,14,16,14,5,0,13,
CSVParserTest::testRoundtrip ,5,4,13,23,3,2,2,2,2,2,2,2,2,2,2,8,10,2,6,5,5,116,45,102,2,1,1,68,2,34,47,59,65,78,51,34,13,4,3,3,3,3,3,3,6,9,6,8,1,29,1,8,13,0,
