:,ArgumentIsOptionTest::testOption,ArgumentIsOptionTest::testOptionAndOptionWithArgument,ArgumentIsOptionTest::testOptionWithArgument,CommandLineTest::testGetOptionProperties,CommandLineTest::testGetOptions,CommandLineTest::testGetParsedOptionValue,OptionBuilderTest::testBaseOptionCharOpt,OptionBuilderTest::testBaseOptionStringOpt,OptionBuilderTest::testBuilderIsResettedAlways,OptionBuilderTest::testCompleteOption,OptionBuilderTest::testCreateIncompleteOption,OptionBuilderTest::testIllegalOptions,OptionBuilderTest::testOptionArgNumbers,OptionBuilderTest::testSpecialOptChars,OptionBuilderTest::testTwoCompleteOptions,OptionGroupTest::testGetNames,OptionGroupTest::testNoOptionsExtraArgs,OptionGroupTest::testSingleLongOption,OptionGroupTest::testSingleOption,OptionGroupTest::testSingleOptionFromGroup,OptionGroupTest::testToString,OptionGroupTest::testTwoLongOptionsFromGroup,OptionGroupTest::testTwoOptionsFromDifferentGroup,OptionGroupTest::testTwoOptionsFromGroup,OptionGroupTest::testTwoOptionsFromGroupWithProperties,OptionGroupTest::testTwoValidLongOptions,OptionGroupTest::testTwoValidOptions,OptionGroupTest::testValidLongOnlyOptions,OptionTest::testClear,OptionTest::testClone,OptionTest::testGetValue,OptionTest::testHasArgName,OptionTest::testHasArgs,OptionTest::testSubclass,OptionsTest::testDuplicateLong,OptionsTest::testDuplicateSimple,OptionsTest::testGetMatchingOpts,OptionsTest::testGetOptionsGroups,OptionsTest::testHelpOptions,OptionsTest::testLong,OptionsTest::testMissingOptionException,OptionsTest::testMissingOptionsException,OptionsTest::testSimple,OptionsTest::testToString,PatternOptionBuilderTest::testClassPattern,PatternOptionBuilderTest::testEmptyPattern,PatternOptionBuilderTest::testExistingFilePattern,PatternOptionBuilderTest::testNumberPattern,PatternOptionBuilderTest::testObjectPattern,PatternOptionBuilderTest::testRequiredOption,PatternOptionBuilderTest::testSimplePattern,PatternOptionBuilderTest::testURLPattern,PatternOptionBuilderTest::testUntypedPattern,
OptionGroupTest::testToString ,13,11,12,32,11,15,14,14,13,13,13,14,14,13,14,13,15,12,12,12,0,12,12,12,11,12,12,12,12,12,11,13,13,15,11,12,12,12,13,12,10,9,12,10,11,16,11,18,15,12,90,12,15,
OptionGroupTest::testTwoLongOptionsFromGroup ,4,7,3,32,9,16,7,7,9,8,7,7,8,8,16,7,13,10,10,10,12,0,8,0,4,8,8,4,6,8,7,7,8,7,5,4,7,15,15,4,5,7,4,9,8,8,2,18,15,5,91,9,14,
OptionGroupTest::testTwoOptionsFromDifferentGroup ,10,7,6,33,12,16,13,13,15,15,15,15,15,15,13,14,5,3,3,3,12,8,0,8,9,0,0,10,10,11,12,14,12,14,12,12,13,17,17,12,12,13,12,9,10,15,9,18,15,11,90,10,14,
OptionGroupTest::testTwoOptionsFromGroup ,4,7,3,32,9,16,7,7,9,8,7,7,8,8,16,7,13,10,10,10,12,0,8,0,4,8,8,4,6,8,7,7,8,7,5,4,7,15,15,4,5,7,4,9,8,8,2,18,15,5,91,9,14,
OptionGroupTest::testTwoOptionsFromGroupWithProperties ,2,7,4,34,9,18,6,5,9,7,7,7,8,9,14,8,14,8,8,8,11,4,9,4,0,9,9,4,4,6,6,7,8,7,5,4,5,15,15,4,6,6,4,7,10,8,5,20,17,3,92,11,13,
OptionGroupTest::testTwoValidLongOptions ,10,7,6,33,12,16,13,13,15,15,15,15,15,15,13,14,5,3,3,3,12,8,0,8,9,0,0,10,10,11,12,14,12,14,12,12,13,17,17,12,12,13,12,9,10,15,9,18,15,11,90,10,14,
OptionGroupTest::testTwoValidOptions ,10,7,6,33,12,16,13,13,15,15,15,15,15,15,13,14,5,3,3,3,12,8,0,8,9,0,0,10,10,11,12,14,12,14,12,12,13,17,17,12,12,13,12,9,10,15,9,18,15,11,90,10,14,
OptionGroupTest::testValidLongOnlyOptions ,3,7,6,33,9,16,6,6,10,8,8,8,8,9,16,8,15,8,8,8,12,4,10,4,4,10,10,0,5,7,6,7,8,7,5,5,7,16,16,5,5,6,5,8,8,8,5,18,15,5,91,9,13,
OptionTest::testClear ,4,9,6,36,10,19,4,3,9,7,5,5,6,8,14,6,15,9,9,9,12,6,10,6,4,10,10,5,0,4,5,5,7,5,3,2,4,16,16,2,4,5,2,5,11,6,6,21,18,3,94,12,14,
OptionTest::testClone ,7,10,9,33,9,17,7,6,9,7,7,8,6,8,13,6,15,10,10,10,12,8,11,8,6,11,11,7,4,0,7,8,8,8,6,6,4,15,15,6,5,5,6,6,11,9,8,21,18,6,93,12,15,
OptionTest::testGetValue ,6,11,8,37,8,20,5,6,9,8,7,6,7,8,14,7,17,11,11,11,11,7,12,7,6,12,12,6,5,7,0,4,6,6,5,6,6,16,17,6,5,6,6,8,13,7,8,22,19,6,94,14,15,
OptionTest::testHasArgName ,6,12,9,38,8,21,5,3,10,8,3,4,6,9,17,7,19,13,13,13,13,7,14,7,7,14,14,7,5,8,4,0,7,2,4,4,6,17,17,4,5,7,4,10,13,3,8,23,20,6,96,14,16,
OptionTest::testHasArgs ,8,11,9,35,10,19,8,8,9,8,9,8,8,7,15,7,17,11,11,11,13,8,12,8,8,12,12,8,7,8,6,7,0,8,7,7,8,15,17,7,8,8,7,9,11,9,8,21,18,7,92,12,13,
OptionTest::testSubclass ,6,12,9,38,10,21,5,3,10,8,3,4,6,9,17,7,19,13,13,13,15,7,14,7,7,14,14,7,5,8,6,2,8,0,4,4,6,17,17,4,5,7,4,10,13,1,8,23,20,6,96,14,16,
OptionsTest::testDuplicateLong ,5,11,8,35,9,19,5,4,8,6,3,4,5,7,15,5,17,11,11,11,11,5,12,5,5,12,12,5,3,6,5,4,7,4,0,1,4,15,15,1,2,4,1,7,12,5,7,22,19,4,94,13,15,
OptionsTest::testDuplicateSimple ,4,10,7,35,9,19,4,3,8,6,3,4,5,7,15,5,17,11,11,11,12,4,12,4,4,12,12,5,2,6,6,4,7,4,1,0,4,15,15,0,3,5,0,7,11,5,6,21,18,4,94,12,15,
OptionsTest::testGetMatchingOpts ,6,11,8,34,10,15,5,5,7,4,4,5,4,8,12,5,17,12,12,12,12,7,13,7,5,13,13,7,4,4,6,6,8,6,4,4,0,12,13,4,4,3,4,7,11,7,7,21,18,5,95,12,16,
OptionsTest::testGetOptionsGroups ,17,16,16,30,16,19,16,17,11,13,15,15,14,12,14,10,18,17,17,17,12,15,17,15,15,17,17,16,16,15,16,17,15,17,15,15,12,0,13,15,13,13,15,15,16,18,16,21,19,15,88,16,14,
OptionsTest::testHelpOptions ,17,16,16,31,16,16,17,17,14,12,15,16,16,15,10,15,19,17,17,17,13,15,17,15,15,17,17,16,16,15,17,17,17,17,15,15,13,13,0,15,13,11,15,15,16,18,16,22,20,15,95,16,18,
OptionsTest::testLong ,4,10,7,35,9,19,4,3,8,6,3,4,5,7,15,5,17,11,11,11,12,4,12,4,4,12,12,5,2,6,6,4,7,4,1,0,4,15,15,0,3,5,0,7,11,5,6,21,18,4,94,12,15,
OptionsTest::testMissingOptionException ,6,11,8,35,9,17,5,4,8,5,3,4,5,7,14,5,17,12,12,12,10,5,12,5,6,12,12,5,4,5,5,5,8,5,2,3,4,13,13,3,0,2,3,7,12,6,7,21,18,4,94,13,15,
OptionsTest::testMissingOptionsException ,7,11,9,33,9,15,6,6,8,4,5,6,6,7,12,6,18,12,12,12,9,7,13,7,6,13,13,6,5,5,6,7,8,7,4,5,3,13,11,5,2,0,5,7,12,8,7,22,19,6,94,13,16,
OptionsTest::testSimple ,4,10,7,35,9,19,4,3,8,6,3,4,5,7,15,5,17,11,11,11,12,4,12,4,4,12,12,5,2,6,6,4,7,4,1,0,4,15,15,0,3,5,0,7,11,5,6,21,18,4,94,12,15,
OptionsTest::testToString ,7,10,7,35,10,17,8,8,10,9,9,10,9,10,12,9,13,8,8,8,10,9,9,9,7,9,9,8,5,6,8,10,9,10,7,7,7,15,15,7,7,7,7,0,11,11,8,21,18,7,94,12,14,
PatternOptionBuilderTest::testClassPattern ,10,5,8,26,9,8,13,13,14,14,14,14,13,14,17,12,15,11,11,11,11,8,10,8,10,10,10,8,11,11,13,13,11,13,12,11,11,16,16,11,12,12,11,11,0,14,6,11,8,9,85,1,13,
PatternOptionBuilderTest::testEmptyPattern ,7,13,10,39,11,22,5,3,10,8,3,4,6,9,17,8,20,14,14,14,16,8,15,8,8,15,15,8,6,9,7,3,9,1,5,5,7,18,18,5,6,8,5,11,14,0,9,24,21,7,97,15,17,
PatternOptionBuilderTest::testExistingFilePattern ,5,7,4,32,8,14,8,8,10,9,9,9,8,9,16,8,14,11,11,11,11,2,9,2,5,9,9,5,6,8,8,8,8,8,7,6,7,16,16,6,7,7,6,8,6,9,0,16,13,4,90,7,13,
PatternOptionBuilderTest::testNumberPattern ,20,14,18,19,19,14,22,23,23,24,24,23,23,23,24,21,18,20,20,20,18,18,18,18,20,18,18,18,21,21,22,23,21,23,22,21,21,21,22,21,21,22,21,21,11,24,16,0,3,19,76,10,20,
PatternOptionBuilderTest::testObjectPattern ,17,11,15,21,16,13,19,20,20,21,21,20,20,20,21,18,16,17,17,17,15,15,15,15,17,15,15,15,18,18,19,20,18,20,19,18,18,19,20,18,18,19,18,18,8,21,13,3,0,16,79,7,17,
PatternOptionBuilderTest::testRequiredOption ,3,8,6,34,9,17,7,5,9,7,6,6,7,9,15,6,16,10,10,10,12,5,11,5,3,11,11,5,3,6,6,6,7,6,4,4,5,15,15,4,4,6,4,7,9,7,4,19,16,0,93,10,12,
PatternOptionBuilderTest::testSimplePattern ,92,87,90,70,91,85,95,95,94,96,97,96,95,94,93,92,90,92,92,92,90,91,90,91,92,90,90,91,94,93,94,96,92,96,94,94,95,88,95,94,94,94,94,94,85,97,90,76,79,93,0,84,84,
PatternOptionBuilderTest::testURLPattern ,11,6,9,25,10,8,14,14,15,15,15,15,14,15,17,13,15,12,12,12,12,9,10,9,11,10,10,9,12,12,14,14,12,14,13,12,12,16,16,12,13,13,12,12,1,15,7,10,7,10,84,0,13,
PatternOptionBuilderTest::testUntypedPattern ,13,14,14,33,15,18,16,15,14,16,17,16,16,14,16,12,17,13,13,13,15,14,14,14,13,14,14,13,14,15,15,16,13,16,15,15,16,14,18,15,15,16,15,14,13,17,13,20,17,12,84,13,0,
