:,OptionGroupTest::testGetNames,OptionGroupTest::testNoOptionsExtraArgs,OptionGroupTest::testSingleLongOption,OptionGroupTest::testSingleOption,OptionGroupTest::testSingleOptionFromGroup,OptionGroupTest::testToString,OptionGroupTest::testTwoLongOptionsFromGroup,OptionGroupTest::testTwoOptionsFromDifferentGroup,OptionGroupTest::testTwoOptionsFromGroup,OptionGroupTest::testTwoOptionsFromGroupWithProperties,OptionGroupTest::testTwoValidLongOptions,OptionGroupTest::testTwoValidOptions,OptionGroupTest::testValidLongOnlyOptions,ParserTestCase::testAmbiguousLongWithoutEqualSingleDash,ParserTestCase::testAmbiguousPartialLongOption1,ParserTestCase::testAmbiguousPartialLongOption2,ParserTestCase::testAmbiguousPartialLongOption3,ParserTestCase::testAmbiguousPartialLongOption4,ParserTestCase::testArgumentStartingWithHyphen,ParserTestCase::testBursting,ParserTestCase::testDoubleDash1,ParserTestCase::testDoubleDash2,ParserTestCase::testLongWithEqualDoubleDash,ParserTestCase::testLongWithEqualSingleDash,ParserTestCase::testLongWithUnexpectedArgument1,ParserTestCase::testLongWithUnexpectedArgument2,ParserTestCase::testLongWithoutEqualDoubleDash,ParserTestCase::testLongWithoutEqualSingleDash,ParserTestCase::testMissingArg,ParserTestCase::testMissingArgWithBursting,ParserTestCase::testMissingRequiredGroup,ParserTestCase::testMissingRequiredOption,ParserTestCase::testMissingRequiredOptions,ParserTestCase::testMultiple,ParserTestCase::testMultipleWithLong,ParserTestCase::testNegativeArgument,ParserTestCase::testNegativeOption,ParserTestCase::testOptionAndRequiredOption,ParserTestCase::testOptionGroup,ParserTestCase::testOptionGroupLong,ParserTestCase::testPartialLongOptionSingleDash,ParserTestCase::testPropertiesOption1,ParserTestCase::testPropertiesOption2,ParserTestCase::testPropertyOptionFlags,ParserTestCase::testPropertyOptionGroup,ParserTestCase::testPropertyOptionMultipleValues,ParserTestCase::testPropertyOptionRequired,ParserTestCase::testPropertyOptionSingularValue,ParserTestCase::testPropertyOptionUnexpected,ParserTestCase::testPropertyOverrideValues,ParserTestCase::testReuseOptionsTwice,ParserTestCase::testShortWithEqual,ParserTestCase::testShortWithUnexpectedArgument,ParserTestCase::testShortWithoutEqual,ParserTestCase::testSimpleLong,ParserTestCase::testSimpleShort,ParserTestCase::testSingleDash,ParserTestCase::testStopAtExpectedArg,ParserTestCase::testStopAtNonOptionLong,ParserTestCase::testStopAtNonOptionShort,ParserTestCase::testStopAtUnexpectedArg,ParserTestCase::testStopBursting,ParserTestCase::testStopBursting2,ParserTestCase::testUnambiguousPartialLongOption1,ParserTestCase::testUnambiguousPartialLongOption2,ParserTestCase::testUnambiguousPartialLongOption3,ParserTestCase::testUnambiguousPartialLongOption4,ParserTestCase::testUnlimitedArgs,ParserTestCase::testUnrecognizedOption,ParserTestCase::testUnrecognizedOptionWithBursting,ParserTestCase::testWithRequiredOption,
OptionGroupTest::testTwoValidLongOptions ,14,5,3,3,3,12,8,0,8,9,0,0,10,11,9,9,9,9,8,7,9,17,11,11,11,11,10,11,10,10,11,11,17,14,14,8,7,13,11,12,9,20,13,33,20,17,13,12,13,18,12,11,11,11,11,11,14,5,7,7,9,8,11,11,11,11,11,18,15,9,9,
OptionGroupTest::testTwoValidOptions ,14,5,3,3,3,12,8,0,8,9,0,0,10,11,9,9,9,9,8,7,9,17,11,11,11,11,10,11,10,10,11,11,17,14,14,8,7,13,11,12,9,20,13,33,20,17,13,12,13,18,12,11,11,11,11,11,14,5,7,7,9,8,11,11,11,11,11,18,15,9,9,
OptionGroupTest::testValidLongOnlyOptions ,8,15,8,8,8,12,4,10,4,4,10,10,0,13,8,8,9,9,3,7,13,13,6,6,7,7,7,6,4,4,9,10,16,21,21,3,5,16,6,7,9,24,14,39,19,16,6,9,7,21,8,6,7,6,13,13,17,10,9,9,12,3,18,5,5,6,6,19,15,5,15,
ParserTestCase::testAmbiguousLongWithoutEqualSingleDash ,13,13,14,14,14,13,10,11,10,13,11,11,13,0,10,10,10,10,11,11,12,17,9,9,9,9,9,9,14,14,13,8,9,20,20,11,10,9,13,14,10,19,10,35,17,18,14,13,14,19,14,9,9,9,12,12,16,10,11,11,11,13,17,10,10,9,9,15,13,10,8,
ParserTestCase::testAmbiguousPartialLongOption1 ,9,13,8,8,8,10,8,9,8,6,9,9,8,10,0,0,1,1,8,8,13,14,5,5,5,5,4,5,6,6,8,6,11,21,21,8,8,12,9,8,3,21,12,34,17,15,9,8,9,21,10,5,5,5,14,14,18,10,10,10,13,8,18,4,4,3,3,16,17,8,11,
ParserTestCase::testAmbiguousPartialLongOption2 ,9,13,8,8,8,10,8,9,8,6,9,9,8,10,0,0,1,1,8,8,13,14,5,5,5,5,4,5,6,6,8,6,11,21,21,8,8,12,9,8,3,21,12,34,17,15,9,8,9,21,10,5,5,5,14,14,18,10,10,10,13,8,18,4,4,3,3,16,17,8,11,
ParserTestCase::testAmbiguousPartialLongOption3 ,10,13,9,9,9,10,9,9,9,7,9,9,9,10,1,1,0,0,9,9,13,14,6,6,6,6,5,6,7,7,8,6,10,21,21,9,9,12,10,9,4,21,12,33,16,15,10,8,10,21,10,6,6,6,14,14,18,10,10,10,13,9,18,5,5,4,4,16,17,9,11,
ParserTestCase::testAmbiguousPartialLongOption4 ,10,13,9,9,9,10,9,9,9,7,9,9,9,10,1,1,0,0,9,9,13,14,6,6,6,6,5,6,7,7,8,6,10,21,21,9,9,12,10,9,4,21,12,33,16,15,10,8,10,21,10,6,6,6,14,14,18,10,10,10,13,9,18,5,5,4,4,16,17,9,11,
ParserTestCase::testArgumentStartingWithHyphen ,8,13,10,10,10,13,1,8,1,3,8,8,3,11,8,8,9,9,0,7,13,13,6,6,7,7,7,6,4,4,11,11,17,21,21,0,3,16,7,8,8,24,14,40,20,13,5,7,6,20,9,6,7,6,13,13,17,8,9,9,12,4,18,5,5,6,6,19,15,5,14,
ParserTestCase::testBursting ,11,11,8,8,8,11,7,7,7,7,7,7,7,11,8,8,9,9,7,0,7,11,9,9,9,9,8,9,9,9,10,11,17,16,16,7,7,10,9,11,7,18,8,37,19,15,11,9,11,16,10,9,9,9,7,7,12,7,3,3,7,6,11,9,9,9,9,14,11,3,12,
ParserTestCase::testDoubleDash1 ,17,9,11,11,11,15,13,9,13,13,9,9,13,12,13,13,13,13,13,7,0,14,15,15,15,15,14,15,14,14,13,15,17,9,9,13,12,10,15,15,13,14,8,34,18,17,17,15,17,13,15,15,15,15,4,4,8,10,6,6,2,11,9,15,15,15,15,10,8,10,12,
ParserTestCase::testDoubleDash2 ,13,17,17,17,17,13,12,17,12,15,17,17,13,17,14,14,14,14,13,11,14,0,14,14,15,15,15,14,16,16,12,17,18,21,21,13,12,18,11,11,16,22,17,33,16,9,15,14,16,11,11,14,15,14,14,14,17,17,13,13,15,14,19,14,14,14,14,18,13,8,20,
ParserTestCase::testLongWithEqualDoubleDash ,7,16,10,10,10,10,5,11,5,4,11,11,6,9,5,5,6,6,6,9,15,14,0,0,3,3,1,0,5,5,11,6,12,23,23,6,5,14,7,9,4,22,12,38,19,16,7,8,6,22,9,0,3,0,15,15,19,10,11,11,14,6,20,2,2,2,2,19,16,6,13,
ParserTestCase::testLongWithEqualSingleDash ,7,16,10,10,10,10,5,11,5,4,11,11,6,9,5,5,6,6,6,9,15,14,0,0,3,3,1,0,5,5,11,6,12,23,23,6,5,14,7,9,4,22,12,38,19,16,7,8,6,22,9,0,3,0,15,15,19,10,11,11,14,6,20,2,2,2,2,19,16,6,13,
ParserTestCase::testLongWithUnexpectedArgument1 ,7,16,10,10,10,11,6,11,6,5,11,11,7,9,5,5,6,6,7,9,15,15,3,3,0,0,3,3,6,6,12,7,12,23,23,7,6,15,8,10,5,23,13,38,19,16,8,9,7,22,10,3,0,3,15,15,19,10,11,11,14,7,20,3,3,3,3,19,17,7,14,
ParserTestCase::testLongWithUnexpectedArgument2 ,7,16,10,10,10,11,6,11,6,5,11,11,7,9,5,5,6,6,7,9,15,15,3,3,0,0,3,3,6,6,12,7,12,23,23,7,6,15,8,10,5,23,13,38,19,16,8,9,7,22,10,3,0,3,15,15,19,10,11,11,14,7,20,3,3,3,3,19,17,7,14,
ParserTestCase::testLongWithoutEqualDoubleDash ,7,15,9,9,9,11,6,10,6,5,10,10,7,9,4,4,5,5,7,8,14,15,1,1,3,3,0,1,5,5,10,6,12,22,22,7,6,13,8,9,3,21,12,37,18,17,7,8,7,21,10,1,3,1,14,14,18,9,10,10,13,7,19,3,3,3,3,18,17,7,12,
ParserTestCase::testLongWithoutEqualSingleDash ,7,16,10,10,10,10,5,11,5,4,11,11,6,9,5,5,6,6,6,9,15,14,0,0,3,3,1,0,5,5,11,6,12,23,23,6,5,14,7,9,4,22,12,38,19,16,7,8,6,22,9,0,3,0,15,15,19,10,11,11,14,6,20,2,2,2,2,19,16,6,13,
ParserTestCase::testMissingArg ,7,15,8,8,8,12,5,10,5,2,10,10,4,14,6,6,7,7,4,9,14,16,5,5,6,6,5,5,0,0,10,9,15,22,22,4,6,16,7,9,7,25,16,38,19,17,5,8,5,22,7,5,6,5,15,15,19,11,11,11,14,4,19,4,4,5,5,20,18,8,15,
ParserTestCase::testMissingArgWithBursting ,7,15,8,8,8,12,5,10,5,2,10,10,4,14,6,6,7,7,4,9,14,16,5,5,6,6,5,5,0,0,10,9,15,22,22,4,6,16,7,9,7,25,16,38,19,17,5,8,5,22,7,5,6,5,15,15,19,11,11,11,14,4,19,4,4,5,5,20,18,8,15,
ParserTestCase::testMissingRequiredGroup ,12,14,10,10,10,10,11,11,11,9,11,11,9,13,8,8,8,8,11,10,13,12,11,11,12,12,10,11,10,10,0,12,16,19,19,11,11,14,5,6,8,22,14,30,13,11,10,8,11,16,7,11,12,11,12,12,16,12,11,11,13,9,17,10,10,10,10,18,16,11,13,
ParserTestCase::testMissingRequiredOption ,10,15,10,10,10,11,10,11,10,9,11,11,10,8,6,6,6,6,11,11,15,17,6,6,7,7,6,6,9,9,12,0,6,22,22,11,10,9,11,11,6,22,12,35,16,18,11,11,11,22,12,6,7,6,15,15,19,10,11,11,14,11,19,6,6,5,5,17,16,10,8,
ParserTestCase::testMissingRequiredOptions ,16,17,16,16,16,15,16,17,16,15,17,17,16,9,11,11,10,10,17,17,17,18,12,12,12,12,12,12,15,15,16,6,0,23,23,17,16,12,16,15,11,22,15,32,15,18,17,16,17,24,16,12,12,12,17,17,19,15,17,17,17,17,20,12,12,11,11,17,17,16,11,
ParserTestCase::testMultiple ,25,13,16,16,16,20,21,14,21,21,14,14,21,20,21,21,21,21,21,16,9,21,23,23,23,23,22,23,22,22,19,22,23,0,0,21,20,15,22,22,21,15,15,31,20,21,25,22,25,21,22,23,23,23,12,12,7,17,13,13,9,19,5,23,23,23,23,14,14,18,16,
ParserTestCase::testMultipleWithLong ,25,13,16,16,16,20,21,14,21,21,14,14,21,20,21,21,21,21,21,16,9,21,23,23,23,23,22,23,22,22,19,22,23,0,0,21,20,15,22,22,21,15,15,31,20,21,25,22,25,21,22,23,23,23,12,12,7,17,13,13,9,19,5,23,23,23,23,14,14,18,16,
ParserTestCase::testNegativeArgument ,8,13,10,10,10,13,1,8,1,3,8,8,3,11,8,8,9,9,0,7,13,13,6,6,7,7,7,6,4,4,11,11,17,21,21,0,3,16,7,8,8,24,14,40,20,13,5,7,6,20,9,6,7,6,13,13,17,8,9,9,12,4,18,5,5,6,6,19,15,5,14,
ParserTestCase::testNegativeOption ,9,12,9,9,9,11,2,7,2,5,7,7,5,10,8,8,9,9,3,7,12,12,5,5,6,6,6,5,6,6,11,10,16,20,20,3,0,13,6,9,8,23,13,38,19,13,7,9,6,19,9,5,6,5,13,13,16,8,9,9,12,5,17,5,5,5,5,18,14,4,11,
ParserTestCase::testOptionAndRequiredOption ,17,13,15,15,15,16,15,13,15,15,13,13,16,9,12,12,12,12,16,10,10,18,14,14,15,15,13,14,16,16,14,9,12,15,15,16,13,0,17,16,11,14,7,33,18,19,18,15,18,19,17,14,15,14,10,10,12,12,10,10,10,15,12,14,14,13,13,11,11,11,6,
ParserTestCase::testOptionGroup ,8,16,11,11,11,9,6,11,6,6,11,11,6,13,9,9,10,10,7,9,15,11,7,7,8,8,8,7,7,7,5,11,16,22,22,7,6,17,0,3,9,25,15,35,14,12,5,6,6,19,4,7,8,7,15,15,19,12,11,11,14,8,19,7,7,7,7,20,16,6,16,
ParserTestCase::testOptionGroupLong ,8,17,11,11,11,10,9,12,9,7,12,12,7,14,8,8,9,9,8,11,15,11,9,9,10,10,9,9,9,9,6,11,15,22,22,8,9,16,3,0,8,25,16,34,13,11,6,4,8,18,7,9,10,9,15,15,18,13,11,11,14,8,19,9,9,9,9,21,17,9,14,
ParserTestCase::testPartialLongOptionSingleDash ,9,14,8,8,8,10,8,9,8,5,9,9,9,10,3,3,4,4,8,7,13,16,4,4,5,5,3,4,7,7,8,6,11,21,21,8,8,11,9,8,0,20,11,35,16,16,9,7,9,20,10,4,5,4,13,13,17,8,9,9,12,7,18,4,4,4,4,17,17,8,10,
ParserTestCase::testPropertiesOption1 ,25,20,22,22,22,24,23,20,23,23,20,20,24,19,21,21,21,21,24,18,14,22,22,22,23,23,21,22,25,25,22,22,22,15,15,24,23,14,25,25,20,0,13,33,23,24,26,23,26,23,25,22,23,22,11,11,11,21,17,17,14,22,17,23,23,23,23,8,14,20,16,
ParserTestCase::testPropertiesOption2 ,15,13,15,15,15,15,13,13,13,14,13,13,14,10,12,12,12,12,14,8,8,17,12,12,13,13,12,12,16,16,14,12,15,15,15,14,13,7,15,16,11,13,0,35,18,18,16,14,16,18,15,12,13,12,9,9,11,11,9,9,9,14,11,13,13,13,13,13,10,9,9,
ParserTestCase::testPropertyOptionFlags ,40,30,33,33,33,33,39,33,39,37,33,33,39,35,34,34,33,33,40,37,34,33,38,38,38,38,37,38,38,38,30,35,32,31,31,40,38,33,35,34,35,33,35,0,28,32,38,35,39,30,34,38,38,38,36,36,34,37,35,35,35,37,31,37,37,36,36,35,37,38,32,
ParserTestCase::testPropertyOptionGroup ,21,20,21,21,21,12,19,20,19,19,20,20,19,17,17,17,16,16,20,19,18,16,19,19,19,19,18,19,19,19,13,16,15,20,20,20,19,18,14,13,16,23,18,28,0,17,18,15,19,18,16,19,19,19,18,18,18,19,18,18,18,20,19,18,18,17,17,20,17,19,17,
ParserTestCase::testPropertyOptionMultipleValues ,14,18,18,18,18,14,13,17,13,16,17,17,16,18,15,15,15,15,13,15,17,9,16,16,16,16,17,16,17,17,11,18,18,21,21,13,13,19,12,11,16,24,18,32,17,0,14,14,16,16,13,16,16,16,15,15,17,17,16,16,16,16,19,16,16,16,16,20,16,15,19,
ParserTestCase::testPropertyOptionRequired ,5,18,13,13,13,11,6,13,6,5,13,13,6,14,9,9,10,10,5,11,17,15,7,7,8,8,7,7,5,5,10,11,17,25,25,5,7,18,5,6,9,26,16,38,18,14,0,4,3,22,7,7,8,7,17,17,21,13,13,13,16,7,22,6,6,6,6,21,19,9,17,
ParserTestCase::testPropertyOptionSingularValue ,7,17,11,11,11,11,8,12,8,6,12,12,9,13,8,8,8,8,7,9,15,14,8,8,9,9,8,8,8,8,8,11,16,22,22,7,9,15,6,4,7,23,14,35,15,14,4,0,6,19,8,8,9,8,14,14,18,12,11,11,14,7,20,8,8,8,8,19,18,10,14,
ParserTestCase::testPropertyOptionUnexpected ,5,18,13,13,13,11,5,13,5,5,13,13,7,14,9,9,10,10,6,11,17,16,6,6,7,7,7,6,5,5,11,11,17,25,25,6,6,18,6,8,9,26,16,39,19,16,3,6,0,24,8,6,7,6,17,17,21,13,13,13,16,7,22,5,5,6,6,21,18,8,17,
ParserTestCase::testPropertyOverrideValues ,21,21,21,21,21,20,19,18,19,20,18,18,21,19,21,21,21,21,20,16,13,11,22,22,22,22,21,22,22,22,16,22,24,21,21,20,19,19,19,18,20,23,18,30,18,16,22,19,24,0,19,22,22,22,14,14,18,17,15,15,12,20,21,22,22,22,22,20,16,17,20,
ParserTestCase::testReuseOptionsTwice ,8,16,11,11,11,9,9,12,9,8,12,12,8,14,10,10,10,10,9,10,15,11,9,9,10,10,10,9,7,7,7,12,16,22,22,9,9,17,4,7,10,25,15,34,16,13,7,8,8,19,0,9,10,9,16,16,19,13,12,12,15,9,19,8,8,9,9,20,17,9,16,
ParserTestCase::testShortWithEqual ,7,16,10,10,10,10,5,11,5,4,11,11,6,9,5,5,6,6,6,9,15,14,0,0,3,3,1,0,5,5,11,6,12,23,23,6,5,14,7,9,4,22,12,38,19,16,7,8,6,22,9,0,3,0,15,15,19,10,11,11,14,6,20,2,2,2,2,19,16,6,13,
ParserTestCase::testShortWithUnexpectedArgument ,7,16,10,10,10,11,6,11,6,5,11,11,7,9,5,5,6,6,7,9,15,15,3,3,0,0,3,3,6,6,12,7,12,23,23,7,6,15,8,10,5,23,13,38,19,16,8,9,7,22,10,3,0,3,15,15,19,10,11,11,14,7,20,3,3,3,3,19,17,7,14,
ParserTestCase::testShortWithoutEqual ,7,16,10,10,10,10,5,11,5,4,11,11,6,9,5,5,6,6,6,9,15,14,0,0,3,3,1,0,5,5,11,6,12,23,23,6,5,14,7,9,4,22,12,38,19,16,7,8,6,22,9,0,3,0,15,15,19,10,11,11,14,6,20,2,2,2,2,19,16,6,13,
ParserTestCase::testSimpleLong ,17,11,13,13,13,15,13,11,13,13,11,11,13,12,14,14,14,14,13,7,4,14,15,15,15,15,14,15,15,15,12,15,17,12,12,13,13,10,15,15,13,11,9,36,18,15,17,14,17,14,16,15,15,15,0,0,5,10,7,7,5,12,12,15,15,15,15,7,6,10,12,
ParserTestCase::testSimpleShort ,17,11,13,13,13,15,13,11,13,13,11,11,13,12,14,14,14,14,13,7,4,14,15,15,15,15,14,15,15,15,12,15,17,12,12,13,13,10,15,15,13,11,9,36,18,15,17,14,17,14,16,15,15,15,0,0,5,10,7,7,5,12,12,15,15,15,15,7,6,10,12,
ParserTestCase::testSingleDash ,21,14,16,16,16,17,17,14,17,17,14,14,17,16,18,18,18,18,17,12,8,17,19,19,19,19,18,19,19,19,16,19,19,7,7,17,16,12,19,18,17,11,11,34,18,17,21,18,21,18,19,19,19,19,5,5,0,14,11,11,8,15,7,19,19,19,19,8,8,14,13,
ParserTestCase::testStopAtExpectedArg ,12,10,8,8,8,12,8,5,8,9,5,5,10,10,10,10,10,10,8,7,10,17,10,10,10,10,9,10,11,11,12,10,15,17,17,8,8,12,12,13,8,21,11,37,19,17,13,12,13,17,13,10,10,10,10,10,14,0,7,7,9,8,14,11,11,11,11,17,14,9,10,
ParserTestCase::testStopAtNonOptionLong ,13,11,9,9,9,12,9,7,9,9,7,7,9,11,10,10,10,10,9,3,6,13,11,11,11,11,10,11,11,11,11,11,17,13,13,9,9,10,11,11,9,17,9,35,18,16,13,11,13,15,12,11,11,11,7,7,11,7,0,0,4,7,10,11,11,11,11,14,10,5,12,
ParserTestCase::testStopAtNonOptionShort ,13,11,9,9,9,12,9,7,9,9,7,7,9,11,10,10,10,10,9,3,6,13,11,11,11,11,10,11,11,11,11,11,17,13,13,9,9,10,11,11,9,17,9,35,18,16,13,11,13,15,12,11,11,11,7,7,11,7,0,0,4,7,10,11,11,11,11,14,10,5,12,
ParserTestCase::testStopAtUnexpectedArg ,16,11,11,11,11,14,12,9,12,12,9,9,12,11,13,13,13,13,12,7,2,15,14,14,14,14,13,14,14,14,13,14,17,9,9,12,12,10,14,14,12,14,9,35,18,16,16,14,16,12,15,14,14,14,5,5,8,9,4,4,0,10,10,14,14,14,14,11,8,9,12,
ParserTestCase::testStopBursting ,8,13,6,6,6,12,4,8,4,2,8,8,3,13,8,8,9,9,4,6,11,14,6,6,7,7,7,6,4,4,9,11,17,19,19,4,5,15,8,8,7,22,14,37,20,16,7,7,7,20,9,6,7,6,12,12,15,8,7,7,10,0,16,5,5,6,6,19,16,6,13,
ParserTestCase::testStopBursting2 ,22,10,13,13,13,17,18,11,18,18,11,11,18,17,18,18,18,18,18,11,9,19,20,20,20,20,19,20,19,19,17,19,20,5,5,18,17,12,19,19,18,17,11,31,19,19,22,20,22,21,19,20,20,20,12,12,7,14,10,10,10,16,0,20,20,20,20,15,13,14,14,
ParserTestCase::testUnambiguousPartialLongOption1 ,7,16,10,10,10,10,4,11,4,3,11,11,5,10,4,4,5,5,5,9,15,14,2,2,3,3,3,2,4,4,10,6,12,23,23,5,5,14,7,9,4,23,13,37,18,16,6,8,5,22,8,2,3,2,15,15,19,11,11,11,14,5,20,0,0,1,1,17,16,6,13,
ParserTestCase::testUnambiguousPartialLongOption2 ,7,16,10,10,10,10,4,11,4,3,11,11,5,10,4,4,5,5,5,9,15,14,2,2,3,3,3,2,4,4,10,6,12,23,23,5,5,14,7,9,4,23,13,37,18,16,6,8,5,22,8,2,3,2,15,15,19,11,11,11,14,5,20,0,0,1,1,17,16,6,13,
ParserTestCase::testUnambiguousPartialLongOption3 ,7,16,10,10,10,10,5,11,5,4,11,11,6,9,3,3,4,4,6,9,15,14,2,2,3,3,3,2,5,5,10,5,11,23,23,6,5,13,7,9,4,23,13,36,17,16,6,8,6,22,9,2,3,2,15,15,19,11,11,11,14,6,20,1,1,0,0,17,16,6,12,
ParserTestCase::testUnambiguousPartialLongOption4 ,7,16,10,10,10,10,5,11,5,4,11,11,6,9,3,3,4,4,6,9,15,14,2,2,3,3,3,2,5,5,10,5,11,23,23,6,5,13,7,9,4,23,13,36,17,16,6,8,6,22,9,2,3,2,15,15,19,11,11,11,14,6,20,1,1,0,0,17,16,6,12,
