:,GLSMultipleLinearRegressionTest::cannotAddCovarianceDataThatIsNotSquare,GLSMultipleLinearRegressionTest::cannotAddCovarianceDataWithSampleSizeMismatch,GLSMultipleLinearRegressionTest::cannotAddNullCovarianceData,GLSMultipleLinearRegressionTest::cannotAddNullYSampleData,GLSMultipleLinearRegressionTest::cannotAddSampleDataWithSizeMismatch,GLSMultipleLinearRegressionTest::cannotAddXSampleData,GLSMultipleLinearRegressionTest::notEnoughData,GLSMultipleLinearRegressionTest::testGLSEfficiency,GLSMultipleLinearRegressionTest::testGLSOLSConsistency,GLSMultipleLinearRegressionTest::testNewSample2,GLSMultipleLinearRegressionTest::testYVariance,LineTest::testAbscissa,LineTest::testClosest,LineTest::testContains,LineTest::testDistance,LineTest::testIntersection,LineTest::testLineDistance,LineTest::testOffset,LineTest::testOriginOffset,LineTest::testParallel,LineTest::testPointAt,LineTest::testPointDistance,LineTest::testRevert,LineTest::testSimilar,LineTest::testTransform,LinearInterpolatorTest::testIllegalArguments,LinearInterpolatorTest::testInterpolateLinear,LinearInterpolatorTest::testInterpolateLinearDegenerateThreeSegment,LinearInterpolatorTest::testInterpolateLinearDegenerateTwoSegment,MultipleLinearRegressionAbstractTest::canEstimateRegressandVariance,MultipleLinearRegressionAbstractTest::canEstimateRegressionParameters,MultipleLinearRegressionAbstractTest::canEstimateRegressionParametersVariance,MultipleLinearRegressionAbstractTest::canEstimateResiduals,MultipleLinearRegressionAbstractTest::testNewSample,MultipleLinearRegressionAbstractTest::testNewSampleInsufficientData,MultipleLinearRegressionAbstractTest::testNewSampleInvalidData,MultipleLinearRegressionAbstractTest::testNewSampleNullData,MultipleLinearRegressionAbstractTest::testXSampleDataNull,MultipleLinearRegressionAbstractTest::testYSampleDataNull,NonLinearConjugateGradientOptimizerTest::testBoundsUnsupported,NonLinearConjugateGradientOptimizerTest::testCircleFitting,NonLinearConjugateGradientOptimizerTest::testColumnsPermutation,NonLinearConjugateGradientOptimizerTest::testIllConditioned,NonLinearConjugateGradientOptimizerTest::testInconsistentEquations,NonLinearConjugateGradientOptimizerTest::testMoreEstimatedParametersSimple,NonLinearConjugateGradientOptimizerTest::testMoreEstimatedParametersUnsorted,NonLinearConjugateGradientOptimizerTest::testNoDependency,NonLinearConjugateGradientOptimizerTest::testNonInversible,NonLinearConjugateGradientOptimizerTest::testOneSet,NonLinearConjugateGradientOptimizerTest::testRedundantEquations,NonLinearConjugateGradientOptimizerTest::testTrivial,NonLinearConjugateGradientOptimizerTest::testTwoSets,OLSMultipleLinearRegressionTest::cannotAddSampleDataWithSizeMismatch,OLSMultipleLinearRegressionTest::testHat,OLSMultipleLinearRegressionTest::testLongly,OLSMultipleLinearRegressionTest::testNewSample2,OLSMultipleLinearRegressionTest::testNewSampleDataXNull,OLSMultipleLinearRegressionTest::testNewSampleDataYNull,OLSMultipleLinearRegressionTest::testPerfectFit,OLSMultipleLinearRegressionTest::testSwissFertility,OLSMultipleLinearRegressionTest::testWampler1,OLSMultipleLinearRegressionTest::testWampler2,OLSMultipleLinearRegressionTest::testWampler3,OLSMultipleLinearRegressionTest::testWampler4,OLSMultipleLinearRegressionTest::testYVariance,SubLineTest::testEndPoints,SubLineTest::testHalfInfiniteNeg,SubLineTest::testHalfInfinitePos,SubLineTest::testIntersectionBoundaryBoundary,SubLineTest::testIntersectionBoundaryOutside,SubLineTest::testIntersectionInsideBoundary,SubLineTest::testIntersectionInsideInside,SubLineTest::testIntersectionInsideOutside,SubLineTest::testIntersectionOutsideOutside,SubLineTest::testNoEndPoints,SubLineTest::testNoSegments,SubLineTest::testSeveralSegments,
GLSMultipleLinearRegressionTest::testYVariance ,74,49,5,3,23,5,20,61,15,78,0,8,67,13,5,8,45,5,11,19,8,12,2,6,20,69,54,77,59,4,3,3,3,143,17,17,3,2,2,63,37,90,273,90,112,216,259,103,111,92,47,260,22,347,678,78,4,2,81,1387,290,285,280,280,0,11,21,21,14,10,14,16,10,10,28,7,8,
LineTest::testAbscissa ,66,41,10,10,20,10,20,55,14,72,8,0,59,6,4,4,37,4,7,12,4,6,6,5,13,61,46,70,52,9,10,10,10,137,13,13,10,10,10,57,31,83,266,83,104,208,252,96,103,85,42,252,19,340,671,72,10,10,74,1379,282,277,273,273,8,7,17,17,8,5,8,9,5,5,25,5,5,
LineTest::testClosest ,58,56,69,69,62,69,69,60,67,61,67,59,0,57,63,59,23,63,57,51,63,55,65,64,50,54,55,63,55,68,69,69,69,116,64,64,69,69,69,54,55,65,242,66,80,169,200,74,81,68,53,210,62,317,647,60,69,69,58,1354,254,249,248,248,67,60,59,59,55,59,55,53,59,59,61,63,61,
LineTest::testContains ,63,40,15,15,18,15,19,54,15,70,13,6,57,6,9,6,34,9,5,8,9,6,11,8,11,56,45,66,49,12,15,15,15,133,13,14,15,15,15,55,29,79,262,78,100,203,250,91,99,80,40,247,17,337,667,70,15,14,73,1375,279,274,269,269,13,8,17,16,5,5,5,7,5,5,24,9,8,
LineTest::testDistance ,70,45,6,6,20,6,20,57,14,74,5,4,63,9,0,4,41,0,7,15,5,8,3,3,16,65,50,73,55,6,6,6,6,139,13,13,6,6,6,60,33,86,269,85,108,212,256,99,107,87,44,256,19,343,674,74,6,6,77,1383,286,281,276,276,5,8,18,18,10,6,10,12,6,6,27,3,4,
LineTest::testIntersection ,66,43,10,10,20,10,20,56,14,73,8,4,59,6,4,48,37,4,3,11,6,7,7,5,13,61,48,69,52,9,10,10,10,136,13,13,10,10,10,57,32,83,265,82,104,208,254,96,103,84,43,252,19,340,670,73,10,10,74,1379,282,277,272,272,8,8,19,19,7,4,7,9,4,4,27,5,5,
LineTest::testLineDistance ,56,39,47,47,40,47,47,53,45,58,45,37,23,34,41,37,0,41,35,29,41,33,43,42,28,49,43,59,45,46,47,47,47,121,42,42,47,47,47,46,35,67,248,66,85,177,222,78,84,68,36,222,40,324,653,58,47,47,57,1361,262,257,255,255,45,38,37,37,33,37,33,31,37,37,39,41,39,
LineTest::testOffset ,70,45,6,6,20,6,20,57,14,74,5,4,63,9,0,4,41,0,7,15,5,8,3,3,16,65,50,73,55,6,6,6,6,139,13,13,6,6,6,60,33,86,269,85,108,212,256,99,107,87,44,256,19,343,674,74,6,6,77,1383,286,281,276,276,5,8,18,18,10,6,10,12,6,6,27,3,4,
LineTest::testOriginOffset ,65,42,13,13,18,13,20,56,14,73,11,7,57,5,7,3,35,7,0,10,8,6,9,8,11,59,47,68,50,12,13,13,13,136,13,13,13,13,13,57,32,82,264,81,103,206,253,95,101,83,42,251,17,339,669,73,13,13,74,1377,280,275,271,271,11,9,19,18,6,5,6,8,5,5,26,7,6,
LineTest::testParallel ,60,39,21,21,19,21,21,53,19,65,19,12,51,8,15,11,29,15,10,0,15,9,17,14,11,53,42,63,47,18,21,21,21,128,16,17,21,21,21,50,25,74,257,73,96,197,244,86,94,75,35,242,18,333,663,65,21,20,68,1371,273,269,264,264,19,11,17,15,7,9,7,8,9,9,23,15,13,
LineTest::testPointAt ,70,45,10,10,20,10,20,58,14,75,8,4,63,9,5,6,41,5,8,15,0,8,6,6,16,65,50,73,55,9,10,10,10,140,14,14,10,10,10,60,34,86,269,86,108,212,256,99,107,88,44,256,20,343,674,75,10,10,78,1382,286,281,276,276,8,9,17,18,10,6,10,12,6,6,24,6,6,
LineTest::testPointDistance ,64,41,14,14,19,14,20,57,14,74,12,6,55,6,8,7,33,8,6,9,8,0,10,10,11,57,47,69,51,13,14,14,14,137,14,14,14,14,14,59,33,81,265,82,102,204,251,93,101,84,43,249,18,340,670,74,14,14,73,1377,280,275,272,272,12,9,16,17,7,7,7,8,7,7,23,10,8,
LineTest::testRevert ,72,47,5,4,21,5,20,59,14,76,2,6,65,11,3,7,43,3,9,17,6,10,0,4,18,67,52,75,57,4,4,4,4,141,15,15,4,4,4,61,35,88,271,88,110,214,257,101,109,90,45,258,20,345,676,76,4,4,79,1385,288,283,278,278,2,9,19,19,12,8,12,14,8,8,26,5,6,
LineTest::testSimilar ,69,44,7,7,20,7,18,56,13,72,6,5,64,8,3,5,42,3,8,14,6,10,4,0,17,64,49,72,54,5,7,7,7,138,13,14,7,7,7,58,31,85,268,84,107,211,254,98,106,86,42,255,19,342,673,72,7,6,76,1382,285,280,275,275,6,7,16,16,9,5,9,11,5,5,25,3,4,
LineTest::testTransform ,60,38,22,22,19,22,22,55,20,71,20,13,50,11,16,13,28,16,11,11,16,11,18,17,0,55,44,65,45,21,22,22,22,134,17,17,22,22,22,55,30,78,262,76,99,196,247,90,95,78,40,243,18,337,666,71,22,22,68,1375,275,271,267,267,20,14,17,17,10,12,10,8,12,12,23,16,14,
LinearInterpolatorTest::testIllegalArguments ,34,34,67,70,49,68,63,61,66,37,69,61,54,56,65,61,49,65,59,53,65,57,67,64,55,0,34,36,33,68,71,71,71,96,55,55,69,71,71,39,48,48,215,47,63,156,197,49,56,47,44,199,49,309,626,37,68,70,41,1337,241,238,234,234,69,60,56,57,56,59,56,56,59,59,54,65,63,
LinearInterpolatorTest::testInterpolateLinear ,37,22,52,55,37,53,48,55,50,41,54,46,55,45,50,48,43,50,47,42,50,47,52,49,44,34,0,25,6,53,56,56,56,102,41,41,54,56,56,43,36,53,227,53,70,168,212,61,66,55,39,212,37,315,637,41,53,55,45,1347,252,247,243,243,54,46,44,43,45,46,45,44,46,46,42,50,48,
LinearInterpolatorTest::testInterpolateLinearDegenerateThreeSegment ,35,41,75,78,58,76,70,69,72,37,77,70,63,66,73,69,59,73,68,63,73,69,75,72,65,36,25,0,22,76,79,79,79,94,62,62,77,79,79,52,52,52,211,51,59,154,198,61,66,53,54,200,58,305,624,37,76,78,45,1333,238,233,232,232,77,70,65,65,66,69,66,65,69,69,64,73,71,
LinearInterpolatorTest::testInterpolateLinearDegenerateTwoSegment ,40,27,57,60,41,58,53,57,55,41,59,52,55,49,55,52,45,55,50,47,55,51,57,54,45,33,6,22,0,58,61,61,61,103,46,46,59,61,61,46,41,53,225,54,69,168,211,62,67,54,42,212,41,314,635,41,58,60,44,1346,248,244,241,241,59,52,49,49,49,51,49,48,51,51,47,55,53,
MultipleLinearRegressionAbstractTest::canEstimateRegressandVariance ,73,48,4,4,23,5,18,61,15,77,4,9,68,12,6,9,46,6,12,18,9,13,4,5,21,68,53,76,58,0,4,4,4,142,17,17,4,4,4,62,36,89,272,88,111,215,258,101,110,91,47,259,22,346,677,77,4,3,80,1385,289,284,279,279,4,11,20,19,13,9,13,15,9,9,26,8,9,
MultipleLinearRegressionAbstractTest::canEstimateRegressionParameters ,76,51,5,3,25,5,19,62,15,79,3,10,69,15,6,10,47,6,13,21,10,14,4,7,22,71,56,79,61,4,0,0,0,145,18,18,3,3,3,65,38,92,275,91,114,218,260,105,113,93,49,262,24,349,680,79,4,3,82,1387,292,287,282,282,3,12,22,22,16,12,16,18,12,12,29,7,8,
MultipleLinearRegressionAbstractTest::canEstimateRegressionParametersVariance ,76,51,5,3,25,5,19,62,15,79,3,10,69,15,6,10,47,6,13,21,10,14,4,7,22,71,56,79,61,4,0,0,0,145,18,18,3,3,3,65,38,92,275,91,114,218,260,105,113,93,49,262,24,349,680,79,4,3,82,1387,292,287,282,282,3,12,22,22,16,12,16,18,12,12,29,7,8,
MultipleLinearRegressionAbstractTest::canEstimateResiduals ,76,51,5,3,25,5,19,62,15,79,3,10,69,15,6,10,47,6,13,21,10,14,4,7,22,71,56,79,61,4,0,0,0,145,18,18,3,3,3,65,38,92,275,91,114,218,260,105,113,93,49,262,24,349,680,79,4,3,82,1387,292,287,282,282,3,12,22,22,16,12,16,18,12,12,29,7,8,
MultipleLinearRegressionAbstractTest::testNewSample ,92,106,141,144,123,142,136,121,133,67,143,137,116,133,139,136,121,139,136,128,140,137,141,138,134,96,102,94,103,142,145,145,145,0,127,127,143,145,145,102,114,91,161,91,78,109,145,85,87,92,112,145,123,245,549,67,142,144,85,1263,180,175,172,172,143,134,130,129,133,135,133,133,135,135,131,138,137,
MultipleLinearRegressionAbstractTest::testNewSampleInsufficientData ,60,36,15,17,12,16,18,55,17,61,17,13,64,13,13,13,42,13,13,16,14,14,15,13,17,55,41,62,46,17,18,18,18,127,0,1,16,18,18,52,28,75,257,73,96,200,244,88,96,75,37,244,11,333,662,61,16,17,66,1371,274,269,264,264,17,15,20,20,13,12,13,16,12,12,27,14,14,
MultipleLinearRegressionAbstractTest::testNewSampleInvalidData ,60,36,15,17,12,16,18,55,17,61,17,13,64,14,13,13,42,13,13,17,14,14,15,14,17,55,41,62,46,17,18,18,18,127,1,0,16,18,18,53,29,75,257,73,96,200,244,88,96,75,37,244,12,333,662,61,16,17,66,1371,274,269,264,264,17,15,20,21,14,13,14,16,13,13,28,14,14,
MultipleLinearRegressionAbstractTest::testNewSampleNullData ,74,50,5,2,24,5,20,61,15,77,3,10,69,15,6,10,47,6,13,21,10,14,4,7,22,69,54,77,59,4,3,3,3,143,16,16,0,2,2,63,36,90,273,89,112,216,259,103,111,91,47,260,23,347,678,77,4,2,81,1387,290,285,280,280,3,13,23,23,16,12,16,18,12,12,30,8,9,
MultipleLinearRegressionAbstractTest::testXSampleDataNull ,76,51,4,2,24,4,20,62,16,79,2,10,69,15,6,10,47,6,13,21,10,14,4,7,22,71,56,79,61,4,3,3,3,145,18,18,2,0,0,65,38,92,275,91,114,218,261,105,113,93,49,262,24,349,680,79,3,1,83,1389,292,287,282,282,2,13,23,23,16,12,16,18,12,12,30,8,9,
MultipleLinearRegressionAbstractTest::testYSampleDataNull ,76,51,4,2,24,4,20,62,16,79,2,10,69,15,6,10,47,6,13,21,10,14,4,7,22,71,56,79,61,4,3,3,3,145,18,18,2,0,0,65,38,92,275,91,114,218,261,105,113,93,49,262,24,349,680,79,3,1,83,1389,292,287,282,282,2,13,23,23,16,12,16,18,12,12,30,8,9,
NonLinearConjugateGradientOptimizerTest::testBoundsUnsupported ,49,42,61,64,48,62,56,54,58,48,63,57,54,55,60,57,46,60,57,50,60,59,61,58,55,39,43,52,46,62,65,65,65,102,52,53,63,65,65,0,33,53,216,53,72,166,206,63,71,54,19,207,48,315,631,48,62,64,54,1341,255,250,245,245,63,55,52,54,55,56,55,54,56,56,53,59,58,
NonLinearConjugateGradientOptimizerTest::testCircleFitting ,51,34,34,37,26,35,34,52,31,51,37,31,55,29,33,32,35,33,32,25,34,33,35,31,30,48,36,52,41,36,38,38,38,114,28,29,36,38,38,33,18,56,239,59,82,185,226,73,77,57,22,226,26,324,650,51,35,37,58,1359,266,261,256,256,37,29,29,29,29,30,29,29,30,30,30,32,31,
NonLinearConjugateGradientOptimizerTest::testColumnsPermutation ,43,50,88,91,68,89,82,76,84,46,90,83,65,79,86,83,67,86,82,74,86,81,88,85,78,48,53,52,53,89,92,92,92,91,75,75,90,92,92,53,56,18,192,10,40,139,178,27,29,8,45,176,68,301,618,46,89,91,55,1327,242,237,236,236,90,81,76,77,79,80,79,78,80,80,76,86,84,
NonLinearConjugateGradientOptimizerTest::testIllConditioned ,209,229,271,274,252,272,264,251,268,197,273,266,242,262,269,265,248,269,264,257,269,265,271,268,262,215,227,211,225,272,275,275,275,161,257,257,273,275,275,216,239,192,36,196,171,140,142,184,180,194,229,134,252,228,515,197,272,274,210,1219,201,198,197,197,273,264,258,258,263,264,263,261,264,264,254,269,267,
NonLinearConjugateGradientOptimizerTest::testInconsistentEquations ,41,48,87,90,68,88,82,75,85,46,90,83,66,78,85,82,66,85,81,73,86,82,88,84,76,47,53,51,54,88,91,91,91,91,73,73,89,91,91,53,59,10,196,18,41,140,183,24,33,4,48,182,68,302,620,45,88,90,54,1329,245,240,235,235,90,82,77,76,77,80,77,76,80,80,77,85,83,
NonLinearConjugateGradientOptimizerTest::testMoreEstimatedParametersSimple ,67,75,110,113,93,111,105,95,108,49,112,104,80,100,108,104,85,108,103,96,108,102,110,107,99,63,70,59,69,111,114,114,114,78,96,96,112,114,114,72,82,40,171,41,18,110,152,31,34,42,71,153,93,287,595,49,111,113,59,1308,226,221,217,217,112,103,99,98,100,103,100,99,103,103,100,108,106,
NonLinearConjugateGradientOptimizerTest::testMoreEstimatedParametersUnsorted ,154,172,214,217,195,215,208,192,206,142,216,208,169,203,212,208,177,212,206,197,212,204,214,211,196,156,168,154,168,215,218,218,218,109,200,200,216,218,218,166,185,139,140,140,110,18,62,124,121,140,174,70,195,236,541,143,215,217,143,1256,175,170,170,170,216,207,201,200,202,206,202,200,206,206,200,212,210,
NonLinearConjugateGradientOptimizerTest::testNoDependency ,196,214,257,260,239,258,249,233,246,185,259,252,200,250,256,254,222,256,253,244,256,251,257,254,247,197,212,198,211,258,260,260,260,145,244,244,259,261,261,206,226,178,142,183,152,62,18,165,162,181,215,26,239,220,528,186,258,260,183,1241,170,165,175,175,259,250,242,242,250,252,250,248,252,252,241,255,254,
NonLinearConjugateGradientOptimizerTest::testNonInversible ,55,63,101,104,82,102,96,86,99,42,103,96,74,91,99,96,78,99,95,86,99,93,101,98,90,49,61,61,62,101,105,105,105,85,88,88,103,105,105,63,73,27,184,24,31,124,165,18,12,27,61,162,82,292,606,41,102,104,54,1319,231,226,226,226,103,94,90,89,91,93,91,90,93,93,89,99,97,
NonLinearConjugateGradientOptimizerTest::testOneSet ,58,68,109,112,90,110,103,95,105,49,111,103,81,99,107,103,84,107,101,94,107,101,109,106,95,56,66,66,67,110,113,113,113,87,96,96,111,113,113,71,77,29,180,33,34,121,162,12,18,31,67,155,90,291,606,48,110,112,60,1316,230,225,224,224,111,102,96,96,99,101,99,97,101,101,96,107,105,
NonLinearConjugateGradientOptimizerTest::testRedundantEquations ,43,50,89,92,70,90,83,77,85,47,92,85,68,80,87,84,68,87,83,75,88,84,90,86,78,47,55,53,54,91,93,93,93,92,75,75,91,93,93,54,57,8,194,4,42,140,181,27,31,18,48,180,70,301,620,47,90,92,55,1328,244,239,234,234,92,84,79,79,79,82,79,78,82,82,79,87,85,
NonLinearConjugateGradientOptimizerTest::testTrivial ,46,36,45,48,35,46,41,51,43,50,47,42,53,40,44,43,36,44,42,35,44,43,45,42,40,44,39,54,42,47,49,49,49,112,37,37,47,49,49,19,22,45,229,48,71,174,215,61,67,48,18,215,35,320,642,50,46,48,57,1352,262,257,254,254,47,40,38,39,40,41,40,39,41,41,38,43,42,
NonLinearConjugateGradientOptimizerTest::testTwoSets ,198,214,258,261,239,259,251,234,247,186,260,252,210,247,256,252,222,256,251,242,256,249,258,255,243,199,212,200,212,259,262,262,262,145,244,244,260,262,262,207,226,176,134,182,153,70,26,162,155,180,215,18,239,219,525,186,259,261,185,1237,180,175,173,173,260,251,244,243,247,250,247,245,250,250,241,256,254,
OLSMultipleLinearRegressionTest::cannotAddSampleDataWithSizeMismatch ,52,27,20,23,1,21,21,53,21,58,22,19,62,17,19,19,40,19,17,18,20,18,20,19,18,49,37,58,41,22,24,24,24,123,11,12,23,24,24,48,26,68,252,68,93,195,239,82,90,70,35,239,0,332,658,58,21,23,64,1367,271,266,262,262,22,19,20,21,18,18,18,18,18,18,24,20,19,
OLSMultipleLinearRegressionTest::testHat ,311,321,345,348,332,346,343,313,336,296,347,340,317,337,343,340,324,343,339,333,343,340,345,342,337,309,315,305,314,346,349,349,349,245,333,333,347,349,349,315,324,301,228,302,287,236,220,292,291,301,320,219,332,0,393,296,346,348,287,1057,161,161,160,160,347,337,337,337,337,340,337,335,340,340,339,342,341,
OLSMultipleLinearRegressionTest::testLongly ,631,642,676,679,658,677,670,641,667,609,678,671,647,667,674,670,653,674,669,663,674,670,676,673,666,626,637,624,635,677,680,680,680,549,662,662,678,680,680,631,650,618,515,620,595,541,528,606,606,620,642,525,658,393,0,610,677,679,609,746,459,454,455,455,678,668,664,664,667,670,667,666,670,670,666,673,672,
OLSMultipleLinearRegressionTest::testNewSample2 ,40,41,75,78,58,76,71,66,74,2,78,72,60,70,74,73,58,74,73,65,75,74,76,72,71,37,41,37,41,77,79,79,79,67,61,61,77,79,79,48,51,46,197,45,49,143,186,41,48,47,50,186,58,296,610,0,76,78,37,1321,232,227,224,224,78,70,67,67,70,71,70,69,71,71,67,73,72,
