:,BigFractionFieldTest::testOne,BigFractionFieldTest::testSerial,BigFractionFieldTest::testZero,BigFractionFormatTest::testDenominatorFormat,BigFractionFormatTest::testDoubleFormat,BigFractionFormatTest::testFormat,BigFractionFormatTest::testFormatImproper,BigFractionFormatTest::testFormatImproperNegative,BigFractionFormatTest::testFormatNegative,BigFractionFormatTest::testFormatZero,BigFractionFormatTest::testLongFormat,BigFractionFormatTest::testNumeratorFormat,BigFractionFormatTest::testParse,BigFractionFormatTest::testParseBig,BigFractionFormatTest::testParseInteger,BigFractionFormatTest::testParseInvalid,BigFractionFormatTest::testParseInvalidDenominator,BigFractionFormatTest::testParseNegative,BigFractionFormatTest::testParseProper,BigFractionFormatTest::testParseProperInvalidMinus,BigFractionFormatTest::testParseProperNegative,BigFractionFormatTest::testWholeFormat,BigFractionTest::testAbs,BigFractionTest::testAdd,BigFractionTest::testBigDecimalValue,BigFractionTest::testCompareTo,BigFractionTest::testConstructor,BigFractionTest::testConstructorDouble,BigFractionTest::testDigitLimitConstructor,BigFractionTest::testDivide,BigFractionTest::testDoubleConstructor,BigFractionTest::testDoubleValue,BigFractionTest::testDoubleValueForLargeNumeratorAndDenominator,BigFractionTest::testEpsilonLimitConstructor,BigFractionTest::testEqualsAndHashCode,BigFractionTest::testFloatValue,BigFractionTest::testFloatValueForLargeNumeratorAndDenominator,BigFractionTest::testGetReducedFraction,BigFractionTest::testGoldenRatio,BigFractionTest::testIntValue,BigFractionTest::testLongValue,BigFractionTest::testMath340,BigFractionTest::testMultiply,BigFractionTest::testNegate,BigFractionTest::testPercentage,BigFractionTest::testPow,BigFractionTest::testReciprocal,BigFractionTest::testSerial,BigFractionTest::testSubtract,ContinuedFractionTest::testGoldenRatio,FractionFieldTest::testOne,FractionFieldTest::testSerial,FractionFieldTest::testZero,FractionFormatTest::testDenominatorFormat,FractionFormatTest::testDoubleFormat,FractionFormatTest::testFormat,FractionFormatTest::testFormatImproper,FractionFormatTest::testFormatImproperNegative,FractionFormatTest::testFormatNegative,FractionFormatTest::testFormatZero,FractionFormatTest::testLongFormat,FractionFormatTest::testNumeratorFormat,FractionFormatTest::testParse,FractionFormatTest::testParseInteger,FractionFormatTest::testParseInvalid,FractionFormatTest::testParseInvalidDenominator,FractionFormatTest::testParseNegative,FractionFormatTest::testParseOne1,FractionFormatTest::testParseOne2,FractionFormatTest::testParseProper,FractionFormatTest::testParseProperInvalidMinus,FractionFormatTest::testParseProperNegative,FractionFormatTest::testParseZero1,FractionFormatTest::testParseZero2,FractionFormatTest::testWholeFormat,FractionTest::testAbs,FractionTest::testAdd,FractionTest::testCompareTo,FractionTest::testConstructor,FractionTest::testConstructorDouble,FractionTest::testDigitLimitConstructor,FractionTest::testDivide,FractionTest::testDoubleConstructor,FractionTest::testDoubleValue,FractionTest::testEpsilonLimitConstructor,FractionTest::testEqualsAndHashCode,FractionTest::testFloatValue,FractionTest::testGetReducedFraction,FractionTest::testGoldenRatio,FractionTest::testIntValue,FractionTest::testIntegerOverflow,FractionTest::testLongValue,FractionTest::testMath835,FractionTest::testMultiply,FractionTest::testNegate,FractionTest::testPercentage,FractionTest::testReciprocal,FractionTest::testSerial,FractionTest::testSubtract,FractionTest::testToString,
BigFractionFormatTest::testLongFormat ,0,2,0,2,0,3,3,4,3,3,0,2,0,7,0,2,2,8,3,2,3,1,27,77,20,23,96,35,41,57,248,8,6,45,15,8,7,17,7,10,8,3,29,18,3,52,28,36,39,2,0,2,0,2,0,3,3,4,3,3,0,2,6,6,2,2,8,4,4,3,2,3,4,7,1,27,74,23,64,32,41,58,166,8,45,15,8,17,7,10,0,8,3,32,20,3,28,36,62,12,
BigFractionFormatTest::testNumeratorFormat ,2,1,2,0,2,2,3,4,3,2,2,0,2,7,2,2,2,8,3,2,3,1,27,75,18,21,94,33,41,55,246,6,6,45,13,6,7,15,7,9,7,3,27,18,2,52,27,35,37,2,2,1,2,0,2,2,3,4,3,2,2,0,6,6,2,2,8,4,4,3,2,3,4,7,1,27,72,21,62,30,41,56,164,6,45,13,6,15,7,9,2,7,1,30,19,2,27,35,60,12,
BigFractionFormatTest::testParse ,0,2,0,2,0,3,3,4,3,3,0,2,0,7,0,2,2,8,3,2,3,1,27,77,20,23,96,35,41,57,248,8,6,45,15,8,7,17,7,10,8,3,29,18,3,52,28,36,39,2,0,2,0,2,0,3,3,4,3,3,0,2,6,6,2,2,8,4,4,3,2,3,4,7,1,27,74,23,64,32,41,58,166,8,45,15,8,17,7,10,0,8,3,32,20,3,28,36,62,12,
BigFractionFormatTest::testParseBig ,7,7,7,7,7,6,5,4,6,6,7,7,7,0,7,7,7,8,7,7,7,7,24,73,17,22,93,33,37,54,244,7,7,42,13,7,7,15,6,9,7,6,27,15,6,48,24,33,35,6,7,7,7,7,7,6,5,4,6,6,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,24,70,22,61,28,37,54,162,7,42,13,7,15,6,9,7,7,6,28,17,6,24,33,58,9,
BigFractionFormatTest::testParseInteger ,0,2,0,2,0,3,3,4,3,3,0,2,0,7,0,2,2,8,3,2,3,1,27,77,20,23,96,35,41,57,248,8,6,45,15,8,7,17,7,10,8,3,29,18,3,52,28,36,39,2,0,2,0,2,0,3,3,4,3,3,0,2,6,6,2,2,8,4,4,3,2,3,4,7,1,27,74,23,64,32,41,58,166,8,45,15,8,17,7,10,0,8,3,32,20,3,28,36,62,12,
BigFractionFormatTest::testParseInvalid ,2,2,2,2,2,3,3,4,3,3,2,2,2,7,2,0,0,8,2,0,2,2,27,76,20,23,94,34,41,55,248,8,6,45,15,8,7,16,6,10,8,3,28,18,3,52,28,36,38,2,2,2,2,2,2,3,3,4,3,3,2,2,6,6,0,0,8,4,4,2,0,2,4,7,2,27,73,23,62,32,41,56,166,8,45,15,8,16,6,10,2,8,3,31,20,3,28,36,61,12,
BigFractionFormatTest::testParseInvalidDenominator ,2,2,2,2,2,3,3,4,3,3,2,2,2,7,2,0,0,8,2,0,2,2,27,76,20,23,94,34,41,55,248,8,6,45,15,8,7,16,6,10,8,3,28,18,3,52,28,36,38,2,2,2,2,2,2,3,3,4,3,3,2,2,6,6,0,0,8,4,4,2,0,2,4,7,2,27,73,23,62,32,41,56,166,8,45,15,8,16,6,10,2,8,3,31,20,3,28,36,61,12,
BigFractionFormatTest::testParseNegative ,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,6,8,6,8,27,69,20,17,96,35,41,49,248,8,8,45,13,8,8,15,8,8,8,8,23,12,8,52,20,36,33,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,8,8,0,6,6,6,8,6,6,6,8,27,66,17,64,32,41,50,166,8,45,13,8,15,8,8,8,8,8,28,14,8,20,36,54,12,
BigFractionFormatTest::testParseProper ,3,3,3,3,3,3,3,4,3,3,3,3,3,7,3,2,2,6,0,2,0,3,27,74,20,21,95,34,41,54,248,8,6,45,13,8,7,16,6,9,8,3,26,16,3,52,26,36,37,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,2,2,6,3,3,0,2,0,3,5,3,27,71,21,63,32,41,55,166,8,45,13,8,16,6,9,3,8,3,29,18,3,26,36,60,12,
BigFractionFormatTest::testParseProperInvalidMinus ,2,2,2,2,2,3,3,4,3,3,2,2,2,7,2,0,0,8,2,0,2,2,27,76,20,23,94,34,41,55,248,8,6,45,15,8,7,16,6,10,8,3,28,18,3,52,28,36,38,2,2,2,2,2,2,3,3,4,3,3,2,2,6,6,0,0,8,4,4,2,0,2,4,7,2,27,73,23,62,32,41,56,166,8,45,15,8,16,6,10,2,8,3,31,20,3,28,36,61,12,
BigFractionFormatTest::testParseProperNegative ,3,3,3,3,3,3,3,4,3,3,3,3,3,7,3,2,2,6,0,2,0,3,27,74,20,21,95,34,41,54,248,8,6,45,13,8,7,16,6,9,8,3,26,16,3,52,26,36,37,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,2,2,6,3,3,0,2,0,3,5,3,27,71,21,63,32,41,55,166,8,45,13,8,16,6,9,3,8,3,29,18,3,26,36,60,12,
BigFractionFormatTest::testWholeFormat ,1,1,1,1,1,2,3,4,3,2,1,1,1,7,1,2,2,8,3,2,3,0,27,76,19,22,95,34,41,56,247,7,6,45,14,7,7,16,7,9,7,3,28,18,2,52,27,35,38,2,1,1,1,1,1,2,3,4,3,2,1,1,6,6,2,2,8,4,4,3,2,3,4,7,0,27,73,22,63,31,41,57,165,7,45,14,7,16,7,9,1,7,2,31,19,2,27,35,61,12,
BigFractionTest::testAbs ,27,27,27,27,27,26,26,25,26,26,27,27,27,24,27,27,27,27,27,27,27,27,0,67,23,24,82,31,32,48,229,25,25,34,24,25,25,24,25,24,24,24,26,22,26,47,22,31,34,26,27,27,27,27,27,26,26,25,26,26,27,27,25,25,27,27,27,25,25,27,27,27,26,26,27,0,65,24,57,24,32,48,147,25,34,24,25,24,25,24,27,24,26,26,22,26,22,31,55,21,
BigFractionTest::testAdd ,77,75,77,75,77,74,75,74,75,74,77,75,77,73,77,76,76,69,74,76,74,76,67,0,61,59,78,58,68,39,212,71,73,65,66,71,73,65,74,68,70,74,53,65,74,62,58,63,44,76,77,75,77,75,77,74,75,74,75,74,77,75,71,71,76,76,69,73,73,74,76,74,73,74,76,67,24,59,63,62,68,45,131,71,65,66,71,65,74,68,77,70,74,56,63,74,58,63,38,71,
BigFractionTest::testBigDecimalValue ,20,19,20,18,20,17,18,17,18,18,20,18,20,17,20,20,20,20,20,20,20,19,23,61,0,17,81,24,33,45,230,14,17,38,13,14,17,16,18,15,15,17,21,18,17,39,21,25,25,19,20,19,20,18,20,17,18,17,18,18,20,18,20,20,20,20,20,20,20,20,20,20,20,20,19,23,58,17,51,23,33,44,148,14,38,13,14,16,18,15,20,15,17,22,17,17,21,25,48,15,
BigFractionTest::testCompareTo ,23,22,23,21,23,20,21,21,21,21,23,21,23,22,23,23,23,17,21,23,21,22,24,59,17,0,85,28,34,39,233,16,21,40,17,17,21,19,22,13,15,20,15,18,20,42,20,29,25,21,23,22,23,21,23,20,21,21,21,21,23,21,18,17,23,23,17,19,19,21,23,21,19,18,22,24,56,0,54,25,34,41,151,16,40,17,17,19,22,13,23,15,20,21,18,20,20,29,47,18,
BigFractionTest::testConstructor ,96,94,96,94,96,93,94,94,93,93,96,94,96,93,96,94,94,96,95,94,95,95,82,78,81,85,0,75,79,73,197,89,94,78,85,89,94,87,92,91,91,93,81,89,93,76,85,79,76,94,96,94,96,94,96,93,94,94,93,93,96,94,96,96,94,94,96,96,96,95,94,95,95,93,95,82,72,85,38,77,79,72,121,89,78,85,89,87,92,91,96,91,93,79,87,93,85,79,68,88,
BigFractionTest::testConstructorDouble ,35,33,35,33,35,32,33,33,32,32,35,33,35,33,35,34,34,35,34,34,34,34,31,58,24,28,75,0,33,40,223,31,33,38,30,31,33,29,33,29,29,32,27,32,32,38,28,29,29,34,35,33,35,33,35,32,33,33,32,32,35,33,34,33,34,34,35,33,33,34,34,34,34,34,34,31,56,28,47,25,33,42,141,31,38,30,31,29,33,29,35,29,32,28,31,32,28,29,45,30,
BigFractionTest::testDigitLimitConstructor ,41,41,41,41,41,39,38,38,39,40,41,41,41,37,41,41,41,41,41,41,41,41,32,68,33,34,79,33,0,47,225,37,37,21,37,37,37,36,38,36,36,38,33,34,39,39,32,33,37,40,41,41,41,41,41,39,38,38,39,40,41,41,41,41,41,41,41,41,41,41,41,41,40,40,41,32,65,34,52,30,0,47,144,37,21,37,37,36,38,36,41,36,40,33,33,39,32,33,53,34,
BigFractionTest::testDivide ,57,55,57,55,57,54,55,55,55,54,57,55,57,54,57,55,55,49,54,55,54,56,48,39,45,39,73,40,47,0,212,51,55,48,47,51,55,47,54,48,50,54,32,46,54,43,42,45,33,56,57,55,57,55,57,54,55,55,55,54,57,55,51,51,55,55,49,53,53,54,55,54,54,54,56,48,45,39,50,45,47,10,130,51,48,47,51,47,54,48,57,50,54,33,45,54,42,45,36,51,
BigFractionTest::testDoubleConstructor ,248,247,248,246,248,245,245,245,246,246,248,246,248,244,248,248,248,248,248,248,248,247,229,212,230,233,197,223,225,212,0,242,246,220,240,240,246,238,246,240,240,245,228,241,245,216,234,226,222,247,248,247,248,246,248,245,245,245,246,246,248,246,246,246,248,248,248,246,246,248,248,248,246,246,247,229,207,233,215,224,225,209,82,242,220,240,240,238,246,240,248,240,245,225,239,245,234,226,211,239,
BigFractionTest::testDoubleValue ,8,7,8,6,8,5,6,6,6,6,8,6,8,7,8,8,8,8,8,8,8,7,25,71,14,16,89,31,37,51,242,0,8,43,10,2,8,14,7,6,4,6,23,16,5,48,25,32,33,6,8,7,8,6,8,5,6,6,6,6,8,6,8,8,8,8,8,8,8,8,8,8,8,7,7,25,68,16,59,27,37,52,160,0,43,10,2,14,7,6,8,4,5,26,18,5,25,32,56,9,
BigFractionTest::testDoubleValueForLargeNumeratorAndDenominator ,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,8,6,6,6,6,25,73,17,21,94,33,37,55,246,8,0,41,13,8,1,17,7,10,8,4,27,16,6,48,26,32,37,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6,6,6,6,6,6,7,6,25,70,21,62,28,37,56,164,8,41,13,8,17,7,10,6,8,5,30,18,6,26,32,60,11,
BigFractionTest::testEpsilonLimitConstructor ,45,45,45,45,45,44,43,42,44,44,45,45,45,42,45,45,45,45,45,45,45,45,34,65,38,40,78,38,21,48,220,43,41,0,42,43,41,40,43,43,43,42,40,38,44,42,37,36,39,44,45,45,45,45,45,44,43,42,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,34,62,40,54,31,21,49,145,43,0,42,43,40,43,43,45,43,44,39,37,44,37,36,53,38,
BigFractionTest::testEqualsAndHashCode ,15,13,15,13,15,12,14,14,13,12,15,13,15,13,15,15,15,13,13,15,13,14,24,66,13,17,85,30,37,47,240,10,13,42,0,10,13,14,14,10,11,12,24,15,12,47,22,30,29,13,15,13,15,13,15,12,14,14,13,12,15,13,13,13,15,15,13,14,14,13,15,13,14,14,14,24,64,17,53,28,37,47,158,10,42,0,10,14,14,10,15,11,12,26,15,12,22,30,51,11,
BigFractionTest::testFloatValue ,8,7,8,6,8,5,6,6,6,6,8,6,8,7,8,8,8,8,8,8,8,7,25,71,14,17,89,31,37,51,240,2,8,43,10,0,8,14,7,6,4,6,23,16,5,48,25,32,33,7,8,7,8,6,8,5,6,6,6,6,8,6,8,8,8,8,8,8,8,8,8,8,8,8,7,25,68,17,59,27,37,52,158,2,43,10,0,14,7,6,8,4,5,26,18,5,25,32,56,9,
BigFractionTest::testFloatValueForLargeNumeratorAndDenominator ,7,7,7,7,7,6,6,7,6,6,7,7,7,7,7,7,7,8,7,7,7,7,25,73,17,21,94,33,37,55,246,8,1,41,13,8,0,17,7,10,8,5,27,16,6,48,26,32,37,6,7,7,7,7,7,6,6,7,6,6,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,25,70,21,62,28,37,56,164,8,41,13,8,17,7,10,7,8,6,30,18,6,26,32,60,11,
BigFractionTest::testGetReducedFraction ,17,15,17,15,17,14,15,15,14,14,17,15,17,15,17,16,16,15,16,16,16,16,24,65,16,19,87,29,36,47,238,14,17,40,14,14,17,0,14,13,14,16,22,14,14,47,22,30,28,16,17,15,17,15,17,14,15,15,14,14,17,15,15,15,16,16,15,15,15,16,16,16,15,16,16,24,63,19,56,27,36,48,156,14,40,14,14,0,14,13,17,14,15,25,16,14,22,30,51,14,
BigFractionTest::testGoldenRatio ,7,7,7,7,7,6,6,5,6,6,7,7,7,6,7,6,6,8,6,6,6,7,25,74,18,22,92,33,38,54,246,7,7,43,14,7,7,14,0,9,7,6,26,16,6,50,26,34,36,6,7,7,7,7,7,6,6,5,6,6,7,7,7,7,6,6,8,7,7,6,6,6,7,7,7,25,71,22,61,30,38,55,164,7,43,14,7,14,0,9,7,7,7,29,18,6,26,34,59,10,
BigFractionTest::testIntValue ,10,9,10,9,10,7,8,8,8,9,10,9,10,9,10,10,10,8,9,10,9,9,24,68,15,13,91,29,36,48,240,6,10,43,10,6,10,13,9,0,2,8,20,14,7,46,22,30,31,9,10,9,10,9,10,7,8,8,8,9,10,9,8,7,10,10,8,7,7,9,10,9,6,9,9,24,66,13,59,27,36,49,158,6,43,10,6,13,9,0,10,2,8,23,16,7,22,30,54,8,
BigFractionTest::testLongValue ,8,7,8,7,8,5,6,6,6,7,8,7,8,7,8,8,8,8,8,8,8,7,24,70,15,15,91,29,36,50,240,4,8,43,11,4,8,14,7,2,0,6,22,16,5,46,24,30,33,7,8,7,8,7,8,5,6,6,6,7,8,7,8,8,8,8,8,8,8,8,8,8,8,8,7,24,68,15,59,27,36,51,158,4,43,11,4,14,7,2,8,0,6,25,18,5,24,30,56,8,
BigFractionTest::testMath340 ,3,3,3,3,3,2,2,3,2,2,3,3,3,6,3,3,3,8,3,3,3,3,24,74,17,20,93,32,38,54,245,6,4,42,12,6,5,16,6,8,6,0,26,15,2,49,25,33,36,2,3,3,3,3,3,2,2,3,2,2,3,3,6,6,3,3,8,4,4,3,3,3,4,7,3,24,71,20,61,29,38,55,163,6,42,12,6,16,6,8,3,6,2,29,17,2,25,33,59,9,
BigFractionTest::testMultiply ,29,28,29,27,29,26,27,27,27,27,29,27,29,27,29,28,28,23,26,28,26,28,26,53,21,15,81,27,33,32,228,23,27,40,24,23,27,22,26,20,22,26,0,23,26,42,24,30,22,28,29,28,29,27,29,26,27,27,27,27,29,27,23,23,28,28,23,25,25,26,28,26,25,25,28,26,53,15,52,26,33,35,146,23,40,24,23,22,26,20,29,22,26,11,23,26,24,30,41,25,
BigFractionTest::testNegate ,18,18,18,18,18,17,17,16,17,17,18,18,18,15,18,18,18,12,16,18,16,18,22,65,18,18,89,32,34,46,241,16,16,38,15,16,16,14,16,14,16,15,23,0,17,47,12,32,28,17,18,18,18,18,18,17,17,16,17,17,18,18,14,14,18,18,12,16,16,16,18,16,16,16,18,22,62,18,58,26,34,47,159,16,38,15,16,14,16,14,18,16,17,24,2,17,12,32,51,14,
BigFractionTest::testPercentage ,3,2,3,2,3,0,2,3,1,2,3,2,3,6,3,3,3,8,3,3,3,2,26,74,17,20,93,32,39,54,245,5,6,44,12,5,6,14,6,7,5,2,26,17,0,50,26,33,36,2,3,2,3,2,3,0,2,3,1,2,3,2,6,6,3,3,8,4,4,3,3,3,4,7,2,26,71,20,61,29,39,55,163,5,44,12,5,14,6,7,3,5,2,29,19,0,26,33,59,10,
BigFractionTest::testPow ,52,51,52,52,52,50,50,49,50,50,52,52,52,48,52,52,52,52,52,52,52,52,47,62,39,42,76,38,39,43,216,48,48,42,47,48,48,47,50,46,46,49,42,47,50,0,43,38,40,51,52,51,52,52,52,50,50,49,50,50,52,52,52,52,52,52,52,52,52,52,52,52,51,51,52,47,56,42,48,38,39,43,135,48,42,47,48,47,50,46,52,46,51,40,46,50,43,38,46,45,
BigFractionTest::testReciprocal ,28,27,28,27,28,26,26,25,27,25,28,27,28,24,28,28,28,20,26,28,26,27,22,58,21,20,85,28,32,42,234,25,26,37,22,25,26,22,26,22,24,25,24,12,26,43,0,31,28,27,28,27,28,27,28,26,26,25,27,25,28,27,23,23,28,28,20,25,25,26,28,26,25,26,27,22,57,20,55,27,32,44,152,25,37,22,25,22,26,22,28,24,26,24,12,26,0,31,47,22,
BigFractionTest::testSerial ,36,34,36,35,36,33,34,33,34,33,36,35,36,33,36,36,36,36,36,36,36,35,31,63,25,29,79,29,33,45,226,32,32,36,30,32,32,30,34,30,30,33,30,32,33,38,31,0,33,35,36,34,36,35,36,33,34,33,34,33,36,35,36,36,36,36,36,36,36,36,36,36,36,36,35,31,59,29,48,29,33,45,145,32,36,30,32,30,34,30,36,30,34,29,31,33,31,0,48,28,
