:,CMAESOptimizerTest::testAckley,CMAESOptimizerTest::testBoundariesDimensionMismatch,CMAESOptimizerTest::testCigTab,CMAESOptimizerTest::testCigar,CMAESOptimizerTest::testCigarWithBoundaries,CMAESOptimizerTest::testConstrainedRosen,CMAESOptimizerTest::testDiagonalRosen,CMAESOptimizerTest::testDiffPow,CMAESOptimizerTest::testElliRotated,CMAESOptimizerTest::testEllipse,CMAESOptimizerTest::testFitAccuracyDependsOnBoundary,CMAESOptimizerTest::testInitOutofbounds1,CMAESOptimizerTest::testInitOutofbounds2,CMAESOptimizerTest::testInputSigmaDimensionMismatch,CMAESOptimizerTest::testInputSigmaNegative,CMAESOptimizerTest::testInputSigmaOutOfRange,CMAESOptimizerTest::testMath864,CMAESOptimizerTest::testMaximize,CMAESOptimizerTest::testRastrigin,CMAESOptimizerTest::testRosen,CMAESOptimizerTest::testSphere,CMAESOptimizerTest::testSsDiffPow,CMAESOptimizerTest::testTablet,CMAESOptimizerTest::testTwoAxes,GaussNewtonOptimizerTest::testConstraintsUnsupported,GaussNewtonOptimizerTest::testMaxEvaluations,LevenbergMarquardtOptimizerTest::testBevington,LevenbergMarquardtOptimizerTest::testCircleFitting2,LevenbergMarquardtOptimizerTest::testConstraintsUnsupported,LevenbergMarquardtOptimizerTest::testControlParameters,NonLinearConjugateGradientOptimizerTest::testBoundsUnsupported,NonLinearConjugateGradientOptimizerTest::testCircleFitting,NonLinearConjugateGradientOptimizerTest::testColumnsPermutation,NonLinearConjugateGradientOptimizerTest::testIllConditioned,NonLinearConjugateGradientOptimizerTest::testInconsistentEquations,NonLinearConjugateGradientOptimizerTest::testMoreEstimatedParametersSimple,NonLinearConjugateGradientOptimizerTest::testMoreEstimatedParametersUnsorted,NonLinearConjugateGradientOptimizerTest::testNoDependency,NonLinearConjugateGradientOptimizerTest::testNonInversible,NonLinearConjugateGradientOptimizerTest::testOneSet,NonLinearConjugateGradientOptimizerTest::testRedundantEquations,NonLinearConjugateGradientOptimizerTest::testTrivial,NonLinearConjugateGradientOptimizerTest::testTwoSets,PowellOptimizerTest::testBoundsUnsupported,PowellOptimizerTest::testMaximizeQuadratic,PowellOptimizerTest::testQuadratic,PowellOptimizerTest::testRelativeToleranceOnScaledValues,PowellOptimizerTest::testSumSinc,SimplexOptimizerMultiDirectionalTest::testBoundsUnsupported,SimplexOptimizerMultiDirectionalTest::testMath283,SimplexOptimizerMultiDirectionalTest::testMaximize1,SimplexOptimizerMultiDirectionalTest::testMaximize2,SimplexOptimizerMultiDirectionalTest::testMinimize1,SimplexOptimizerMultiDirectionalTest::testMinimize2,SimplexOptimizerMultiDirectionalTest::testPowell,SimplexOptimizerMultiDirectionalTest::testRosenbrock,SimplexOptimizerNelderMeadTest::testBoundsUnsupported,SimplexOptimizerNelderMeadTest::testLeastSquares1,SimplexOptimizerNelderMeadTest::testLeastSquares2,SimplexOptimizerNelderMeadTest::testLeastSquares3,SimplexOptimizerNelderMeadTest::testMaxIterations,SimplexOptimizerNelderMeadTest::testMaximize1,SimplexOptimizerNelderMeadTest::testMaximize2,SimplexOptimizerNelderMeadTest::testMinimize1,SimplexOptimizerNelderMeadTest::testMinimize2,SimplexOptimizerNelderMeadTest::testPowell,SimplexOptimizerNelderMeadTest::testRosenbrock,
CMAESOptimizerTest::testFitAccuracyDependsOnBoundary ,134,138,135,135,134,135,139,134,135,135,115,138,138,139,139,138,74,131,136,136,135,134,135,134,102,100,586,100,102,136,99,113,92,181,92,93,138,171,91,95,92,104,174,105,132,132,101,133,98,118,105,107,105,106,107,97,98,93,91,90,111,105,106,105,106,108,98,
CMAESOptimizerTest::testInitOutofbounds1 ,11,1,8,8,6,8,4,12,8,8,138,0,0,3,2,0,74,14,10,6,8,12,8,11,60,78,671,53,60,13,58,33,87,270,85,108,208,252,99,107,88,46,252,48,16,16,55,16,62,33,56,57,56,56,51,80,62,85,94,112,39,55,55,55,55,50,79,
CMAESOptimizerTest::testInitOutofbounds2 ,11,1,8,8,6,8,4,12,8,8,138,0,0,3,2,0,74,14,10,6,8,12,8,11,60,78,671,53,60,13,58,33,87,270,85,108,208,252,99,107,88,46,252,48,16,16,55,16,62,33,56,57,56,56,51,80,62,85,94,112,39,55,55,55,55,50,79,
CMAESOptimizerTest::testInputSigmaDimensionMismatch ,11,3,7,7,9,11,3,11,7,7,139,3,3,0,1,3,75,15,9,5,7,11,7,10,60,77,671,53,60,12,58,33,86,269,85,107,208,252,98,106,88,46,252,48,16,16,55,15,62,32,56,57,56,56,51,80,62,84,93,111,39,55,55,55,55,50,79,
CMAESOptimizerTest::testInputSigmaNegative ,10,2,6,6,8,10,2,10,6,6,139,2,2,1,0,2,75,14,8,4,6,10,6,9,60,78,672,53,60,12,58,33,87,270,85,108,209,253,99,107,88,46,253,48,16,16,55,16,62,33,56,57,56,56,51,80,62,85,94,112,39,55,55,55,55,50,79,
CMAESOptimizerTest::testInputSigmaOutOfRange ,11,1,8,8,6,8,4,12,8,8,138,0,0,3,2,0,74,14,10,6,8,12,8,11,60,78,671,53,60,13,58,33,87,270,85,108,208,252,99,107,88,46,252,48,16,16,55,16,62,33,56,57,56,56,51,80,62,85,94,112,39,55,55,55,55,50,79,
CMAESOptimizerTest::testMath864 ,71,74,72,72,73,72,75,71,72,72,74,74,74,75,75,74,47,68,72,72,72,71,72,71,53,62,621,40,53,73,46,55,54,216,56,75,166,204,66,71,55,43,202,59,71,71,46,70,57,53,57,58,57,58,55,60,57,47,49,62,59,57,58,57,58,54,59,
CMAESOptimizerTest::testMaximize ,13,14,11,11,13,16,14,11,11,11,131,14,14,15,14,14,68,27,13,11,9,11,11,12,56,76,664,52,56,22,56,31,80,263,79,103,201,245,93,101,81,43,245,46,24,24,52,24,59,31,52,55,52,53,49,74,59,76,85,103,37,50,51,50,51,48,73,
CMAESOptimizerTest::testRastrigin ,6,10,5,5,7,9,9,7,5,5,136,10,10,9,8,10,72,13,0,5,5,7,5,5,58,76,669,51,58,17,56,32,84,267,84,105,206,249,97,104,86,44,250,47,19,19,53,19,60,31,54,56,54,55,49,78,60,81,90,108,38,53,54,53,54,48,77,
CMAESOptimizerTest::testRosen ,7,6,4,4,6,6,5,6,4,4,136,6,6,5,4,6,72,11,5,0,2,6,4,6,58,77,669,51,58,15,56,32,84,267,83,106,206,250,96,104,85,44,250,47,17,17,54,17,60,31,54,55,54,54,49,77,60,82,91,109,38,53,53,53,53,48,76,
CMAESOptimizerTest::testSphere ,5,8,2,2,4,8,7,4,2,2,135,8,8,7,6,8,72,9,5,2,0,4,2,4,58,76,668,52,58,16,56,32,83,267,83,105,205,249,96,103,85,44,249,47,18,18,53,18,60,30,54,56,54,55,49,77,60,81,90,108,38,53,54,53,54,48,76,
CMAESOptimizerTest::testSsDiffPow ,7,12,6,6,8,8,11,0,6,6,134,12,12,11,10,12,71,11,7,6,4,0,6,6,58,76,667,52,58,17,56,32,82,267,82,105,204,247,96,103,84,44,247,47,21,21,53,21,60,30,53,56,53,54,50,76,60,80,89,107,38,52,53,52,53,48,75,
CMAESOptimizerTest::testTablet ,5,8,0,0,2,10,6,6,0,0,135,8,8,7,6,8,72,11,5,4,2,6,0,4,58,76,668,52,58,14,56,32,83,267,83,105,205,249,96,103,85,44,249,47,16,16,52,16,60,30,54,56,54,55,49,77,60,81,90,108,38,53,54,53,54,48,76,
CMAESOptimizerTest::testTwoAxes ,1,11,4,4,6,6,10,6,4,4,134,11,11,10,9,11,71,12,5,6,4,6,4,0,56,74,666,51,56,18,55,30,81,265,81,103,203,247,94,101,83,43,247,45,20,20,51,20,58,28,53,55,53,54,48,76,58,79,88,106,37,52,53,52,53,48,75,
GaussNewtonOptimizerTest::testConstraintsUnsupported ,56,60,58,58,58,56,60,58,58,58,102,60,60,60,60,60,53,56,58,58,58,58,58,56,0,40,625,47,0,60,38,38,51,216,49,70,162,206,61,67,51,38,206,20,53,53,49,54,21,45,38,37,38,37,40,38,21,53,58,68,35,36,35,36,35,39,37,
GaussNewtonOptimizerTest::testMaxEvaluations ,74,77,76,76,76,75,78,76,76,76,100,78,78,77,78,78,62,76,76,77,76,76,76,74,40,24,614,55,40,77,52,52,52,209,51,64,144,187,53,59,53,57,189,38,73,73,60,72,32,63,48,47,48,48,48,45,32,58,62,72,47,46,46,46,46,48,45,
LevenbergMarquardtOptimizerTest::testBevington ,666,670,668,668,667,666,672,667,668,668,586,671,671,671,672,671,621,664,669,669,668,667,668,666,625,614,24,631,625,672,623,645,608,489,611,587,539,526,602,599,609,637,516,631,668,668,637,668,619,650,635,634,635,635,636,613,619,613,605,596,642,635,635,635,635,637,614,
LevenbergMarquardtOptimizerTest::testCircleFitting2 ,51,53,52,52,52,51,53,52,52,52,100,53,53,53,53,53,40,52,51,51,52,52,52,51,47,55,631,23,47,52,33,33,55,228,57,79,176,216,68,73,56,29,214,43,51,51,37,51,50,33,44,44,44,44,42,57,50,52,61,79,42,44,44,44,44,41,56,
LevenbergMarquardtOptimizerTest::testConstraintsUnsupported ,56,60,58,58,58,56,60,58,58,58,102,60,60,60,60,60,53,56,58,58,58,58,58,56,0,40,625,47,0,60,38,38,51,216,49,70,162,206,61,67,51,38,206,20,53,53,49,54,21,45,38,37,38,37,40,38,21,53,58,68,35,36,35,36,35,39,37,
LevenbergMarquardtOptimizerTest::testControlParameters ,19,13,14,14,15,20,11,17,14,14,136,13,13,12,12,13,73,22,17,15,16,17,14,18,60,77,672,52,60,0,57,32,86,269,85,108,209,252,99,107,87,45,253,48,14,14,54,14,61,32,55,58,55,56,51,79,61,83,92,110,38,54,55,54,55,49,78,
NonLinearConjugateGradientOptimizerTest::testBoundsUnsupported ,55,58,56,56,56,56,58,56,56,56,99,58,58,58,58,58,46,56,56,56,56,56,56,55,38,52,623,33,38,57,0,33,53,216,53,72,166,206,63,71,54,18,207,35,54,54,39,54,36,45,46,47,46,47,47,55,36,53,61,72,38,46,47,46,47,47,55,
NonLinearConjugateGradientOptimizerTest::testCircleFitting ,30,33,32,32,32,31,33,32,32,32,113,33,33,33,33,33,55,31,32,32,32,32,32,30,38,52,645,33,38,32,33,18,56,239,59,82,185,226,73,77,57,22,226,23,30,30,37,30,36,16,29,29,29,30,31,53,36,58,67,84,20,27,28,27,28,31,53,
NonLinearConjugateGradientOptimizerTest::testColumnsPermutation ,81,86,83,83,83,82,86,82,83,83,92,87,87,86,87,87,54,80,84,84,83,82,83,81,51,52,608,55,51,86,53,56,18,192,10,40,139,178,27,29,8,46,176,55,79,79,59,79,52,67,60,59,60,59,58,57,52,43,37,45,60,60,59,60,59,58,56,
NonLinearConjugateGradientOptimizerTest::testIllConditioned ,264,269,267,267,267,265,269,267,267,267,181,270,270,269,270,270,216,263,267,267,267,267,267,265,216,209,489,228,216,269,216,239,192,36,196,171,140,142,184,180,194,227,134,225,262,262,230,262,213,245,226,225,226,226,229,204,213,201,193,184,236,227,227,227,227,229,204,
NonLinearConjugateGradientOptimizerTest::testInconsistentEquations ,80,85,83,83,83,81,86,82,83,83,92,85,85,85,85,85,56,79,84,83,83,82,83,81,49,51,611,57,49,85,53,59,10,196,18,41,140,183,24,33,4,47,182,53,78,78,58,79,50,68,59,58,59,58,57,54,50,42,40,49,60,59,58,59,58,58,55,
NonLinearConjugateGradientOptimizerTest::testMoreEstimatedParametersSimple ,103,107,105,105,105,104,108,105,105,105,93,108,108,107,108,108,75,103,105,106,105,105,105,103,70,64,587,79,70,108,72,82,40,171,41,18,110,152,31,34,42,72,153,71,101,101,81,101,67,91,77,78,77,78,78,68,67,63,59,62,79,77,78,77,78,78,68,
NonLinearConjugateGradientOptimizerTest::testMoreEstimatedParametersUnsorted ,202,207,205,205,204,204,209,204,205,205,138,208,208,208,209,208,166,201,206,206,205,204,205,203,162,144,539,176,162,209,166,185,139,140,140,110,18,62,124,121,140,175,70,170,205,205,177,205,159,190,174,174,174,174,175,157,159,151,145,137,179,173,173,173,173,174,158,
NonLinearConjugateGradientOptimizerTest::testNoDependency ,247,251,249,249,248,247,253,247,249,249,171,252,252,252,253,252,204,245,249,250,249,247,249,247,206,187,526,216,206,252,206,226,178,142,183,152,62,18,165,162,181,215,26,212,249,249,219,248,199,231,214,215,214,214,216,197,199,194,187,178,222,213,213,213,213,217,198,
NonLinearConjugateGradientOptimizerTest::testNonInversible ,93,98,96,96,96,95,99,96,96,96,91,99,99,98,99,99,66,93,97,96,96,96,96,94,61,53,602,68,61,99,63,73,27,184,24,31,124,165,18,12,27,59,162,65,92,92,71,92,61,82,69,70,69,70,69,60,61,55,50,52,72,69,70,69,70,70,61,
NonLinearConjugateGradientOptimizerTest::testOneSet ,101,106,103,103,103,102,107,103,103,103,95,107,107,106,107,107,71,101,104,104,103,103,103,101,67,59,599,73,67,107,71,77,29,180,33,34,121,162,12,18,31,67,155,73,100,100,78,100,69,85,77,77,77,77,78,68,69,58,52,54,80,77,77,77,77,78,68,
NonLinearConjugateGradientOptimizerTest::testRedundantEquations ,82,88,85,85,85,83,87,84,85,85,92,88,88,88,88,88,55,81,86,85,85,84,85,83,51,53,609,56,51,87,54,57,8,194,4,42,140,181,27,31,18,47,180,55,80,80,60,81,52,68,61,60,61,60,60,57,52,44,39,48,62,61,60,61,60,60,57,
NonLinearConjugateGradientOptimizerTest::testTrivial ,43,46,44,44,44,44,46,44,44,44,104,46,46,46,46,46,43,43,44,44,44,44,44,43,38,57,637,29,38,45,18,22,46,227,47,72,175,215,59,67,47,20,215,36,40,40,36,40,45,31,41,42,41,42,36,55,45,51,59,76,35,41,42,41,42,36,54,
NonLinearConjugateGradientOptimizerTest::testTwoSets ,246,251,249,249,248,247,253,247,249,249,174,252,252,252,253,252,202,245,250,250,249,247,249,247,206,189,516,214,206,253,207,226,176,134,182,153,70,26,162,155,180,215,18,213,249,249,219,249,200,231,215,216,215,215,216,196,200,194,187,176,222,214,214,214,214,217,196,
PowellOptimizerTest::testBoundsUnsupported ,45,48,47,47,47,45,48,47,47,47,105,48,48,48,48,48,59,46,47,47,47,47,47,45,20,38,631,43,20,48,35,23,55,225,53,71,170,212,65,73,55,36,213,0,42,42,41,41,16,32,20,22,20,21,28,35,16,54,61,76,20,18,19,18,19,27,34,
PowellOptimizerTest::testMaximizeQuadratic ,20,16,16,16,17,21,15,21,16,16,132,16,16,16,16,16,71,24,19,17,18,21,16,20,53,73,668,51,53,14,54,30,79,262,78,101,205,249,92,100,80,40,249,42,0,0,45,2,57,30,49,50,49,49,46,73,57,77,86,104,36,49,49,49,49,45,72,
PowellOptimizerTest::testQuadratic ,20,16,16,16,17,21,15,21,16,16,132,16,16,16,16,16,71,24,19,17,18,21,16,20,53,73,668,51,53,14,54,30,79,262,78,101,205,249,92,100,80,40,249,42,0,0,45,2,57,30,49,50,49,49,46,73,57,77,86,104,36,49,49,49,49,45,72,
PowellOptimizerTest::testRelativeToleranceOnScaledValues ,51,55,52,52,52,52,54,53,52,52,101,55,55,55,55,55,46,52,53,54,53,53,52,51,49,60,637,37,49,54,39,37,59,230,58,81,177,219,71,78,60,36,219,41,45,45,32,46,49,34,48,49,48,49,41,61,49,54,63,76,35,48,49,48,49,43,60,
PowellOptimizerTest::testSumSinc ,21,15,16,16,17,21,15,21,16,16,133,16,16,15,16,16,70,24,19,17,18,21,16,20,54,72,668,51,54,14,54,30,79,262,79,101,205,248,92,100,81,40,249,41,2,2,46,0,56,30,48,50,48,49,46,74,56,77,86,104,36,48,49,48,49,45,73,
SimplexOptimizerMultiDirectionalTest::testBoundsUnsupported ,58,62,60,60,60,58,62,60,60,60,98,62,62,62,62,62,57,59,60,60,60,60,60,58,21,32,619,50,21,61,36,36,52,213,50,67,159,199,61,69,52,45,200,16,57,57,49,56,0,45,24,26,24,25,36,29,0,51,57,68,33,22,23,22,23,35,28,
SimplexOptimizerMultiDirectionalTest::testMath283 ,29,33,30,30,30,29,32,30,30,30,118,33,33,32,33,33,53,31,31,31,30,30,30,28,45,63,650,33,45,32,45,16,67,245,68,91,190,231,82,85,68,31,231,32,30,30,34,30,45,23,34,35,34,35,32,62,45,58,67,85,26,35,36,35,36,32,61,
SimplexOptimizerMultiDirectionalTest::testMaximize1 ,53,56,54,54,54,53,56,53,54,54,105,56,56,56,56,56,57,52,54,54,54,53,54,53,38,48,635,44,38,55,46,29,60,226,59,77,174,214,69,77,61,41,215,20,49,49,48,48,24,34,27,5,0,1,25,38,24,48,55,72,30,5,6,5,6,22,37,
SimplexOptimizerMultiDirectionalTest::testMaximize2 ,55,57,56,56,56,54,57,56,56,56,107,57,57,57,57,57,58,55,56,55,56,56,56,55,37,47,634,44,37,58,47,29,59,225,58,78,174,215,70,77,60,42,216,22,50,50,49,50,26,35,5,29,5,4,25,40,26,49,56,72,32,8,7,8,7,25,40,
SimplexOptimizerMultiDirectionalTest::testMinimize1 ,53,56,54,54,54,53,56,53,54,54,105,56,56,56,56,56,57,52,54,54,54,53,54,53,38,48,635,44,38,55,46,29,60,226,59,77,174,214,69,77,61,41,215,20,49,49,48,48,24,34,0,5,27,1,25,38,24,48,55,72,30,5,6,5,6,22,37,
SimplexOptimizerMultiDirectionalTest::testMinimize2 ,54,56,55,55,55,53,56,54,55,55,106,56,56,56,56,56,58,53,55,54,55,54,55,54,37,48,635,44,37,56,47,30,59,226,58,78,174,214,70,77,60,42,215,21,49,49,49,49,25,35,1,4,1,29,26,39,25,48,55,71,31,6,5,6,5,23,38,
SimplexOptimizerMultiDirectionalTest::testPowell ,49,51,49,49,49,48,51,50,49,49,107,51,51,51,51,51,55,49,49,49,49,50,49,48,40,48,636,42,40,51,47,31,58,229,57,78,175,216,69,78,60,36,216,28,46,46,41,46,36,32,25,25,25,26,20,39,36,55,62,78,16,27,28,27,28,6,41,
SimplexOptimizerMultiDirectionalTest::testRosenbrock ,76,80,77,77,77,75,80,76,77,77,97,80,80,80,80,80,60,74,78,77,77,76,77,76,38,45,613,57,38,79,55,53,57,204,54,68,157,197,60,68,57,55,196,35,73,73,61,74,29,62,38,40,38,39,39,27,29,44,48,55,48,35,36,35,36,40,4,
SimplexOptimizerNelderMeadTest::testBoundsUnsupported ,58,62,60,60,60,58,62,60,60,60,98,62,62,62,62,62,57,59,60,60,60,60,60,58,21,32,619,50,21,61,36,36,52,213,50,67,159,199,61,69,52,45,200,16,57,57,49,56,0,45,24,26,24,25,36,29,0,51,57,68,33,22,23,22,23,35,28,
SimplexOptimizerNelderMeadTest::testLeastSquares1 ,79,84,81,81,81,80,85,80,81,81,93,85,85,84,85,85,47,76,81,82,81,80,81,79,53,58,613,52,53,83,53,58,43,201,42,63,151,194,55,58,44,51,194,54,77,77,54,77,51,58,48,49,48,48,55,44,51,20,9,27,61,46,46,46,46,53,43,
SimplexOptimizerNelderMeadTest::testLeastSquares2 ,88,93,90,90,90,89,94,89,90,90,91,94,94,93,94,94,49,85,90,91,90,89,90,88,58,62,605,61,58,92,61,67,37,193,40,59,145,187,50,52,39,59,187,61,86,86,63,86,57,67,55,56,55,55,62,48,57,9,20,18,68,53,53,53,53,60,47,
SimplexOptimizerNelderMeadTest::testLeastSquares3 ,106,111,108,108,108,107,112,107,108,108,90,112,112,111,112,112,62,103,108,109,108,107,108,106,68,72,596,79,68,110,72,84,45,184,49,62,137,178,52,54,48,76,176,76,104,104,76,104,68,85,72,72,72,71,78,55,68,27,18,20,84,70,69,70,69,76,54,
SimplexOptimizerNelderMeadTest::testMaxIterations ,37,39,38,38,38,37,38,38,38,38,111,39,39,39,39,39,59,37,38,38,38,38,38,37,35,47,642,42,35,38,38,20,60,236,60,79,179,222,72,80,62,35,222,20,36,36,35,36,33,26,30,32,30,31,16,48,33,61,68,84,20,29,30,29,30,15,47,
SimplexOptimizerNelderMeadTest::testMaximize1 ,52,55,53,53,53,52,55,52,53,53,105,55,55,55,55,55,57,50,53,53,53,52,53,52,36,46,635,44,36,54,46,27,60,227,59,77,173,213,69,77,61,41,214,18,49,49,48,48,22,35,5,8,5,6,27,35,22,46,53,70,29,27,1,0,1,25,34,
SimplexOptimizerNelderMeadTest::testMaximize2 ,53,55,54,54,54,52,55,53,54,54,106,55,55,55,55,55,58,51,54,53,54,53,54,53,35,46,635,44,35,55,47,28,59,227,58,78,173,213,70,77,60,42,214,19,49,49,49,49,23,36,6,7,6,5,28,36,23,46,53,69,30,1,29,1,0,26,35,
SimplexOptimizerNelderMeadTest::testMinimize1 ,52,55,53,53,53,52,55,52,53,53,105,55,55,55,55,55,57,50,53,53,53,52,53,52,36,46,635,44,36,54,46,27,60,227,59,77,173,213,69,77,61,41,214,18,49,49,48,48,22,35,5,8,5,6,27,35,22,46,53,70,29,0,1,27,1,25,34,
SimplexOptimizerNelderMeadTest::testMinimize2 ,53,55,54,54,54,52,55,53,54,54,106,55,55,55,55,55,58,51,54,53,54,53,54,53,35,46,635,44,35,55,47,28,59,227,58,78,173,213,70,77,60,42,214,19,49,49,49,49,23,36,6,7,6,5,28,36,23,46,53,69,30,1,0,1,29,26,35,
SimplexOptimizerNelderMeadTest::testPowell ,48,50,48,48,48,48,50,48,48,48,108,50,50,50,50,50,54,48,48,48,48,48,48,48,39,48,637,41,39,49,47,31,58,229,58,78,174,217,70,78,60,36,217,27,45,45,43,45,35,32,22,25,22,23,6,40,35,53,60,76,15,25,26,25,26,20,38,
