:,Fraction_ESTest::test00,Fraction_ESTest::test01,Fraction_ESTest::test02,Fraction_ESTest::test03,Fraction_ESTest::test04,Fraction_ESTest::test05,Fraction_ESTest::test06,Fraction_ESTest::test07,Fraction_ESTest::test08,Fraction_ESTest::test09,Fraction_ESTest::test10,Fraction_ESTest::test11,Fraction_ESTest::test12,Fraction_ESTest::test13,Fraction_ESTest::test14,Fraction_ESTest::test15,Fraction_ESTest::test16,Fraction_ESTest::test17,Fraction_ESTest::test18,Fraction_ESTest::test19,Fraction_ESTest::test20,Fraction_ESTest::test21,Fraction_ESTest::test22,Fraction_ESTest::test23,Fraction_ESTest::test24,Fraction_ESTest::test25,Fraction_ESTest::test26,Fraction_ESTest::test27,Fraction_ESTest::test28,Fraction_ESTest::test29,Fraction_ESTest::test30,Fraction_ESTest::test31,Fraction_ESTest::test32,Fraction_ESTest::test33,Fraction_ESTest::test34,Fraction_ESTest::test35,Fraction_ESTest::test36,Fraction_ESTest::test37,Fraction_ESTest::test38,Fraction_ESTest::test39,Fraction_ESTest::test40,Fraction_ESTest::test41,Fraction_ESTest::test42,Fraction_ESTest::test43,Fraction_ESTest::test44,Fraction_ESTest::test45,Fraction_ESTest::test46,Fraction_ESTest::test47,Fraction_ESTest::test48,Fraction_ESTest::test49,
Fraction_ESTest::test10 ,5,4,5,3,3,6,4,5,4,4,0,6,5,6,4,6,6,6,5,6,3,6,6,6,6,5,5,4,5,6,5,3,5,6,6,6,5,6,6,6,6,6,6,6,4,5,6,6,6,6,
Fraction_ESTest::test11 ,1,3,4,4,5,0,2,7,2,3,6,0,1,1,6,4,2,4,1,2,4,4,2,2,0,10,1,9,1,1,1,4,1,1,0,1,1,1,7,1,1,2,1,2,5,3,0,0,1,1,
Fraction_ESTest::test12 ,0,3,5,4,5,1,1,6,2,2,5,1,0,1,5,4,2,4,1,2,3,4,2,2,1,9,0,8,0,1,1,4,2,2,1,1,1,1,8,2,2,3,2,3,4,2,1,1,1,1,
Fraction_ESTest::test13 ,1,4,5,5,6,1,2,7,3,3,6,1,1,0,6,4,2,4,1,2,4,4,2,2,1,10,1,9,1,0,1,5,2,2,1,0,2,1,8,2,2,3,2,3,5,3,1,1,0,0,
Fraction_ESTest::test14 ,5,4,5,4,5,6,5,1,5,4,4,6,5,6,0,6,6,6,6,6,4,6,6,6,6,6,5,5,5,6,6,4,6,6,6,6,5,6,6,6,6,6,6,6,4,5,6,6,6,6,
Fraction_ESTest::test15 ,4,4,5,5,6,4,3,7,4,4,6,4,4,4,6,0,2,2,3,2,4,2,2,2,4,10,4,9,4,4,3,5,3,3,4,4,4,4,7,3,4,4,4,4,5,3,4,4,4,4,
Fraction_ESTest::test16 ,2,4,5,5,6,2,2,7,3,3,6,2,2,2,6,2,0,2,1,0,4,2,0,0,2,10,2,9,2,2,1,5,2,1,2,2,2,2,7,1,2,2,2,3,5,3,2,2,2,2,
Fraction_ESTest::test17 ,4,4,5,5,6,4,3,7,4,4,6,4,4,4,6,2,2,0,3,2,4,2,2,2,4,10,4,9,4,4,3,5,3,3,4,4,4,4,7,3,4,4,4,4,5,4,4,4,4,4,
Fraction_ESTest::test18 ,1,4,5,5,5,1,1,7,3,3,5,1,1,1,6,3,1,3,0,1,3,3,1,1,1,9,1,8,1,1,0,5,1,2,1,1,2,1,7,2,2,3,2,3,5,3,1,1,1,1,
Fraction_ESTest::test19 ,2,4,5,5,6,2,2,7,3,3,6,2,2,2,6,2,0,2,1,0,4,2,0,0,2,10,2,9,2,2,1,5,2,1,2,2,2,2,7,1,2,2,2,3,5,3,2,2,2,2,
Fraction_ESTest::test20 ,3,2,4,4,4,4,2,5,3,2,3,4,3,4,4,4,4,4,3,4,0,4,4,4,4,7,3,6,3,4,3,4,3,4,4,4,3,4,6,4,4,4,4,4,3,4,4,4,4,4,
Fraction_ESTest::test21 ,4,4,5,5,6,4,3,7,4,4,6,4,4,4,6,2,2,2,3,2,4,0,2,2,4,10,4,9,4,4,3,5,3,3,4,4,4,4,7,3,4,4,4,3,5,4,4,4,4,4,
Fraction_ESTest::test22 ,2,4,5,5,6,2,2,7,3,3,6,2,2,2,6,2,0,2,1,0,4,2,0,0,2,10,2,9,2,2,1,5,2,1,2,2,2,2,7,1,2,2,2,3,5,3,2,2,2,2,
Fraction_ESTest::test23 ,2,4,5,5,6,2,2,7,3,3,6,2,2,2,6,2,0,2,1,0,4,2,0,0,2,10,2,9,2,2,1,5,2,1,2,2,2,2,7,1,2,2,2,3,5,3,2,2,2,2,
Fraction_ESTest::test24 ,1,3,4,4,5,0,2,7,2,3,6,0,1,1,6,4,2,4,1,2,4,4,2,2,0,10,1,9,1,1,1,4,1,1,0,1,1,1,7,1,1,2,1,2,5,3,0,0,1,1,
Fraction_ESTest::test25 ,9,8,8,7,7,10,8,6,8,8,5,10,9,10,6,10,10,10,9,10,7,10,10,10,10,0,9,2,9,10,9,7,9,10,10,10,9,10,9,10,10,10,10,10,7,7,10,10,10,10,
Fraction_ESTest::test26 ,0,3,5,4,5,1,1,6,2,2,5,1,0,1,5,4,2,4,1,2,3,4,2,2,1,9,0,8,0,1,1,4,2,2,1,1,1,1,8,2,2,3,2,3,4,2,1,1,1,1,
Fraction_ESTest::test27 ,8,7,7,5,5,9,7,4,7,7,4,9,8,9,5,9,9,9,8,9,6,9,9,9,9,2,8,0,8,9,8,5,8,9,9,9,8,9,8,9,9,9,9,9,7,7,9,9,9,9,
Fraction_ESTest::test28 ,0,3,5,4,5,1,1,6,2,2,5,1,0,1,5,4,2,4,1,2,3,4,2,2,1,9,0,8,0,1,1,4,2,2,1,1,1,1,8,2,2,3,2,3,4,2,1,1,1,1,
Fraction_ESTest::test29 ,1,4,5,5,6,1,2,7,3,3,6,1,1,0,6,4,2,4,1,2,4,4,2,2,1,10,1,9,1,0,1,5,2,2,1,0,2,1,8,2,2,3,2,3,5,3,1,1,0,0,
Fraction_ESTest::test30 ,1,4,5,5,5,1,1,7,3,3,5,1,1,1,6,3,1,3,0,1,3,3,1,1,1,9,1,8,1,1,0,5,1,2,1,1,2,1,7,2,2,3,2,3,5,3,1,1,1,1,
Fraction_ESTest::test31 ,4,3,4,0,2,4,4,5,2,4,3,4,4,5,4,5,5,5,5,5,4,5,5,5,4,7,4,5,4,5,5,0,5,5,4,5,3,5,8,5,4,4,4,5,4,3,4,4,5,5,
Fraction_ESTest::test32 ,2,4,5,5,4,1,1,7,3,3,5,1,2,2,6,3,2,3,1,2,3,3,2,2,1,9,2,8,2,2,1,5,0,1,1,2,2,2,6,1,2,2,1,2,5,3,1,1,2,2,
Fraction_ESTest::test33 ,2,4,5,5,5,1,2,7,3,3,6,1,2,2,6,3,1,3,2,1,4,3,1,1,1,10,2,9,2,2,2,5,1,0,1,2,2,2,7,0,2,1,1,2,5,3,1,1,2,2,
Fraction_ESTest::test34 ,1,3,4,4,5,0,2,7,2,3,6,0,1,1,6,4,2,4,1,2,4,4,2,2,0,10,1,9,1,1,1,4,1,1,0,1,1,1,7,1,1,2,1,2,5,3,0,0,1,1,
Fraction_ESTest::test35 ,1,4,5,5,6,1,2,7,3,3,6,1,1,0,6,4,2,4,1,2,4,4,2,2,1,10,1,9,1,0,1,5,2,2,1,0,2,1,8,2,2,3,2,3,5,3,1,1,0,0,
Fraction_ESTest::test36 ,1,2,4,3,4,1,1,6,1,2,5,1,1,2,5,4,2,4,2,2,3,4,2,2,1,9,1,8,1,2,2,3,2,2,1,2,0,2,8,2,1,2,1,3,4,2,1,1,2,2,
Fraction_ESTest::test37 ,1,4,5,5,6,1,2,7,3,3,6,1,1,1,6,4,2,4,1,2,4,4,2,2,1,10,1,9,1,1,1,5,2,2,1,1,2,0,8,2,1,3,2,3,5,3,1,1,1,1,
Fraction_ESTest::test38 ,8,7,6,8,7,7,7,6,8,7,6,7,8,8,6,7,7,7,7,7,6,7,7,7,7,9,8,8,8,8,7,8,6,7,7,8,8,8,0,7,8,7,7,7,7,8,7,7,8,8,
Fraction_ESTest::test39 ,2,4,5,5,5,1,2,7,3,3,6,1,2,2,6,3,1,3,2,1,4,3,1,1,1,10,2,9,2,2,2,5,1,0,1,2,2,2,7,0,2,1,1,2,5,3,1,1,2,2,
Fraction_ESTest::test40 ,2,3,4,4,5,1,2,7,2,3,6,1,2,2,6,4,2,4,2,2,4,4,2,2,1,10,2,9,2,2,2,4,2,2,1,2,1,1,8,2,0,2,1,3,5,3,1,1,2,2,
Fraction_ESTest::test41 ,3,3,4,4,5,2,3,7,2,3,6,2,3,3,6,4,2,4,3,2,4,4,2,2,2,10,3,9,3,3,3,4,2,1,2,3,2,3,7,1,2,0,1,2,5,3,2,2,3,3,
Fraction_ESTest::test42 ,2,3,4,4,5,1,2,7,2,3,6,1,2,2,6,4,2,4,2,2,4,4,2,2,1,10,2,9,2,2,2,4,1,1,1,2,1,2,7,1,1,1,0,2,5,3,1,1,2,2,
Fraction_ESTest::test43 ,3,4,5,5,6,2,3,7,3,3,6,2,3,3,6,4,3,4,3,3,4,3,3,3,2,10,3,9,3,3,3,5,2,2,2,3,3,3,7,2,3,2,2,0,4,3,2,2,3,3,
Fraction_ESTest::test44 ,4,3,4,4,4,5,4,5,4,3,4,5,4,5,4,5,5,5,5,5,3,5,5,5,5,7,4,7,4,5,5,4,5,5,5,5,4,5,7,5,5,5,5,4,0,5,5,5,5,5,
Fraction_ESTest::test45 ,2,4,5,3,4,3,2,5,2,3,5,3,2,3,5,3,3,4,3,3,4,4,3,3,3,7,2,7,2,3,3,3,3,3,3,3,2,3,8,3,3,3,3,3,5,0,3,3,3,3,
Fraction_ESTest::test46 ,1,3,4,4,5,0,2,7,2,3,6,0,1,1,6,4,2,4,1,2,4,4,2,2,0,10,1,9,1,1,1,4,1,1,0,1,1,1,7,1,1,2,1,2,5,3,0,0,1,1,
Fraction_ESTest::test47 ,1,3,4,4,5,0,2,7,2,3,6,0,1,1,6,4,2,4,1,2,4,4,2,2,0,10,1,9,1,1,1,4,1,1,0,1,1,1,7,1,1,2,1,2,5,3,0,0,1,1,
Fraction_ESTest::test48 ,1,4,5,5,6,1,2,7,3,3,6,1,1,0,6,4,2,4,1,2,4,4,2,2,1,10,1,9,1,0,1,5,2,2,1,0,2,1,8,2,2,3,2,3,5,3,1,1,0,0,
Fraction_ESTest::test49 ,1,4,5,5,6,1,2,7,3,3,6,1,1,0,6,4,2,4,1,2,4,4,2,2,1,10,1,9,1,0,1,5,2,2,1,0,2,1,8,2,2,3,2,3,5,3,1,1,0,0,
