:,BaseOptimizer_ESTest::test0,BaseOptimizer_ESTest::test1,BaseOptimizer_ESTest::test2,BaseOptimizer_ESTest::test3,BaseOptimizer_ESTest::test4,BaseOptimizer_ESTest::test5,BaseOptimizer_ESTest::test6,BaseOptimizer_ESTest::test7,CMAESOptimizer_ESTest::test00,CMAESOptimizer_ESTest::test01,CMAESOptimizer_ESTest::test02,CMAESOptimizer_ESTest::test03,CMAESOptimizer_ESTest::test04,CMAESOptimizer_ESTest::test05,CMAESOptimizer_ESTest::test06,CMAESOptimizer_ESTest::test07,CMAESOptimizer_ESTest::test08,CMAESOptimizer_ESTest::test09,CMAESOptimizer_ESTest::test10,GaussNewtonOptimizer_ESTest::test0,GaussNewtonOptimizer_ESTest::test1,LevenbergMarquardtOptimizer_ESTest::test0,LevenbergMarquardtOptimizer_ESTest::test1,LevenbergMarquardtOptimizer_ESTest::test2,NonLinearConjugateGradientOptimizer_ESTest::test0,NonLinearConjugateGradientOptimizer_ESTest::test1,NonLinearConjugateGradientOptimizer_ESTest::test2,NonLinearConjugateGradientOptimizer_ESTest::test3,NonLinearConjugateGradientOptimizer_ESTest::test4,PowellOptimizer_ESTest::test0,PowellOptimizer_ESTest::test1,PowellOptimizer_ESTest::test2,PowellOptimizer_ESTest::test3,SimplexOptimizer_ESTest::test0,SimplexOptimizer_ESTest::test1,SimplexOptimizer_ESTest::test2,
CMAESOptimizer_ESTest::test03 ,4,4,4,4,4,3,4,5,16,11,2,0,15,9,7,4,17,15,22,4,4,4,4,4,3,5,6,4,5,7,6,4,4,4,27,9,
CMAESOptimizer_ESTest::test04 ,15,15,16,16,15,15,14,14,14,12,15,15,0,12,16,17,21,19,24,15,17,16,16,17,16,16,14,17,16,16,15,17,17,17,28,14,
CMAESOptimizer_ESTest::test05 ,9,9,9,8,9,7,8,7,13,8,9,9,12,0,8,9,20,18,23,7,8,8,8,9,8,9,7,9,8,8,7,9,9,9,28,11,
CMAESOptimizer_ESTest::test06 ,7,7,7,6,7,7,8,7,18,11,7,7,16,8,0,5,18,16,21,7,6,6,7,7,6,6,7,7,7,6,7,5,5,7,26,12,
CMAESOptimizer_ESTest::test07 ,3,3,2,3,3,5,7,7,18,12,6,4,17,9,5,0,21,19,26,4,2,2,2,2,2,6,6,4,6,8,7,0,0,4,30,12,
CMAESOptimizer_ESTest::test08 ,21,21,21,19,21,19,15,17,18,18,15,17,21,20,18,21,0,9,13,19,20,21,21,20,20,18,16,18,16,14,17,21,21,18,21,15,
CMAESOptimizer_ESTest::test09 ,19,19,19,17,19,17,13,15,17,15,13,15,19,18,16,19,9,0,11,17,18,19,19,18,18,17,14,16,14,12,16,19,19,16,24,12,
CMAESOptimizer_ESTest::test10 ,25,25,26,24,25,24,20,22,20,21,21,22,24,23,21,26,13,11,0,24,25,26,26,25,25,23,21,23,21,19,21,26,26,23,24,19,
GaussNewtonOptimizer_ESTest::test0 ,4,4,4,3,4,1,6,3,17,11,5,4,15,7,7,4,19,17,24,0,3,3,3,3,3,5,5,3,5,6,5,4,4,3,28,10,
GaussNewtonOptimizer_ESTest::test1 ,2,2,2,1,2,3,6,5,18,12,5,4,17,8,6,2,20,18,25,3,0,1,2,1,2,5,5,2,4,7,5,2,2,2,29,11,
LevenbergMarquardtOptimizer_ESTest::test0 ,2,2,2,2,2,3,7,5,18,11,6,4,16,8,6,2,21,19,26,3,1,0,1,2,2,5,5,3,5,8,6,2,2,3,30,12,
LevenbergMarquardtOptimizer_ESTest::test1 ,2,2,1,2,2,3,7,5,18,11,6,4,16,8,7,2,21,19,26,3,2,1,0,1,2,5,6,4,6,8,6,2,2,3,30,12,
LevenbergMarquardtOptimizer_ESTest::test2 ,2,2,1,1,2,3,6,5,18,12,5,4,17,9,7,2,20,18,25,3,1,2,1,0,2,5,6,3,5,7,5,2,2,2,29,11,
NonLinearConjugateGradientOptimizer_ESTest::test0 ,2,2,2,2,2,4,6,6,17,10,5,3,16,8,6,2,20,18,25,3,2,2,2,2,0,5,6,4,6,7,6,2,2,3,29,11,
NonLinearConjugateGradientOptimizer_ESTest::test1 ,4,4,4,5,4,5,7,6,18,12,6,5,16,9,6,6,18,17,23,5,5,5,5,5,5,0,7,5,6,6,5,6,6,5,28,11,
NonLinearConjugateGradientOptimizer_ESTest::test2 ,7,7,7,5,7,5,4,4,16,10,5,6,14,7,7,6,16,14,21,5,5,5,6,6,6,7,0,5,2,5,4,6,6,6,26,8,
NonLinearConjugateGradientOptimizer_ESTest::test3 ,4,4,4,3,4,3,6,5,16,12,4,4,17,9,7,4,18,16,23,3,2,3,4,3,4,5,5,0,4,7,5,4,4,1,27,10,
NonLinearConjugateGradientOptimizer_ESTest::test4 ,6,6,6,4,6,4,3,2,17,11,4,5,16,8,7,6,16,14,21,5,4,5,6,5,6,6,2,4,0,5,3,6,6,5,26,9,
PowellOptimizer_ESTest::test0 ,8,8,8,6,8,7,5,5,16,11,7,7,16,8,6,8,14,12,19,6,7,8,8,7,7,6,5,7,5,0,5,8,8,7,23,9,
PowellOptimizer_ESTest::test1 ,6,6,6,4,6,5,4,3,16,11,5,6,15,7,7,7,17,16,21,5,5,6,6,5,6,5,4,5,3,5,0,7,7,5,26,8,
PowellOptimizer_ESTest::test2 ,3,3,2,3,3,5,7,7,18,12,6,4,17,9,5,0,21,19,26,4,2,2,2,2,2,6,6,4,6,8,7,0,0,4,30,12,
PowellOptimizer_ESTest::test3 ,3,3,2,3,3,5,7,7,18,12,6,4,17,9,5,0,21,19,26,4,2,2,2,2,2,6,6,4,6,8,7,0,0,4,30,12,
SimplexOptimizer_ESTest::test0 ,3,3,3,2,3,3,6,5,16,12,4,4,17,9,7,4,18,16,23,3,2,3,3,2,3,5,6,1,5,7,5,4,4,0,27,9,
SimplexOptimizer_ESTest::test1 ,30,30,30,28,30,28,25,26,25,28,27,27,28,28,26,30,21,24,24,28,29,30,30,29,29,28,26,27,26,23,26,30,30,27,0,23,
SimplexOptimizer_ESTest::test2 ,12,12,12,10,12,10,8,9,13,11,8,9,14,11,12,12,15,12,19,10,11,12,12,11,11,11,8,10,9,9,8,12,12,9,23,0,
