:,NumberUtilsTest::testCompareDouble,NumberUtilsTest::testCompareFloat,NumberUtilsTest::testConstants,NumberUtilsTest::testConstructor,NumberUtilsTest::testCreateBigDecimal,NumberUtilsTest::testCreateBigInteger,NumberUtilsTest::testCreateDouble,NumberUtilsTest::testCreateFloat,NumberUtilsTest::testCreateInteger,NumberUtilsTest::testCreateLong,NumberUtilsTest::testCreateNumber,NumberUtilsTest::testIsDigits,NumberUtilsTest::testIsNumber,NumberUtilsTest::testLang300,NumberUtilsTest::testLang381,NumberUtilsTest::testMaxByte,NumberUtilsTest::testMaxDouble,NumberUtilsTest::testMaxFloat,NumberUtilsTest::testMaxInt,NumberUtilsTest::testMaxLong,NumberUtilsTest::testMaxShort,NumberUtilsTest::testMaximumByte,NumberUtilsTest::testMaximumDouble,NumberUtilsTest::testMaximumFloat,NumberUtilsTest::testMaximumInt,NumberUtilsTest::testMaximumLong,NumberUtilsTest::testMaximumShort,NumberUtilsTest::testMinByte,NumberUtilsTest::testMinDouble,NumberUtilsTest::testMinFloat,NumberUtilsTest::testMinInt,NumberUtilsTest::testMinLong,NumberUtilsTest::testMinShort,NumberUtilsTest::testMinimumByte,NumberUtilsTest::testMinimumDouble,NumberUtilsTest::testMinimumFloat,NumberUtilsTest::testMinimumInt,NumberUtilsTest::testMinimumLong,NumberUtilsTest::testMinimumShort,NumberUtilsTest::testStringToDoubleString,NumberUtilsTest::testStringToDoubleStringD,NumberUtilsTest::testToByteString,NumberUtilsTest::testToByteStringI,NumberUtilsTest::testToFloatString,NumberUtilsTest::testToFloatStringF,NumberUtilsTest::testToIntString,NumberUtilsTest::testToIntStringI,NumberUtilsTest::testToLongString,NumberUtilsTest::testToLongStringL,NumberUtilsTest::testToShortString,NumberUtilsTest::testToShortStringI,
NumberUtilsTest::testCreateNumber ,248,248,53,23,24,24,24,24,24,24,0,24,93,27,73,94,63,63,94,60,94,27,27,27,40,27,27,71,63,63,71,45,71,27,27,27,40,27,27,23,24,22,25,23,24,22,25,26,24,22,25,
NumberUtilsTest::testIsDigits ,246,246,51,5,6,6,6,6,6,6,24,0,91,7,91,107,75,75,107,72,107,7,7,7,40,7,7,79,75,75,79,54,79,7,7,7,40,7,7,19,5,6,6,19,5,6,6,24,5,6,6,
NumberUtilsTest::testIsNumber ,156,156,58,92,97,97,97,97,97,97,93,91,0,97,89,98,85,85,98,85,98,97,97,97,97,97,97,85,85,85,85,87,85,97,97,97,97,97,97,83,93,89,93,83,93,89,93,81,93,89,93,
NumberUtilsTest::testLang300 ,252,252,57,8,3,3,3,3,3,3,27,7,97,0,96,111,81,79,111,78,111,6,3,3,40,3,6,83,81,79,83,59,83,6,3,3,40,3,6,25,6,11,9,25,6,11,9,30,6,11,9,
NumberUtilsTest::testLang381 ,244,244,88,90,95,95,95,95,95,95,73,91,89,96,0,80,51,48,80,61,80,93,96,96,96,96,96,74,51,48,75,67,75,93,96,96,96,96,96,88,92,88,90,88,92,89,91,88,92,89,91,
NumberUtilsTest::testMaxByte ,238,238,100,107,112,112,112,112,112,112,94,107,98,111,80,0,64,62,24,64,24,110,113,113,113,113,113,32,64,62,50,76,50,110,113,113,113,113,113,101,109,104,105,101,109,105,106,99,109,105,106,
NumberUtilsTest::testMaxDouble ,235,241,70,75,80,80,80,80,80,80,63,75,85,81,51,64,0,32,64,30,64,81,81,81,81,81,81,63,0,32,63,42,63,81,81,81,81,81,81,69,77,73,75,71,77,73,75,70,77,73,75,
NumberUtilsTest::testMaxFloat ,241,235,70,75,80,80,80,80,80,80,63,75,85,79,48,62,32,0,62,32,62,81,81,81,81,81,81,60,32,0,60,43,60,81,81,81,81,81,81,71,77,73,75,69,77,73,75,70,77,73,75,
NumberUtilsTest::testMaxInt ,238,238,99,107,112,112,112,112,112,112,94,107,98,111,80,24,64,62,0,64,24,110,113,113,113,113,113,50,64,62,32,76,50,110,113,113,113,113,113,101,109,104,105,101,109,105,106,99,109,105,106,
NumberUtilsTest::testMaxLong ,241,235,68,72,77,77,77,77,77,77,60,72,85,78,61,64,30,32,64,0,64,78,78,78,78,78,78,60,30,32,60,19,60,78,78,78,78,78,78,68,74,70,72,67,74,70,72,66,74,70,72,
NumberUtilsTest::testMaxShort ,238,238,99,107,112,112,112,112,112,112,94,107,98,111,80,24,64,62,24,64,0,110,113,113,113,113,113,50,64,62,50,75,32,110,113,113,113,113,113,101,109,104,105,101,109,105,106,97,109,105,106,
NumberUtilsTest::testMaximumByte ,252,252,57,8,6,6,6,6,6,6,27,7,97,6,93,110,81,81,110,78,110,0,6,6,40,6,6,82,81,81,82,59,82,0,6,6,40,6,6,25,6,9,7,25,6,11,9,30,6,11,9,
NumberUtilsTest::testMaximumDouble ,252,252,57,8,3,3,3,3,3,3,27,7,97,3,96,113,81,81,113,78,113,6,0,0,40,0,6,85,81,81,85,59,85,6,0,0,40,0,6,25,6,11,9,25,6,11,9,30,6,11,9,
NumberUtilsTest::testMaximumFloat ,252,252,57,8,3,3,3,3,3,3,27,7,97,3,96,113,81,81,113,78,113,6,0,0,40,0,6,85,81,81,85,59,85,6,0,0,40,0,6,25,6,11,9,25,6,11,9,30,6,11,9,
NumberUtilsTest::testMaximumInt ,252,252,57,40,40,40,40,40,40,40,40,40,97,40,96,113,81,81,113,78,113,40,40,40,0,40,37,85,81,81,85,59,85,40,40,40,7,40,37,40,40,40,40,40,40,38,38,40,40,38,38,
NumberUtilsTest::testMaximumLong ,252,252,57,8,3,3,3,3,3,3,27,7,97,3,96,113,81,81,113,78,113,6,0,0,40,0,6,85,81,81,85,59,85,6,0,0,40,0,6,25,6,11,9,25,6,11,9,30,6,11,9,
NumberUtilsTest::testMaximumShort ,252,252,57,8,6,6,6,6,6,6,27,7,97,6,96,113,81,81,113,78,113,6,6,6,37,6,0,85,81,81,85,59,85,6,6,6,37,6,0,25,6,11,9,25,6,10,8,30,6,10,8,
NumberUtilsTest::testMinByte ,241,241,75,79,84,84,84,84,84,84,71,79,85,83,74,32,63,60,50,60,50,82,85,85,85,85,85,0,63,60,18,48,18,82,85,85,85,85,85,74,81,77,77,74,81,77,78,74,81,77,78,
NumberUtilsTest::testMinDouble ,235,241,70,75,80,80,80,80,80,80,63,75,85,81,51,64,0,32,64,30,64,81,81,81,81,81,81,63,0,32,63,42,63,81,81,81,81,81,81,69,77,73,75,71,77,73,75,70,77,73,75,
NumberUtilsTest::testMinFloat ,241,235,70,75,80,80,80,80,80,80,63,75,85,79,48,62,32,0,62,32,62,81,81,81,81,81,81,60,32,0,60,43,60,81,81,81,81,81,81,71,77,73,75,69,77,73,75,70,77,73,75,
NumberUtilsTest::testMinInt ,241,241,74,79,84,84,84,84,84,84,71,79,85,83,75,50,63,60,32,60,50,82,85,85,85,85,85,18,63,60,0,48,18,82,85,85,85,85,85,74,81,77,77,74,81,77,78,74,81,77,78,
NumberUtilsTest::testMinLong ,243,238,53,54,58,58,58,58,58,58,45,54,87,59,67,76,42,43,76,19,75,59,59,59,59,59,59,48,42,43,48,0,48,59,59,59,59,59,59,50,55,52,54,50,55,52,54,49,55,52,54,
NumberUtilsTest::testMinShort ,241,241,74,79,84,84,84,84,84,84,71,79,85,83,75,50,63,60,50,60,32,82,85,85,85,85,85,18,63,60,18,48,0,82,85,85,85,85,85,74,81,77,77,74,81,77,78,72,81,77,78,
NumberUtilsTest::testMinimumByte ,252,252,57,8,6,6,6,6,6,6,27,7,97,6,93,110,81,81,110,78,110,0,6,6,40,6,6,82,81,81,82,59,82,0,6,6,40,6,6,25,6,9,7,25,6,11,9,30,6,11,9,
NumberUtilsTest::testMinimumDouble ,252,252,57,8,3,3,3,3,3,3,27,7,97,3,96,113,81,81,113,78,113,6,0,0,40,0,6,85,81,81,85,59,85,6,0,0,40,0,6,25,6,11,9,25,6,11,9,30,6,11,9,
NumberUtilsTest::testMinimumFloat ,252,252,57,8,3,3,3,3,3,3,27,7,97,3,96,113,81,81,113,78,113,6,0,0,40,0,6,85,81,81,85,59,85,6,0,0,40,0,6,25,6,11,9,25,6,11,9,30,6,11,9,
NumberUtilsTest::testMinimumInt ,252,252,57,40,40,40,40,40,40,40,40,40,97,40,96,113,81,81,113,78,113,40,40,40,7,40,37,85,81,81,85,59,85,40,40,40,0,40,37,40,40,40,40,40,40,38,38,40,40,38,38,
NumberUtilsTest::testMinimumLong ,252,252,57,8,3,3,3,3,3,3,27,7,97,3,96,113,81,81,113,78,113,6,0,0,40,0,6,85,81,81,85,59,85,6,0,0,40,0,6,25,6,11,9,25,6,11,9,30,6,11,9,
NumberUtilsTest::testMinimumShort ,252,252,57,8,6,6,6,6,6,6,27,7,97,6,96,113,81,81,113,78,113,6,6,6,37,6,0,85,81,81,85,59,85,6,6,6,37,6,0,25,6,11,9,25,6,10,8,30,6,10,8,
NumberUtilsTest::testStringToDoubleString ,235,238,39,20,24,24,24,24,24,24,23,19,83,25,88,101,69,71,101,68,101,25,25,25,40,25,25,74,69,71,74,50,74,25,25,25,40,25,25,0,19,16,21,10,21,16,21,15,21,16,21,
NumberUtilsTest::testStringToDoubleStringD ,248,248,51,4,6,6,6,6,6,6,24,5,93,6,92,109,77,77,109,74,109,6,6,6,40,6,6,81,77,77,81,55,81,6,6,6,40,6,6,19,0,7,5,21,2,7,5,26,2,7,5,
NumberUtilsTest::testToByteString ,244,244,49,6,10,10,10,10,10,10,22,6,89,11,88,104,73,73,104,70,104,9,11,11,40,11,11,77,73,73,77,52,77,9,11,11,40,11,11,16,7,0,6,16,7,2,7,21,7,2,7,
NumberUtilsTest::testToByteStringI ,248,248,53,5,9,9,9,9,9,9,25,6,93,9,90,105,75,75,105,72,105,7,9,9,40,9,9,77,75,75,77,54,77,7,9,9,40,9,9,21,5,6,0,21,5,7,2,26,5,7,2,
NumberUtilsTest::testToFloatString ,238,235,40,20,24,24,24,24,24,24,23,19,83,25,88,101,71,69,101,67,101,25,25,25,40,25,25,74,71,69,74,50,74,25,25,25,40,25,25,10,21,16,21,0,19,16,21,15,21,16,21,
NumberUtilsTest::testToFloatStringF ,248,248,51,4,6,6,6,6,6,6,24,5,93,6,92,109,77,77,109,74,109,6,6,6,40,6,6,81,77,77,81,55,81,6,6,6,40,6,6,21,2,7,5,19,0,7,5,26,2,7,5,
NumberUtilsTest::testToIntString ,244,244,49,6,10,10,10,10,10,10,22,6,89,11,89,105,73,73,105,70,105,11,11,11,38,11,10,77,73,73,77,52,77,11,11,11,38,11,10,16,7,2,7,16,7,0,6,21,7,0,6,
NumberUtilsTest::testToIntStringI ,248,248,53,5,9,9,9,9,9,9,25,6,93,9,91,106,75,75,106,72,106,9,9,9,38,9,8,78,75,75,78,54,78,9,9,9,38,9,8,21,5,7,2,21,5,6,0,26,5,6,0,
NumberUtilsTest::testToLongString ,236,236,39,25,29,29,29,29,29,29,26,24,81,30,88,99,70,70,99,66,97,30,30,30,40,30,30,74,70,70,74,49,72,30,30,30,40,30,30,15,26,21,26,15,26,21,26,0,24,21,26,
NumberUtilsTest::testToLongStringL ,248,248,51,4,6,6,6,6,6,6,24,5,93,6,92,109,77,77,109,74,109,6,6,6,40,6,6,81,77,77,81,55,81,6,6,6,40,6,6,21,2,7,5,21,2,7,5,24,0,7,5,
NumberUtilsTest::testToShortString ,244,244,49,6,10,10,10,10,10,10,22,6,89,11,89,105,73,73,105,70,105,11,11,11,38,11,10,77,73,73,77,52,77,11,11,11,38,11,10,16,7,2,7,16,7,0,6,21,7,0,6,
NumberUtilsTest::testToShortStringI ,248,248,53,5,9,9,9,9,9,9,25,6,93,9,91,106,75,75,106,72,106,9,9,9,38,9,8,78,75,75,78,54,78,9,9,9,38,9,8,21,5,7,2,21,5,6,0,26,5,6,0,
