:,NumberUtilsTest::testCompareDouble,NumberUtilsTest::testCompareFloat,NumberUtilsTest::testConstructor,NumberUtilsTest::testCreateBigDecimal,NumberUtilsTest::testCreateBigInteger,NumberUtilsTest::testCreateDouble,NumberUtilsTest::testCreateFloat,NumberUtilsTest::testCreateInteger,NumberUtilsTest::testCreateLong,NumberUtilsTest::testCreateNumber,NumberUtilsTest::testIsDigits,NumberUtilsTest::testIsNumber,NumberUtilsTest::testLang300,NumberUtilsTest::testLang381,NumberUtilsTest::testMaxByte,NumberUtilsTest::testMaxByte_emptyArray,NumberUtilsTest::testMaxByte_nullArray,NumberUtilsTest::testMaxDouble,NumberUtilsTest::testMaxDouble_emptyArray,NumberUtilsTest::testMaxDouble_nullArray,NumberUtilsTest::testMaxFloat,NumberUtilsTest::testMaxFloat_emptyArray,NumberUtilsTest::testMaxFloat_nullArray,NumberUtilsTest::testMaxInt,NumberUtilsTest::testMaxInt_emptyArray,NumberUtilsTest::testMaxInt_nullArray,NumberUtilsTest::testMaxLong,NumberUtilsTest::testMaxLong_emptyArray,NumberUtilsTest::testMaxLong_nullArray,NumberUtilsTest::testMaxShort,NumberUtilsTest::testMaxShort_emptyArray,NumberUtilsTest::testMaxShort_nullArray,NumberUtilsTest::testMaximumByte,NumberUtilsTest::testMaximumDouble,NumberUtilsTest::testMaximumFloat,NumberUtilsTest::testMaximumInt,NumberUtilsTest::testMaximumLong,NumberUtilsTest::testMaximumShort,NumberUtilsTest::testMinByte,NumberUtilsTest::testMinByte_emptyArray,NumberUtilsTest::testMinByte_nullArray,NumberUtilsTest::testMinDouble,NumberUtilsTest::testMinDouble_emptyArray,NumberUtilsTest::testMinDouble_nullArray,NumberUtilsTest::testMinFloat,NumberUtilsTest::testMinFloat_emptyArray,NumberUtilsTest::testMinFloat_nullArray,NumberUtilsTest::testMinInt,NumberUtilsTest::testMinInt_emptyArray,NumberUtilsTest::testMinInt_nullArray,NumberUtilsTest::testMinLong,NumberUtilsTest::testMinLong_emptyArray,NumberUtilsTest::testMinLong_nullArray,NumberUtilsTest::testMinShort,NumberUtilsTest::testMinShort_emptyArray,NumberUtilsTest::testMinShort_nullArray,NumberUtilsTest::testMinimumByte,NumberUtilsTest::testMinimumDouble,NumberUtilsTest::testMinimumFloat,NumberUtilsTest::testMinimumInt,NumberUtilsTest::testMinimumLong,NumberUtilsTest::testMinimumShort,NumberUtilsTest::testStringToDoubleString,NumberUtilsTest::testStringToDoubleStringD,NumberUtilsTest::testToByteString,NumberUtilsTest::testToByteStringI,NumberUtilsTest::testToFloatString,NumberUtilsTest::testToFloatStringF,NumberUtilsTest::testToIntString,NumberUtilsTest::testToIntStringI,NumberUtilsTest::testToLongString,NumberUtilsTest::testToLongStringL,NumberUtilsTest::testToShortString,NumberUtilsTest::testToShortStringI,
NumberUtilsTest::testIsDigits ,252,252,6,2,2,1,1,1,1,12,0,96,3,96,103,4,1,80,4,1,75,4,1,103,4,1,72,4,1,103,4,1,14,1,1,35,1,14,76,4,1,75,4,1,75,4,1,76,4,1,53,4,1,76,4,1,14,1,1,35,1,14,24,6,10,9,24,6,10,9,29,6,10,9,
NumberUtilsTest::testIsNumber ,156,156,96,97,97,96,96,96,96,89,96,0,97,89,91,96,96,85,96,96,87,96,96,91,96,96,87,96,96,91,96,96,97,97,97,97,97,97,87,96,96,87,96,96,87,96,96,87,96,96,89,96,96,87,96,96,97,97,97,97,97,97,83,93,89,93,83,93,89,93,81,93,89,93,
NumberUtilsTest::testLang300 ,252,252,6,3,3,3,3,3,3,13,3,97,0,96,103,3,2,81,4,3,75,3,2,103,3,2,72,4,3,103,3,2,14,3,3,35,3,14,76,3,2,75,4,3,75,3,2,76,3,2,53,4,3,76,3,2,14,3,3,35,3,14,25,6,11,9,25,6,11,9,30,6,11,9,
NumberUtilsTest::testLang381 ,244,244,94,95,95,96,96,96,96,86,96,89,96,0,75,93,96,51,93,96,45,93,96,75,94,96,58,94,96,75,94,96,93,96,96,96,96,96,74,93,96,48,93,96,45,93,96,75,94,96,65,94,96,75,94,96,93,96,96,96,96,96,88,92,88,90,88,92,89,91,88,92,89,91,
NumberUtilsTest::testMaxByte ,239,239,99,102,102,103,103,103,103,92,103,91,103,75,0,100,103,63,100,103,57,100,103,23,100,103,57,101,103,23,100,103,97,103,103,98,103,98,29,100,103,57,100,103,57,100,103,45,100,103,69,101,103,46,100,103,97,103,103,98,103,98,92,99,94,95,92,99,95,96,91,99,95,96,
NumberUtilsTest::testMaxByte_emptyArray ,251,251,6,4,4,4,4,4,4,12,4,96,3,93,100,0,3,78,2,4,72,1,3,100,1,3,69,2,4,100,1,3,14,4,4,35,4,14,73,0,3,72,2,4,72,1,3,73,1,3,50,2,4,73,1,3,14,4,4,35,4,14,24,5,10,7,24,5,10,7,29,5,10,7,
NumberUtilsTest::testMaxByte_nullArray ,252,252,6,2,2,1,1,1,1,12,1,96,2,96,103,3,0,80,4,1,75,3,0,103,3,0,72,4,1,103,3,0,14,2,2,35,2,14,76,3,0,75,4,1,75,3,0,76,3,0,53,4,1,76,3,0,14,2,2,35,2,14,24,6,10,9,24,6,10,9,29,6,10,9,
NumberUtilsTest::testMaxDouble ,235,241,79,80,80,80,80,80,80,70,80,85,81,51,63,78,80,0,77,79,35,78,80,63,79,80,35,78,79,63,79,80,81,81,81,81,81,81,63,78,80,6,77,79,35,78,80,63,79,80,47,78,79,63,79,80,81,81,81,81,81,81,69,77,73,75,71,77,73,75,70,77,73,75,
NumberUtilsTest::testMaxDouble_emptyArray ,251,251,6,4,4,4,4,4,4,12,4,96,4,93,100,2,4,77,0,3,72,2,4,100,2,4,69,1,3,100,2,4,14,4,4,35,4,14,73,2,4,72,0,3,72,2,4,73,2,4,50,1,3,73,2,4,14,4,4,35,4,14,24,5,10,8,24,5,10,8,29,5,10,8,
NumberUtilsTest::testMaxDouble_nullArray ,252,252,6,2,2,1,1,1,1,12,1,96,3,96,103,4,1,79,3,0,75,4,1,103,4,1,72,3,0,103,4,1,14,2,2,35,2,14,76,4,1,75,3,0,75,4,1,76,4,1,53,3,0,76,4,1,14,2,2,35,2,14,24,6,10,9,24,6,10,9,29,6,10,9,
NumberUtilsTest::testMaxFloat ,242,236,73,74,74,75,75,75,75,64,75,87,75,45,57,72,75,35,72,75,0,72,75,57,73,75,29,72,75,57,73,75,75,75,75,75,75,75,57,72,75,29,72,75,0,72,75,57,73,75,40,72,75,57,73,75,75,75,75,75,75,75,66,71,68,70,65,71,68,70,66,71,68,70,
NumberUtilsTest::testMaxFloat_emptyArray ,251,251,6,4,4,4,4,4,4,12,4,96,3,93,100,1,3,78,2,4,72,0,3,100,1,3,69,2,4,100,1,3,14,4,4,35,4,14,73,1,3,72,2,4,72,0,3,73,1,3,50,2,4,73,1,3,14,4,4,35,4,14,24,5,10,8,24,5,10,8,29,5,10,8,
NumberUtilsTest::testMaxFloat_nullArray ,252,252,6,2,2,1,1,1,1,12,1,96,2,96,103,3,0,80,4,1,75,3,0,103,3,0,72,4,1,103,3,0,14,2,2,35,2,14,76,3,0,75,4,1,75,3,0,76,3,0,53,4,1,76,3,0,14,2,2,35,2,14,24,6,10,9,24,6,10,9,29,6,10,9,
NumberUtilsTest::testMaxInt ,239,239,99,102,102,103,103,103,103,92,103,91,103,75,23,100,103,63,100,103,57,100,103,0,100,103,57,101,103,23,100,103,97,103,103,98,103,98,45,100,103,57,100,103,57,100,103,29,100,103,69,101,103,46,100,103,97,103,103,98,103,98,92,99,94,95,92,99,95,96,91,99,95,96,
NumberUtilsTest::testMaxInt_emptyArray ,251,251,6,4,4,4,4,4,4,12,4,96,3,94,100,1,3,79,2,4,73,1,3,100,0,3,70,2,4,100,1,3,14,4,4,35,4,14,73,1,3,73,2,4,73,1,3,73,0,3,51,2,4,73,1,3,14,4,4,35,4,14,24,5,10,8,24,5,10,8,29,5,10,8,
NumberUtilsTest::testMaxInt_nullArray ,252,252,6,2,2,1,1,1,1,12,1,96,2,96,103,3,0,80,4,1,75,3,0,103,3,0,72,4,1,103,3,0,14,2,2,35,2,14,76,3,0,75,4,1,75,3,0,76,3,0,53,4,1,76,3,0,14,2,2,35,2,14,24,6,10,9,24,6,10,9,29,6,10,9,
NumberUtilsTest::testMaxLong ,242,237,70,71,71,72,72,72,72,61,72,87,72,58,57,69,72,35,69,72,29,69,72,57,70,72,0,69,72,57,69,72,72,72,72,72,72,72,55,69,72,29,69,72,29,69,72,55,70,72,19,69,72,55,69,72,72,72,72,72,72,72,63,68,65,67,63,68,65,67,62,68,65,67,
NumberUtilsTest::testMaxLong_emptyArray ,251,250,6,4,4,4,4,4,4,12,4,96,4,94,101,2,4,78,1,3,72,2,4,101,2,4,69,0,3,101,2,4,14,4,4,35,4,14,74,2,4,73,1,3,72,2,4,74,2,4,50,0,3,74,2,4,14,4,4,35,4,14,24,5,10,8,23,5,10,8,29,5,10,8,
NumberUtilsTest::testMaxLong_nullArray ,252,252,6,2,2,1,1,1,1,12,1,96,3,96,103,4,1,79,3,0,75,4,1,103,4,1,72,3,0,103,4,1,14,2,2,35,2,14,76,4,1,75,3,0,75,4,1,76,4,1,53,3,0,76,4,1,14,2,2,35,2,14,24,6,10,9,24,6,10,9,29,6,10,9,
NumberUtilsTest::testMaxShort ,239,239,99,102,102,103,103,103,103,92,103,91,103,75,23,100,103,63,100,103,57,100,103,23,100,103,57,101,103,0,100,103,97,103,103,98,103,98,45,100,103,57,100,103,57,100,103,45,100,103,68,101,103,29,100,103,97,103,103,98,103,98,92,99,94,95,92,99,95,96,90,99,95,96,
NumberUtilsTest::testMaxShort_emptyArray ,251,251,6,4,4,4,4,4,4,12,4,96,3,94,100,1,3,79,2,4,73,1,3,100,1,3,69,2,4,100,0,3,14,4,4,35,4,14,73,1,3,73,2,4,73,1,3,73,1,3,50,2,4,73,0,3,14,4,4,35,4,14,24,5,10,8,24,5,10,8,28,5,10,8,
NumberUtilsTest::testMaxShort_nullArray ,252,252,6,2,2,1,1,1,1,12,1,96,2,96,103,3,0,80,4,1,75,3,0,103,3,0,72,4,1,103,3,0,14,2,2,35,2,14,76,3,0,75,4,1,75,3,0,76,3,0,53,4,1,76,3,0,14,2,2,35,2,14,24,6,10,9,24,6,10,9,29,6,10,9,
NumberUtilsTest::testMaximumByte ,252,252,13,14,14,14,14,14,14,14,14,97,14,93,97,14,14,81,14,14,75,14,14,97,14,14,72,14,14,97,14,14,0,14,14,30,14,6,71,14,14,75,14,14,75,14,14,71,14,14,53,14,14,71,14,14,0,14,14,30,14,6,25,14,12,13,25,14,14,14,30,14,14,14,
NumberUtilsTest::testMaximumDouble ,252,252,6,3,3,2,2,2,2,13,1,97,3,96,103,4,2,81,4,2,75,4,2,103,4,2,72,4,2,103,4,2,14,0,0,35,0,14,76,4,2,75,4,2,75,4,2,76,4,2,53,4,2,76,4,2,14,0,0,35,0,14,25,6,11,9,25,6,11,9,30,6,11,9,
NumberUtilsTest::testMaximumFloat ,252,252,6,3,3,2,2,2,2,13,1,97,3,96,103,4,2,81,4,2,75,4,2,103,4,2,72,4,2,103,4,2,14,0,0,35,0,14,76,4,2,75,4,2,75,4,2,76,4,2,53,4,2,76,4,2,14,0,0,35,0,14,25,6,11,9,25,6,11,9,30,6,11,9,
NumberUtilsTest::testMaximumInt ,252,252,34,35,35,35,35,35,35,35,35,97,35,96,98,35,35,81,35,35,75,35,35,98,35,35,72,35,35,98,35,35,30,35,35,0,35,27,72,35,35,75,35,35,75,35,35,72,35,35,53,35,35,72,35,35,30,35,35,7,35,27,35,35,35,35,35,35,33,33,35,35,33,33,
NumberUtilsTest::testMaximumLong ,252,252,6,3,3,2,2,2,2,13,1,97,3,96,103,4,2,81,4,2,75,4,2,103,4,2,72,4,2,103,4,2,14,0,0,35,0,14,76,4,2,75,4,2,75,4,2,76,4,2,53,4,2,76,4,2,14,0,0,35,0,14,25,6,11,9,25,6,11,9,30,6,11,9,
NumberUtilsTest::testMaximumShort ,252,252,13,14,14,14,14,14,14,14,14,97,14,96,98,14,14,81,14,14,75,14,14,98,14,14,72,14,14,98,14,14,6,14,14,27,14,0,72,14,14,75,14,14,75,14,14,72,14,14,53,14,14,72,14,14,6,14,14,27,14,0,25,14,14,14,25,14,13,13,30,14,13,13,
NumberUtilsTest::testMinByte ,242,242,72,75,75,76,76,76,76,66,76,87,76,74,29,73,76,63,73,76,57,73,76,45,73,76,55,74,76,45,73,76,71,76,76,72,76,72,0,73,76,57,73,76,57,73,76,17,73,76,42,74,76,17,73,76,71,76,76,72,76,72,67,72,68,68,67,72,69,69,66,72,69,69,
NumberUtilsTest::testMinByte_emptyArray ,251,251,6,4,4,4,4,4,4,12,4,96,3,93,100,0,3,78,2,4,72,1,3,100,1,3,69,2,4,100,1,3,14,4,4,35,4,14,73,0,3,72,2,4,72,1,3,73,1,3,50,2,4,73,1,3,14,4,4,35,4,14,24,5,10,7,24,5,10,7,29,5,10,7,
NumberUtilsTest::testMinByte_nullArray ,252,252,6,2,2,1,1,1,1,12,1,96,2,96,103,3,0,80,4,1,75,3,0,103,3,0,72,4,1,103,3,0,14,2,2,35,2,14,76,3,0,75,4,1,75,3,0,76,3,0,53,4,1,76,3,0,14,2,2,35,2,14,24,6,10,9,24,6,10,9,29,6,10,9,
NumberUtilsTest::testMinDouble ,236,242,73,74,74,75,75,75,75,64,75,87,75,48,57,72,75,6,72,75,29,72,75,57,73,75,29,73,75,57,73,75,75,75,75,75,75,75,57,72,75,0,72,75,29,72,75,57,73,75,41,73,75,57,73,75,75,75,75,75,75,75,65,71,68,70,66,71,68,70,66,71,68,70,
NumberUtilsTest::testMinDouble_emptyArray ,251,251,6,4,4,4,4,4,4,12,4,96,4,93,100,2,4,77,0,3,72,2,4,100,2,4,69,1,3,100,2,4,14,4,4,35,4,14,73,2,4,72,0,3,72,2,4,73,2,4,50,1,3,73,2,4,14,4,4,35,4,14,24,5,10,8,24,5,10,8,29,5,10,8,
NumberUtilsTest::testMinDouble_nullArray ,252,252,6,2,2,1,1,1,1,12,1,96,3,96,103,4,1,79,3,0,75,4,1,103,4,1,72,3,0,103,4,1,14,2,2,35,2,14,76,4,1,75,3,0,75,4,1,76,4,1,53,3,0,76,4,1,14,2,2,35,2,14,24,6,10,9,24,6,10,9,29,6,10,9,
NumberUtilsTest::testMinFloat ,242,236,73,74,74,75,75,75,75,64,75,87,75,45,57,72,75,35,72,75,0,72,75,57,73,75,29,72,75,57,73,75,75,75,75,75,75,75,57,72,75,29,72,75,0,72,75,57,73,75,40,72,75,57,73,75,75,75,75,75,75,75,66,71,68,70,65,71,68,70,66,71,68,70,
NumberUtilsTest::testMinFloat_emptyArray ,251,251,6,4,4,4,4,4,4,12,4,96,3,93,100,1,3,78,2,4,72,0,3,100,1,3,69,2,4,100,1,3,14,4,4,35,4,14,73,1,3,72,2,4,72,0,3,73,1,3,50,2,4,73,1,3,14,4,4,35,4,14,24,5,10,8,24,5,10,8,29,5,10,8,
NumberUtilsTest::testMinFloat_nullArray ,252,252,6,2,2,1,1,1,1,12,1,96,2,96,103,3,0,80,4,1,75,3,0,103,3,0,72,4,1,103,3,0,14,2,2,35,2,14,76,3,0,75,4,1,75,3,0,76,3,0,53,4,1,76,3,0,14,2,2,35,2,14,24,6,10,9,24,6,10,9,29,6,10,9,
NumberUtilsTest::testMinInt ,242,242,72,75,75,76,76,76,76,66,76,87,76,75,45,73,76,63,73,76,57,73,76,29,73,76,55,74,76,45,73,76,71,76,76,72,76,72,17,73,76,57,73,76,57,73,76,0,73,76,42,74,76,17,73,76,71,76,76,72,76,72,67,72,68,68,67,72,69,69,66,72,69,69,
NumberUtilsTest::testMinInt_emptyArray ,251,251,6,4,4,4,4,4,4,12,4,96,3,94,100,1,3,79,2,4,73,1,3,100,0,3,70,2,4,100,1,3,14,4,4,35,4,14,73,1,3,73,2,4,73,1,3,73,0,3,51,2,4,73,1,3,14,4,4,35,4,14,24,5,10,8,24,5,10,8,29,5,10,8,
NumberUtilsTest::testMinInt_nullArray ,252,252,6,2,2,1,1,1,1,12,1,96,2,96,103,3,0,80,4,1,75,3,0,103,3,0,72,4,1,103,3,0,14,2,2,35,2,14,76,3,0,75,4,1,75,3,0,76,3,0,53,4,1,76,3,0,14,2,2,35,2,14,24,6,10,9,24,6,10,9,29,6,10,9,
NumberUtilsTest::testMinLong ,244,240,51,52,52,53,53,53,53,43,53,89,53,65,69,50,53,47,50,53,40,50,53,69,51,53,19,50,53,68,50,53,53,53,53,53,53,53,42,50,53,41,50,53,40,50,53,42,51,53,0,50,53,42,50,53,53,53,53,53,53,53,46,49,47,49,46,49,47,49,46,49,47,49,
NumberUtilsTest::testMinLong_emptyArray ,251,250,6,4,4,4,4,4,4,12,4,96,4,94,101,2,4,78,1,3,72,2,4,101,2,4,69,0,3,101,2,4,14,4,4,35,4,14,74,2,4,73,1,3,72,2,4,74,2,4,50,0,3,74,2,4,14,4,4,35,4,14,24,5,10,8,23,5,10,8,29,5,10,8,
NumberUtilsTest::testMinLong_nullArray ,252,252,6,2,2,1,1,1,1,12,1,96,3,96,103,4,1,79,3,0,75,4,1,103,4,1,72,3,0,103,4,1,14,2,2,35,2,14,76,4,1,75,3,0,75,4,1,76,4,1,53,3,0,76,4,1,14,2,2,35,2,14,24,6,10,9,24,6,10,9,29,6,10,9,
NumberUtilsTest::testMinShort ,242,242,72,75,75,76,76,76,76,66,76,87,76,75,46,73,76,63,73,76,57,73,76,46,73,76,55,74,76,29,73,76,71,76,76,72,76,72,17,73,76,57,73,76,57,73,76,17,73,76,42,74,76,0,73,76,71,76,76,72,76,72,67,72,68,68,67,72,69,69,66,72,69,69,
NumberUtilsTest::testMinShort_emptyArray ,251,251,6,4,4,4,4,4,4,12,4,96,3,94,100,1,3,79,2,4,73,1,3,100,1,3,69,2,4,100,0,3,14,4,4,35,4,14,73,1,3,73,2,4,73,1,3,73,1,3,50,2,4,73,0,3,14,4,4,35,4,14,24,5,10,8,24,5,10,8,28,5,10,8,
NumberUtilsTest::testMinShort_nullArray ,252,252,6,2,2,1,1,1,1,12,1,96,2,96,103,3,0,80,4,1,75,3,0,103,3,0,72,4,1,103,3,0,14,2,2,35,2,14,76,3,0,75,4,1,75,3,0,76,3,0,53,4,1,76,3,0,14,2,2,35,2,14,24,6,10,9,24,6,10,9,29,6,10,9,
NumberUtilsTest::testMinimumByte ,252,252,13,14,14,14,14,14,14,14,14,97,14,93,97,14,14,81,14,14,75,14,14,97,14,14,72,14,14,97,14,14,0,14,14,30,14,6,71,14,14,75,14,14,75,14,14,71,14,14,53,14,14,71,14,14,0,14,14,30,14,6,25,14,12,13,25,14,14,14,30,14,14,14,
NumberUtilsTest::testMinimumDouble ,252,252,6,3,3,2,2,2,2,13,1,97,3,96,103,4,2,81,4,2,75,4,2,103,4,2,72,4,2,103,4,2,14,0,0,35,0,14,76,4,2,75,4,2,75,4,2,76,4,2,53,4,2,76,4,2,14,0,0,35,0,14,25,6,11,9,25,6,11,9,30,6,11,9,
NumberUtilsTest::testMinimumFloat ,252,252,6,3,3,2,2,2,2,13,1,97,3,96,103,4,2,81,4,2,75,4,2,103,4,2,72,4,2,103,4,2,14,0,0,35,0,14,76,4,2,75,4,2,75,4,2,76,4,2,53,4,2,76,4,2,14,0,0,35,0,14,25,6,11,9,25,6,11,9,30,6,11,9,
NumberUtilsTest::testMinimumInt ,252,252,34,35,35,35,35,35,35,35,35,97,35,96,98,35,35,81,35,35,75,35,35,98,35,35,72,35,35,98,35,35,30,35,35,7,35,27,72,35,35,75,35,35,75,35,35,72,35,35,53,35,35,72,35,35,30,35,35,0,35,27,35,35,35,35,35,35,33,33,35,35,33,33,
NumberUtilsTest::testMinimumLong ,252,252,6,3,3,2,2,2,2,13,1,97,3,96,103,4,2,81,4,2,75,4,2,103,4,2,72,4,2,103,4,2,14,0,0,35,0,14,76,4,2,75,4,2,75,4,2,76,4,2,53,4,2,76,4,2,14,0,0,35,0,14,25,6,11,9,25,6,11,9,30,6,11,9,
NumberUtilsTest::testMinimumShort ,252,252,13,14,14,14,14,14,14,14,14,97,14,96,98,14,14,81,14,14,75,14,14,98,14,14,72,14,14,98,14,14,6,14,14,27,14,0,72,14,14,75,14,14,75,14,14,72,14,14,53,14,14,72,14,14,6,14,14,27,14,0,25,14,14,14,25,14,13,13,30,14,13,13,
NumberUtilsTest::testStringToDoubleString ,235,238,24,24,24,24,24,24,24,16,24,83,25,88,92,24,24,69,24,24,66,24,24,92,24,24,63,24,24,92,24,24,25,25,25,35,25,25,67,24,24,65,24,24,66,24,24,67,24,24,46,24,24,67,24,24,25,25,25,35,25,25,0,19,16,21,10,21,16,21,15,21,16,21,
NumberUtilsTest::testStringToDoubleStringD ,248,248,6,6,6,6,6,6,6,9,6,93,6,92,99,5,6,77,5,6,71,5,6,99,5,6,68,5,6,99,5,6,14,6,6,35,6,14,72,5,6,71,5,6,71,5,6,72,5,6,49,5,6,72,5,6,14,6,6,35,6,14,19,0,7,5,21,2,7,5,26,2,7,5,
NumberUtilsTest::testToByteString ,244,244,10,10,10,10,10,10,10,6,10,89,11,88,94,10,10,73,10,10,68,10,10,94,10,10,65,10,10,94,10,10,12,11,11,35,11,14,68,10,10,68,10,10,68,10,10,68,10,10,47,10,10,68,10,10,12,11,11,35,11,14,16,7,0,6,16,7,2,7,21,7,2,7,
