math,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-TEXT,6.7,4.26,0.89,6.09,6.15,8.87,17.8,6.83,5.91,6.14,6.05,4.18,7.51,6.42,8.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-BYTECODE,4.35,2.24,0.19,4.11,3.19,5.05,13.28,3.41,4.09,3.95,4.18,2.04,5.45,3.56,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-FILTER,2.67,1.72,0.06,3.71,2.51,2.5,11.12,2.11,3.64,3.06,3.65,0.76,5.01,2.63,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-TEXT,93752.22,14044.74,491.21,2869.23,22422.76,471868.07,84314.54,50572.96,2598.14,20287.86,2512.99,79563.31,5815.86,34812.91,51675.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-BYTECODE,317.8,114.83,1,317.71,209.03,451.67,2714.31,237.85,293.14,180.51,299.64,83.15,532.27,293.27,564.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-FILTER,196.7,103.18,0.32,314.72,189.08,240.61,2540.75,170.54,290.4,162.22,296.79,29.62,526.26,245.51,494.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jsoup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-TEXT,0.56,7.56,1.05,3.55,0.42,4.43,0.19,23.4,1.81,18.22,23.76,0.88,22.62,14.44,0.57,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-BYTECODE,0.64,3.45,0.24,1.25,0.08,1.89,0.01,13.61,0.62,10.48,13.98,0.11,14.26,7.73,0.05,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-FILTER,0.55,1.89,0.08,0.57,0.04,0.81,0.01,11.14,0.26,7.87,10.49,0.07,11.31,4.97,0.02,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-TEXT,5.98,675.89,6.19,117.23,1.59,32161.87,0.99,425917.54,4417.37,189993.7,295869.27,46.37,310646.01,217942.29,13.65,361.42,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-BYTECODE,2.48,262.96,1.44,38.93,0.15,93.79,0.02,2725.05,9.44,1888.65,2876.83,0.32,3101.51,1132.68,0.07,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-FILTER,0.85,158.34,0.48,16.67,0.13,37.65,0.02,2462.38,3.7,1545.13,2386.95,0.29,2614.39,771.26,0.06,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-TEXT,8.01,9.29,8.93,7.25,5.19,8.72,3.49,3.95,8.98,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-BYTECODE,5.26,5.06,4.62,3.63,2.23,4.86,1.53,1.73,5.14,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-FILTER,3.96,3.76,3.49,1.89,1.5,3.93,0.74,1.03,3.96,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-TEXT,22357.47,43535,37952.28,87701.28,14695.08,31726.65,18904.77,12108.65,33937.9,16474.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-BYTECODE,410.57,519.15,399.42,343.92,94.51,434.82,48.26,58.56,519.97,82.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-FILTER,351.68,422.62,344.06,160.99,71.92,384.87,20.75,37.22,454.14,61.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-TEXT,12.36,3.1,1.77,0.72,13.67,11.36,13.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-BYTECODE,7.5,1.63,0.44,0.05,7.76,7.49,7.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-FILTER,5.51,0.88,0.2,0.03,5.65,5.24,5.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-TEXT,144708.53,25605.12,1892.28,25.17,129494.44,81575.61,125557.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-BYTECODE,877.23,36.9,4.36,0.06,1224.89,1027.97,1284.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-FILTER,698.5,11.74,1.91,0.03,929.48,827.02,985.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-TEXT,35.42,8.14,3.39,3.24,8.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-BYTECODE,5.07,4.81,1.59,1.4,4.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-FILTER,3,3.73,1.2,0.91,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-TEXT,96192.66,23117.5,3064.57,4909.78,51657.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-BYTECODE,392.74,516.57,59.25,39.92,492.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-FILTER,231.76,463.16,51.62,29.23,419.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-TEXT,0.85,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-BYTECODE,0.52,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-FILTER,0.56,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-TEXT,13.56,623.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-BYTECODE,0.6,8.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-FILTER,0.38,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
