:,ParserTest::commentBeforeHtml,ParserTest::createsDocumentStructure,ParserTest::createsStructureFromBodySnippet,ParserTest::discardsNakedTds,ParserTest::doesNotCreateImplicitLists,ParserTest::dropsUnterminatedAttribute,ParserTest::dropsUnterminatedTag,ParserTest::emptyTdTag,ParserTest::findsCharsetInMalformedMeta,ParserTest::handlesBaseTags,ParserTest::handlesBaseWithoutHref,ParserTest::handlesBlocksInDefinitions,ParserTest::handlesCdata,ParserTest::handlesDataOnlyTags,ParserTest::handlesEscapedData,ParserTest::handlesFrames,ParserTest::handlesImplicitCaptionClose,ParserTest::handlesInvalidStartTags,ParserTest::handlesJavadocFont,ParserTest::handlesKnownEmptyBlocks,ParserTest::handlesMisnestedTagsBI,ParserTest::handlesMisnestedTagsBP,ParserTest::handlesMultiClosingBody,ParserTest::handlesNestedImplicitTable,ParserTest::handlesSolidusAtAttributeEnd,ParserTest::handlesSolidusInA,ParserTest::handlesSpanInTbody,ParserTest::handlesTbodyTable,ParserTest::handlesTextAfterData,ParserTest::handlesTextArea,ParserTest::handlesUnclosedDefinitionLists,ParserTest::handlesUnclosedFormattingElements,ParserTest::handlesUnclosedTitle,ParserTest::handlesUnclosedTitleAtEof,ParserTest::handlesUnexpectedMarkupInTables,ParserTest::handlesUnknownInlineTags,ParserTest::handlesUnknownNamespaceTags,ParserTest::handlesUnknownTags,ParserTest::handlesWhatWgExpensesTableExample,ParserTest::ignoresDupeEndTrTag,ParserTest::noImplicitFormForTextAreas,ParserTest::noTableDirectInTable,ParserTest::normalisedBodyAfterContent,ParserTest::normalisesDocument,ParserTest::normalisesEmptyDocument,ParserTest::normalisesHeadlessBody,ParserTest::parsesBodyFragment,ParserTest::parsesComments,ParserTest::parsesQuiteRoughAttributes,ParserTest::parsesRoughAttributes,ParserTest::parsesSimpleDocument,ParserTest::parsesUnterminatedComments,ParserTest::parsesUnterminatedOption,ParserTest::parsesUnterminatedTextarea,ParserTest::reconstructFormattingElements,ParserTest::reconstructFormattingElementsInTable,ParserTest::testAFlowContents,ParserTest::testFontFlowContents,ParserTest::testHeaderContents,ParserTest::testHgroup,ParserTest::testNoImagesInNoScriptInHead,ParserTest::testRelaxedTags,ParserTest::testSpaceAfterTag,ParserTest::testSpanContents,TreeBuilderState_ESTest::notGeneratedAnyTest,
ParserTest::ignoresDupeEndTrTag ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::noImplicitFormForTextAreas ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::noTableDirectInTable ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::normalisedBodyAfterContent ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::normalisesDocument ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::normalisesEmptyDocument ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::normalisesHeadlessBody ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::parsesBodyFragment ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::parsesComments ,3,10,3,3,11,3,3,3,3,5,3,3,4,2,2,3,3,3,2,1,3,3,3,3,3,3,4,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,
ParserTest::parsesQuiteRoughAttributes ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::parsesRoughAttributes ,1,10,1,1,11,1,2,1,1,6,1,1,4,1,0,1,1,1,2,1,1,1,2,1,1,1,4,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,
ParserTest::parsesSimpleDocument ,2,9,2,2,11,2,2,2,2,5,2,2,4,0,1,2,2,2,1,1,2,2,2,2,2,2,4,2,2,2,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,
ParserTest::parsesUnterminatedComments ,3,9,3,3,11,3,3,3,3,4,3,3,4,1,2,3,3,3,1,2,3,3,3,3,3,3,4,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,0,3,2,3,3,3,3,3,3,3,3,3,3,3,
ParserTest::parsesUnterminatedOption ,1,10,1,1,11,1,1,1,1,6,1,1,3,2,1,1,1,1,3,2,1,1,1,1,1,1,3,1,1,1,4,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,1,2,3,0,1,1,1,1,1,1,1,1,1,1,1,1,
ParserTest::parsesUnterminatedTextarea ,1,11,1,1,12,1,2,1,1,6,1,1,4,2,1,1,1,1,3,1,1,1,2,1,1,1,4,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,
ParserTest::reconstructFormattingElements ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::reconstructFormattingElementsInTable ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::testAFlowContents ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::testFontFlowContents ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::testHeaderContents ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::testHgroup ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::testNoImagesInNoScriptInHead ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::testRelaxedTags ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::testSpaceAfterTag ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::testSpanContents ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
TreeBuilderState_ESTest::notGeneratedAnyTest ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
