:,Element_ESTest::test00,Element_ESTest::test01,Element_ESTest::test02,Element_ESTest::test03,Element_ESTest::test04,Element_ESTest::test05,Element_ESTest::test06,Element_ESTest::test07,Element_ESTest::test08,Element_ESTest::test09,Element_ESTest::test10,Element_ESTest::test11,Element_ESTest::test12,Element_ESTest::test13,Element_ESTest::test14,Element_ESTest::test15,Element_ESTest::test16,Element_ESTest::test17,Element_ESTest::test18,Element_ESTest::test19,Element_ESTest::test20,Element_ESTest::test21,Element_ESTest::test22,Element_ESTest::test23,Element_ESTest::test24,Element_ESTest::test25,Element_ESTest::test26,Element_ESTest::test27,Element_ESTest::test28,Element_ESTest::test29,Element_ESTest::test30,Element_ESTest::test31,Element_ESTest::test32,Element_ESTest::test33,Element_ESTest::test34,Element_ESTest::test35,Element_ESTest::test36,Element_ESTest::test37,Element_ESTest::test38,Element_ESTest::test39,Element_ESTest::test40,Element_ESTest::test41,Element_ESTest::test42,Element_ESTest::test43,Element_ESTest::test44,Element_ESTest::test45,Element_ESTest::test46,Element_ESTest::test47,Element_ESTest::test48,Element_ESTest::test49,Element_ESTest::test50,Element_ESTest::test51,Element_ESTest::test52,Element_ESTest::test53,Element_ESTest::test54,Element_ESTest::test55,Element_ESTest::test56,Element_ESTest::test57,Element_ESTest::test58,Element_ESTest::test59,Element_ESTest::test60,Element_ESTest::test61,Element_ESTest::test62,Element_ESTest::test63,Element_ESTest::test64,Element_ESTest::test65,Element_ESTest::test66,Element_ESTest::test67,Element_ESTest::test68,Element_ESTest::test69,Element_ESTest::test70,Element_ESTest::test71,Element_ESTest::test72,Element_ESTest::test73,Element_ESTest::test74,Element_ESTest::test75,Element_ESTest::test76,Element_ESTest::test77,Element_ESTest::test78,Element_ESTest::test79,Element_ESTest::test80,Element_ESTest::test81,Element_ESTest::test82,Element_ESTest::test83,Element_ESTest::test84,Element_ESTest::test85,Element_ESTest::test86,Element_ESTest::test87,Element_ESTest::test88,Element_ESTest::test89,Element_ESTest::test90,Element_ESTest::test91,Element_ESTest::test92,Element_ESTest::test93,
Element_ESTest::test10 ,5,2,0,2,1,1,2,1,2,0,0,2,1,0,2,0,2,1,2,0,0,0,1,1,0,2,2,0,4,2,1,2,0,1,1,4,1,0,0,2,1,2,2,2,2,1,2,1,3,1,1,3,1,3,2,1,3,1,0,3,2,1,1,3,1,4,2,1,1,0,2,0,0,0,0,0,0,1,1,1,1,1,1,3,1,1,1,7,4,0,5,6,2,0,
Element_ESTest::test11 ,6,0,2,3,2,2,0,2,0,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,4,1,2,0,2,2,2,3,2,2,2,2,2,1,2,3,3,2,0,2,3,2,2,1,2,3,0,2,3,2,2,3,1,2,2,2,2,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,7,5,2,6,7,3,2,
Element_ESTest::test12 ,6,2,1,3,1,0,2,0,2,1,1,2,0,1,2,1,2,0,2,1,1,1,0,0,1,2,3,1,5,2,0,2,1,0,0,4,0,1,1,3,0,3,2,3,3,0,2,0,4,0,0,3,0,4,2,0,4,2,1,4,3,2,0,4,0,5,1,0,0,1,3,1,1,1,1,1,1,0,0,0,0,1,0,4,1,1,2,8,5,1,6,7,3,1,
Element_ESTest::test13 ,5,2,0,2,1,1,2,1,2,0,0,2,1,0,2,0,2,1,2,0,0,0,1,1,0,2,2,0,4,2,1,2,0,1,1,4,1,0,0,2,1,2,2,2,2,1,2,1,3,1,1,3,1,3,2,1,3,1,0,3,2,1,1,3,1,4,2,1,1,0,2,0,0,0,0,0,0,1,1,1,1,1,1,3,1,1,1,7,4,0,5,6,2,0,
Element_ESTest::test14 ,6,0,2,3,2,2,0,2,0,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,4,1,2,0,2,2,2,3,2,2,2,2,2,1,2,3,3,2,0,2,3,2,2,1,2,3,0,2,3,2,2,3,1,2,2,2,2,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,7,5,2,6,7,3,2,
Element_ESTest::test15 ,5,2,0,2,1,1,2,1,2,0,0,2,1,0,2,0,2,1,2,0,0,0,1,1,0,2,2,0,4,2,1,2,0,1,1,4,1,0,0,2,1,2,2,2,2,1,2,1,3,1,1,3,1,3,2,1,3,1,0,3,2,1,1,3,1,4,2,1,1,0,2,0,0,0,0,0,0,1,1,1,1,1,1,3,1,1,1,7,4,0,5,6,2,0,
Element_ESTest::test16 ,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,2,3,2,5,2,2,2,2,2,2,3,2,2,2,3,2,3,2,3,3,2,2,2,4,2,2,3,2,4,2,2,4,2,2,4,3,2,2,4,2,5,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,7,5,2,5,6,3,2,
Element_ESTest::test17 ,6,2,1,3,1,0,2,0,2,1,1,2,0,1,2,1,2,0,2,1,1,1,0,0,1,2,3,1,5,2,0,2,1,0,0,4,0,1,1,3,0,3,2,3,3,0,2,0,4,0,0,3,0,4,2,0,4,2,1,4,3,2,0,4,0,5,1,0,0,1,3,1,1,1,1,1,1,0,0,0,0,1,0,4,1,1,2,8,5,1,6,7,3,1,
Element_ESTest::test18 ,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,2,2,2,2,2,2,2,3,2,5,2,2,2,2,2,2,3,2,2,2,3,2,3,2,3,3,2,2,2,4,2,2,3,2,4,2,2,4,2,2,4,3,2,2,4,2,5,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,7,4,2,5,6,3,2,
Element_ESTest::test19 ,5,2,0,2,1,1,2,1,2,0,0,2,1,0,2,0,2,1,2,0,0,0,1,1,0,2,2,0,4,2,1,2,0,1,1,4,1,0,0,2,1,2,2,2,2,1,2,1,3,1,1,3,1,3,2,1,3,1,0,3,2,1,1,3,1,4,2,1,1,0,2,0,0,0,0,0,0,1,1,1,1,1,1,3,1,1,1,7,4,0,5,6,2,0,
Element_ESTest::test20 ,5,2,0,2,1,1,2,1,2,0,0,2,1,0,2,0,2,1,2,0,0,0,1,1,0,2,2,0,4,2,1,2,0,1,1,4,1,0,0,2,1,2,2,2,2,1,2,1,3,1,1,3,1,3,2,1,3,1,0,3,2,1,1,3,1,4,2,1,1,0,2,0,0,0,0,0,0,1,1,1,1,1,1,3,1,1,1,7,4,0,5,6,2,0,
Element_ESTest::test21 ,5,2,0,2,1,1,2,1,2,0,0,2,1,0,2,0,2,1,2,0,0,0,1,1,0,2,2,0,4,2,1,2,0,1,1,4,1,0,0,2,1,2,2,2,2,1,2,1,3,1,1,3,1,3,2,1,3,1,0,3,2,1,1,3,1,4,2,1,1,0,2,0,0,0,0,0,0,1,1,1,1,1,1,3,1,1,1,7,4,0,5,6,2,0,
Element_ESTest::test22 ,6,2,1,3,1,0,2,0,2,1,1,2,0,1,2,1,2,0,2,1,1,1,0,0,1,2,3,1,5,2,0,2,1,0,0,4,0,1,1,3,0,3,2,3,3,0,2,0,4,0,0,3,0,4,2,0,4,2,1,4,3,2,0,4,0,5,1,0,0,1,3,1,1,1,1,1,1,0,0,0,0,1,0,4,1,1,2,8,5,1,6,7,3,1,
Element_ESTest::test23 ,6,2,1,3,1,0,2,0,2,1,1,2,0,1,2,1,2,0,2,1,1,1,0,0,1,2,3,1,5,2,0,2,1,0,0,4,0,1,1,3,0,3,2,3,3,0,2,0,4,0,0,3,0,4,2,0,4,2,1,4,3,2,0,4,0,5,1,0,0,1,3,1,1,1,1,1,1,0,0,0,0,1,0,4,1,1,2,8,5,1,6,7,3,1,
Element_ESTest::test24 ,5,2,0,2,1,1,2,1,2,0,0,2,1,0,2,0,2,1,2,0,0,0,1,1,0,2,2,0,4,2,1,2,0,1,1,4,1,0,0,2,1,2,2,2,2,1,2,1,3,1,1,3,1,3,2,1,3,1,0,3,2,1,1,3,1,4,2,1,1,0,2,0,0,0,0,0,0,1,1,1,1,1,1,3,1,1,1,7,4,0,5,6,2,0,
Element_ESTest::test25 ,6,0,2,3,2,2,0,2,0,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,4,1,2,0,2,2,2,3,2,2,2,2,2,1,2,3,3,2,0,2,3,2,2,1,2,3,0,2,3,2,2,3,1,2,2,2,2,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,7,5,2,6,7,3,2,
Element_ESTest::test26 ,5,2,2,3,3,3,2,3,2,2,2,2,3,2,2,2,3,3,3,2,2,2,3,3,2,2,0,2,2,1,3,2,2,3,3,2,3,2,2,0,3,1,3,3,3,3,2,3,1,3,3,2,3,2,2,3,1,2,2,1,1,2,3,2,3,3,4,3,3,2,3,2,2,2,2,2,2,3,3,3,3,3,3,4,3,3,2,5,5,2,5,6,3,2,
Element_ESTest::test27 ,5,2,0,2,1,1,2,1,2,0,0,2,1,0,2,0,2,1,2,0,0,0,1,1,0,2,2,0,4,2,1,2,0,1,1,4,1,0,0,2,1,2,2,2,2,1,2,1,3,1,1,3,1,3,2,1,3,1,0,3,2,1,1,3,1,4,2,1,1,0,2,0,0,0,0,0,0,1,1,1,1,1,1,3,1,1,1,7,4,0,5,6,2,0,
Element_ESTest::test28 ,5,4,4,4,5,5,4,5,4,4,4,4,5,4,4,4,5,5,5,4,4,4,5,5,4,4,2,4,0,3,5,4,4,5,5,3,5,4,4,2,5,3,5,4,4,5,4,5,2,5,5,4,5,1,4,5,2,3,4,1,3,3,5,3,5,2,6,5,5,4,3,4,4,4,4,4,4,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5,4,4,
Element_ESTest::test29 ,6,1,2,3,2,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,3,0,2,1,2,2,2,2,2,2,2,1,2,2,2,3,3,2,1,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2,3,2,4,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,6,5,2,6,7,3,2,
Element_ESTest::test30 ,6,2,1,3,1,0,2,0,2,1,1,2,0,1,2,1,2,0,2,1,1,1,0,0,1,2,3,1,5,2,0,2,1,0,0,4,0,1,1,3,0,3,2,3,3,0,2,0,4,0,0,3,0,4,2,0,4,2,1,4,3,2,0,4,0,5,1,0,0,1,3,1,1,1,1,1,1,0,0,0,0,1,0,4,1,1,2,8,5,1,6,7,3,1,
Element_ESTest::test31 ,6,0,2,3,2,2,0,2,0,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,4,1,2,0,2,2,2,3,2,2,2,2,2,1,2,3,3,2,0,2,3,2,2,1,2,3,0,2,3,2,2,3,1,2,2,2,2,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,7,5,2,6,7,3,2,
Element_ESTest::test32 ,5,2,0,2,1,1,2,1,2,0,0,2,1,0,2,0,2,1,2,0,0,0,1,1,0,2,2,0,4,2,1,2,0,1,1,4,1,0,0,2,1,2,2,2,2,1,2,1,3,1,1,3,1,3,2,1,3,1,0,3,2,1,1,3,1,4,2,1,1,0,2,0,0,0,0,0,0,1,1,1,1,1,1,3,1,1,1,7,4,0,5,6,2,0,
Element_ESTest::test33 ,6,2,1,3,1,0,2,0,2,1,1,2,0,1,2,1,2,0,2,1,1,1,0,0,1,2,3,1,5,2,0,2,1,0,0,4,0,1,1,3,0,3,2,3,3,0,2,0,4,0,0,3,0,4,2,0,4,2,1,4,3,2,0,4,0,5,1,0,0,1,3,1,1,1,1,1,1,0,0,0,0,1,0,4,1,1,2,8,5,1,6,7,3,1,
Element_ESTest::test34 ,6,2,1,3,1,0,2,0,2,1,1,2,0,1,2,1,2,0,2,1,1,1,0,0,1,2,3,1,5,2,0,2,1,0,0,4,0,1,1,3,0,3,2,3,3,0,2,0,4,0,0,3,0,4,2,0,4,2,1,4,3,2,0,4,0,5,1,0,0,1,3,1,1,1,1,1,1,0,0,0,0,1,0,4,1,1,2,8,5,1,6,7,3,1,
Element_ESTest::test35 ,6,3,4,3,4,4,3,4,3,4,4,3,4,4,3,4,3,4,3,4,4,4,4,4,4,3,2,4,3,2,4,3,4,4,4,0,4,4,4,2,4,3,4,4,4,4,3,4,2,4,4,3,4,3,3,4,2,4,4,2,3,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,6,7,4,4,
Element_ESTest::test36 ,6,2,1,3,1,0,2,0,2,1,1,2,0,1,2,1,2,0,2,1,1,1,0,0,1,2,3,1,5,2,0,2,1,0,0,4,0,1,1,3,0,3,2,3,3,0,2,0,4,0,0,3,0,4,2,0,4,2,1,4,3,2,0,4,0,5,1,0,0,1,3,1,1,1,1,1,1,0,0,0,0,1,0,4,1,1,2,8,5,1,6,7,3,1,
Element_ESTest::test37 ,5,2,0,2,1,1,2,1,2,0,0,2,1,0,2,0,2,1,2,0,0,0,1,1,0,2,2,0,4,2,1,2,0,1,1,4,1,0,0,2,1,2,2,2,2,1,2,1,3,1,1,3,1,3,2,1,3,1,0,3,2,1,1,3,1,4,2,1,1,0,2,0,0,0,0,0,0,1,1,1,1,1,1,3,1,1,1,7,4,0,5,6,2,0,
Element_ESTest::test38 ,5,2,0,2,1,1,2,1,2,0,0,2,1,0,2,0,2,1,2,0,0,0,1,1,0,2,2,0,4,2,1,2,0,1,1,4,1,0,0,2,1,2,2,2,2,1,2,1,3,1,1,3,1,3,2,1,3,1,0,3,2,1,1,3,1,4,2,1,1,0,2,0,0,0,0,0,0,1,1,1,1,1,1,3,1,1,1,7,4,0,5,6,2,0,
Element_ESTest::test39 ,5,2,2,3,3,3,2,3,2,2,2,2,3,2,2,2,3,3,3,2,2,2,3,3,2,2,0,2,2,1,3,2,2,3,3,2,3,2,2,0,3,1,3,3,3,3,2,3,1,3,3,2,3,2,2,3,1,2,2,1,1,2,3,2,3,3,4,3,3,2,3,2,2,2,2,2,2,3,3,3,3,3,3,4,3,3,2,5,5,2,5,6,3,2,
Element_ESTest::test40 ,6,2,1,3,1,0,2,0,2,1,1,2,0,1,2,1,2,0,2,1,1,1,0,0,1,2,3,1,5,2,0,2,1,0,0,4,0,1,1,3,0,3,2,3,3,0,2,0,4,0,0,3,0,4,2,0,4,2,1,4,3,2,0,4,0,5,1,0,0,1,3,1,1,1,1,1,1,0,0,0,0,1,0,4,1,1,2,8,5,1,6,7,3,1,
Element_ESTest::test41 ,5,1,2,3,3,3,1,3,1,2,2,1,3,2,1,2,3,3,3,2,2,2,3,3,2,1,1,2,3,2,3,1,2,3,3,3,3,2,2,1,3,0,3,3,3,3,1,3,2,3,3,1,3,2,1,3,2,2,2,2,0,2,3,1,3,2,4,3,3,2,3,2,2,2,2,2,2,3,3,3,3,3,3,4,3,3,2,6,5,2,5,6,3,2,
Element_ESTest::test42 ,5,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,5,2,2,2,2,2,2,4,2,2,2,3,2,3,0,3,2,2,2,2,3,2,2,2,2,4,2,2,3,2,2,4,3,2,2,3,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,7,3,2,5,6,1,2,
Element_ESTest::test43 ,5,3,2,2,3,3,3,3,3,2,2,3,3,2,3,2,3,3,3,2,2,2,3,3,2,3,3,2,4,3,3,3,2,3,3,4,3,2,2,3,3,3,3,0,2,3,3,3,4,3,3,3,3,3,3,3,4,2,2,4,3,2,3,4,3,4,4,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,7,4,2,5,6,2,2,
Element_ESTest::test44 ,3,3,2,2,2,3,3,3,3,2,2,3,3,2,3,2,3,3,3,2,2,2,3,3,2,3,3,2,4,3,3,3,2,3,3,4,3,2,2,3,3,3,2,2,0,3,3,3,3,3,3,2,3,3,3,3,3,2,2,4,3,2,3,3,3,3,4,3,3,2,1,2,2,2,2,2,2,3,3,3,3,2,3,2,2,2,3,5,3,2,3,5,1,2,
Element_ESTest::test45 ,6,2,1,3,1,0,2,0,2,1,1,2,0,1,2,1,2,0,2,1,1,1,0,0,1,2,3,1,5,2,0,2,1,0,0,4,0,1,1,3,0,3,2,3,3,0,2,0,4,0,0,3,0,4,2,0,4,2,1,4,3,2,0,4,0,5,1,0,0,1,3,1,1,1,1,1,1,0,0,0,0,1,0,4,1,1,2,8,5,1,6,7,3,1,
Element_ESTest::test46 ,6,0,2,3,2,2,0,2,0,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,4,1,2,0,2,2,2,3,2,2,2,2,2,1,2,3,3,2,0,2,3,2,2,1,2,3,0,2,3,2,2,3,1,2,2,2,2,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,7,5,2,6,7,3,2,
Element_ESTest::test47 ,6,2,1,3,1,0,2,0,2,1,1,2,0,1,2,1,2,0,2,1,1,1,0,0,1,2,3,1,5,2,0,2,1,0,0,4,0,1,1,3,0,3,2,3,3,0,2,0,4,0,0,3,0,4,2,0,4,2,1,4,3,2,0,4,0,5,1,0,0,1,3,1,1,1,1,1,1,0,0,0,0,1,0,4,1,1,2,8,5,1,6,7,3,1,
Element_ESTest::test48 ,4,3,3,3,3,4,3,4,3,3,3,3,4,3,3,3,4,4,4,3,3,3,4,4,3,3,1,3,2,2,4,3,3,4,4,2,4,3,3,1,4,2,3,4,3,4,3,4,0,4,4,2,4,2,3,4,0,3,3,1,2,3,4,1,4,2,5,4,4,3,2,3,3,3,3,3,3,4,4,4,4,3,4,3,3,3,3,4,4,3,4,5,3,3,
Element_ESTest::test49 ,6,2,1,3,1,0,2,0,2,1,1,2,0,1,2,1,2,0,2,1,1,1,0,0,1,2,3,1,5,2,0,2,1,0,0,4,0,1,1,3,0,3,2,3,3,0,2,0,4,0,0,3,0,4,2,0,4,2,1,4,3,2,0,4,0,5,1,0,0,1,3,1,1,1,1,1,1,0,0,0,0,1,0,4,1,1,2,8,5,1,6,7,3,1,
Element_ESTest::test50 ,6,2,1,3,1,0,2,0,2,1,1,2,0,1,2,1,2,0,2,1,1,1,0,0,1,2,3,1,5,2,0,2,1,0,0,4,0,1,1,3,0,3,2,3,3,0,2,0,4,0,0,3,0,4,2,0,4,2,1,4,3,2,0,4,0,5,1,0,0,1,3,1,1,1,1,1,1,0,0,0,0,1,0,4,1,1,2,8,5,1,6,7,3,1,
Element_ESTest::test51 ,5,1,3,3,2,3,1,3,1,3,3,1,3,3,1,3,3,3,3,3,3,3,3,3,3,1,2,3,4,2,3,1,3,3,3,3,3,3,3,2,3,1,2,3,2,3,1,3,2,3,3,0,3,3,1,3,2,3,3,3,1,3,3,1,3,2,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,6,4,3,5,6,2,3,
Element_ESTest::test52 ,6,2,1,3,1,0,2,0,2,1,1,2,0,1,2,1,2,0,2,1,1,1,0,0,1,2,3,1,5,2,0,2,1,0,0,4,0,1,1,3,0,3,2,3,3,0,2,0,4,0,0,3,0,4,2,0,4,2,1,4,3,2,0,4,0,5,1,0,0,1,3,1,1,1,1,1,1,0,0,0,0,1,0,4,1,1,2,8,5,1,6,7,3,1,
Element_ESTest::test53 ,4,3,3,3,4,4,3,4,3,3,3,3,4,3,3,3,4,4,4,3,3,3,4,4,3,3,2,3,1,3,4,3,3,4,4,3,4,3,3,2,4,2,4,3,3,4,3,4,2,4,4,3,4,0,3,4,2,2,3,1,2,2,4,2,4,2,5,4,4,3,2,3,3,3,3,3,3,4,4,4,4,4,4,3,4,4,3,6,4,3,5,5,3,3,
Element_ESTest::test54 ,6,0,2,3,2,2,0,2,0,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,4,1,2,0,2,2,2,3,2,2,2,2,2,1,2,3,3,2,0,2,3,2,2,1,2,3,0,2,3,2,2,3,1,2,2,2,2,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,7,5,2,6,7,3,2,
Element_ESTest::test55 ,6,2,1,3,1,0,2,0,2,1,1,2,0,1,2,1,2,0,2,1,1,1,0,0,1,2,3,1,5,2,0,2,1,0,0,4,0,1,1,3,0,3,2,3,3,0,2,0,4,0,0,3,0,4,2,0,4,2,1,4,3,2,0,4,0,5,1,0,0,1,3,1,1,1,1,1,1,0,0,0,0,1,0,4,1,1,2,8,5,1,6,7,3,1,
Element_ESTest::test56 ,4,3,3,3,3,4,3,4,3,3,3,3,4,3,3,3,4,4,4,3,3,3,4,4,3,3,1,3,2,2,4,3,3,4,4,2,4,3,3,1,4,2,3,4,3,4,3,4,0,4,4,2,4,2,3,4,0,3,3,1,2,3,4,1,4,2,5,4,4,3,2,3,3,3,3,3,3,4,4,4,4,3,4,3,3,3,3,4,4,3,4,5,3,3,
Element_ESTest::test57 ,4,2,1,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2,2,1,1,1,2,2,1,2,2,1,3,2,2,2,1,2,2,4,2,1,1,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3,0,1,2,2,0,2,3,2,3,3,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,7,4,1,5,5,2,1,
Element_ESTest::test58 ,5,2,0,2,1,1,2,1,2,0,0,2,1,0,2,0,2,1,2,0,0,0,1,1,0,2,2,0,4,2,1,2,0,1,1,4,1,0,0,2,1,2,2,2,2,1,2,1,3,1,1,3,1,3,2,1,3,1,0,3,2,1,1,3,1,4,2,1,1,0,2,0,0,0,0,0,0,1,1,1,1,1,1,3,1,1,1,7,4,0,5,6,2,0,
