:,HtmlParserTest::associatedFormControlsWithDisjointForms,HtmlParserTest::commentBeforeHtml,HtmlParserTest::createsDocumentStructure,HtmlParserTest::createsFormElements,HtmlParserTest::createsStructureFromBodySnippet,HtmlParserTest::discardsNakedTds,HtmlParserTest::doesNotCreateImplicitLists,HtmlParserTest::doesNotFindShortestMatchingEntity,HtmlParserTest::dropsUnterminatedAttribute,HtmlParserTest::dropsUnterminatedTag,HtmlParserTest::emptyTdTag,HtmlParserTest::findsCharsetInMalformedMeta,HtmlParserTest::handleNullContextInParseFragment,HtmlParserTest::handles0CharacterAsText,HtmlParserTest::handlesBaseTags,HtmlParserTest::handlesBaseWithoutHref,HtmlParserTest::handlesBlocksInDefinitions,HtmlParserTest::handlesCdata,HtmlParserTest::handlesCommentsInTable,HtmlParserTest::handlesDataOnlyTags,HtmlParserTest::handlesEscapedData,HtmlParserTest::handlesEscapedScript,HtmlParserTest::handlesFrames,HtmlParserTest::handlesImplicitCaptionClose,HtmlParserTest::handlesInvalidStartTags,HtmlParserTest::handlesJavadocFont,HtmlParserTest::handlesKnownEmptyBlocks,HtmlParserTest::handlesMisnestedTagsBI,HtmlParserTest::handlesMisnestedTagsBP,HtmlParserTest::handlesMultiClosingBody,HtmlParserTest::handlesNestedImplicitTable,HtmlParserTest::handlesNewlinesAndWhitespaceInTag,HtmlParserTest::handlesNullInComments,HtmlParserTest::handlesNullInData,HtmlParserTest::handlesQuotesInCommentsInScripts,HtmlParserTest::handlesSolidusAtAttributeEnd,HtmlParserTest::handlesSolidusInA,HtmlParserTest::handlesSpanInTbody,HtmlParserTest::handlesTagsInTextarea,HtmlParserTest::handlesTbodyTable,HtmlParserTest::handlesTextAfterData,HtmlParserTest::handlesTextArea,HtmlParserTest::handlesUnclosedAnchors,HtmlParserTest::handlesUnclosedCdataAtEOF,HtmlParserTest::handlesUnclosedDefinitionLists,HtmlParserTest::handlesUnclosedFormattingElements,HtmlParserTest::handlesUnclosedRawtextAtEof,HtmlParserTest::handlesUnclosedScriptAtEof,HtmlParserTest::handlesUnclosedTitle,HtmlParserTest::handlesUnclosedTitleAtEof,HtmlParserTest::handlesUnexpectedMarkupInTables,HtmlParserTest::handlesUnknownInlineTags,HtmlParserTest::handlesUnknownNamespaceTags,HtmlParserTest::handlesUnknownTags,HtmlParserTest::handlesWhatWgExpensesTableExample,HtmlParserTest::handlesWhitespaceInoDocType,HtmlParserTest::handlesXmlDeclarationAsBogusComment,HtmlParserTest::ignoresContentAfterFrameset,HtmlParserTest::ignoresDupeEndTrTag,HtmlParserTest::noErrorsByDefault,HtmlParserTest::noImplicitFormForTextAreas,HtmlParserTest::noTableDirectInTable,HtmlParserTest::normalisedBodyAfterContent,HtmlParserTest::normalisesDocument,HtmlParserTest::normalisesEmptyDocument,HtmlParserTest::normalisesHeadlessBody,HtmlParserTest::parsesBodyFragment,HtmlParserTest::parsesComments,HtmlParserTest::parsesQuiteRoughAttributes,HtmlParserTest::parsesRoughAttributes,HtmlParserTest::parsesSimpleDocument,HtmlParserTest::parsesUnterminatedComments,HtmlParserTest::parsesUnterminatedOption,HtmlParserTest::parsesUnterminatedTextarea,HtmlParserTest::preservesSpaceInScript,HtmlParserTest::preservesSpaceInTextArea,HtmlParserTest::reconstructFormattingElements,HtmlParserTest::reconstructFormattingElementsInTable,HtmlParserTest::relaxedBaseEntityMatchAndStrictExtendedMatch,HtmlParserTest::testAFlowContents,HtmlParserTest::testFontFlowContents,HtmlParserTest::testHeaderContents,HtmlParserTest::testHgroup,HtmlParserTest::testNoImagesInNoScriptInHead,HtmlParserTest::testRelaxedTags,HtmlParserTest::testSpaceAfterTag,HtmlParserTest::testSpanContents,HtmlParserTest::tracksErrorsWhenRequested,HtmlParserTest::tracksLimitedErrorsWhenRequested,HtmlTreeBuilderState_ESTest::notGeneratedAnyTest,
HtmlParserTest::emptyTdTag ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::findsCharsetInMalformedMeta ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::handleNullContextInParseFragment ,3,5,7,3,5,5,9,5,5,4,5,5,0,5,6,5,5,4,5,3,4,5,5,5,5,3,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,3,4,4,5,5,5,5,5,5,5,4,5,4,5,5,5,4,5,5,5,5,5,5,5,4,5,4,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,4,5,
HtmlParserTest::handles0CharacterAsText ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::handlesBaseTags ,4,7,8,4,7,7,11,7,7,7,7,7,6,7,0,7,7,7,7,5,6,7,7,7,7,5,7,7,7,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,5,7,6,5,4,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,5,4,7,
HtmlParserTest::handlesBaseWithoutHref ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::handlesBlocksInDefinitions ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::handlesCdata ,3,4,8,3,4,4,8,4,4,2,4,4,4,4,7,4,4,0,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,
HtmlParserTest::handlesCommentsInTable ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::handlesDataOnlyTags ,2,2,9,2,2,2,11,2,2,2,2,2,3,2,5,2,2,4,2,0,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,5,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,4,2,
HtmlParserTest::handlesEscapedData ,2,1,10,2,1,1,11,1,1,2,1,1,4,1,6,1,1,4,1,1,0,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,4,1,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,2,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,1,
HtmlParserTest::handlesEscapedScript ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::handlesFrames ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::handlesImplicitCaptionClose ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::handlesInvalidStartTags ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::handlesJavadocFont ,2,3,8,2,3,3,11,3,3,3,3,3,3,3,5,3,3,4,3,1,2,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,5,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,4,3,
HtmlParserTest::handlesKnownEmptyBlocks ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::handlesMisnestedTagsBI ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::handlesMisnestedTagsBP ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::handlesMultiClosingBody ,2,2,9,2,2,2,10,2,2,1,2,2,4,2,6,2,2,2,2,2,2,2,2,2,2,3,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,3,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,4,2,
HtmlParserTest::handlesNestedImplicitTable ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::handlesNewlinesAndWhitespaceInTag ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::handlesNullInComments ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::handlesNullInData ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::handlesQuotesInCommentsInScripts ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::handlesSolidusAtAttributeEnd ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::handlesSolidusInA ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::handlesSpanInTbody ,3,4,8,3,4,4,8,4,4,2,4,4,4,4,6,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,0,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,
HtmlParserTest::handlesTagsInTextarea ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::handlesTbodyTable ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::handlesTextAfterData ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::handlesTextArea ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::handlesUnclosedAnchors ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::handlesUnclosedCdataAtEOF ,3,2,9,3,2,2,10,2,2,1,2,2,3,2,7,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,0,4,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,3,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,4,2,
HtmlParserTest::handlesUnclosedDefinitionLists ,3,5,8,3,5,5,8,5,5,3,5,5,4,5,6,5,5,2,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,3,5,5,5,5,5,4,0,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,4,5,
HtmlParserTest::handlesUnclosedFormattingElements ,2,2,10,2,2,2,11,2,2,2,2,2,4,2,6,2,2,4,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,5,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,7,4,2,
HtmlParserTest::handlesUnclosedRawtextAtEof ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::handlesUnclosedScriptAtEof ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
HtmlParserTest::handlesUnclosedTitle ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,0,
