:,RegressionTest0::test01,RegressionTest0::test02,RegressionTest0::test03,RegressionTest0::test04,RegressionTest0::test05,RegressionTest0::test06,RegressionTest0::test07,RegressionTest0::test08,RegressionTest0::test09,RegressionTest0::test10,RegressionTest0::test11,RegressionTest0::test12,RegressionTest0::test13,RegressionTest0::test14,RegressionTest0::test15,RegressionTest0::test16,RegressionTest0::test17,RegressionTest0::test18,RegressionTest0::test19,RegressionTest0::test20,RegressionTest0::test21,RegressionTest0::test22,RegressionTest0::test23,RegressionTest0::test24,RegressionTest0::test25,RegressionTest0::test26,RegressionTest0::test27,RegressionTest0::test28,RegressionTest0::test29,RegressionTest0::test30,RegressionTest0::test31,RegressionTest0::test32,RegressionTest0::test33,RegressionTest0::test34,RegressionTest0::test35,RegressionTest0::test36,RegressionTest0::test37,RegressionTest0::test38,RegressionTest0::test39,RegressionTest0::test40,
RegressionTest0::test12 ,0,1,1,0,0,1,0,1,1,1,1,0,0,2,1,2,0,1,1,1,0,1,2,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,
RegressionTest0::test13 ,0,1,1,0,0,1,0,1,1,1,1,0,0,2,1,2,0,1,1,1,0,1,2,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,
RegressionTest0::test14 ,2,1,1,2,2,1,2,1,1,1,1,2,2,0,1,0,2,1,1,1,2,1,0,2,1,2,1,1,2,2,2,1,2,1,1,2,2,2,1,2,
RegressionTest0::test15 ,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,
RegressionTest0::test16 ,2,1,1,2,2,1,2,1,1,1,1,2,2,0,1,0,2,1,1,1,2,1,0,2,1,2,1,1,2,2,2,1,2,1,1,2,2,2,1,2,
RegressionTest0::test17 ,0,1,1,0,0,1,0,1,1,1,1,0,0,2,1,2,0,1,1,1,0,1,2,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,
RegressionTest0::test18 ,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,
RegressionTest0::test19 ,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,
RegressionTest0::test20 ,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,
RegressionTest0::test21 ,0,1,1,0,0,1,0,1,1,1,1,0,0,2,1,2,0,1,1,1,0,1,2,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,
RegressionTest0::test22 ,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,
RegressionTest0::test23 ,2,1,1,2,2,1,2,1,1,1,1,2,2,0,1,0,2,1,1,1,2,1,0,2,1,2,1,1,2,2,2,1,2,1,1,2,2,2,1,2,
RegressionTest0::test24 ,0,1,1,0,0,1,0,1,1,1,1,0,0,2,1,2,0,1,1,1,0,1,2,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,
RegressionTest0::test25 ,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,
RegressionTest0::test26 ,0,1,1,0,0,1,0,1,1,1,1,0,0,2,1,2,0,1,1,1,0,1,2,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,
RegressionTest0::test27 ,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,
RegressionTest0::test28 ,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,
RegressionTest0::test29 ,0,1,1,0,0,1,0,1,1,1,1,0,0,2,1,2,0,1,1,1,0,1,2,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,
RegressionTest0::test30 ,0,1,1,0,0,1,0,1,1,1,1,0,0,2,1,2,0,1,1,1,0,1,2,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,
RegressionTest0::test31 ,0,1,1,0,0,1,0,1,1,1,1,0,0,2,1,2,0,1,1,1,0,1,2,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,
RegressionTest0::test32 ,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,
RegressionTest0::test33 ,0,1,1,0,0,1,0,1,1,1,1,0,0,2,1,2,0,1,1,1,0,1,2,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,
RegressionTest0::test34 ,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,
RegressionTest0::test35 ,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,
RegressionTest0::test36 ,0,1,1,0,0,1,0,1,1,1,1,0,0,2,1,2,0,1,1,1,0,1,2,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,
RegressionTest0::test37 ,0,1,1,0,0,1,0,1,1,1,1,0,0,2,1,2,0,1,1,1,0,1,2,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,
RegressionTest0::test38 ,0,1,1,0,0,1,0,1,1,1,1,0,0,2,1,2,0,1,1,1,0,1,2,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,
RegressionTest0::test39 ,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,
RegressionTest0::test40 ,0,1,1,0,0,1,0,1,1,1,1,0,0,2,1,2,0,1,1,1,0,1,2,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,
